日期,确诊预测,在治预测,新增预测,国家,编号
3月18日,9559.044,8121.159,1254.832,France,1
3月19日,11011.853,9220.607,1452.81,France,2
3月20日,12700.481,10507.268,1688.627,France,3
3月21日,14658.993,12007.023,1958.513,France,4
3月22日,16917.578,13740.913,2258.585,France,5
3月23日,19501.133,15723.949,2583.555,France,6
3月24日,22426.932,17963.061,2925.799,France,7
3月25日,25701.718,20454.574,3274.786,France,8
3月26日,29318.67,23181.658,3616.952,France,9
3月27日,33402.0,25698.0,4083.33,France,10
3月28日,37648.309,28831.959,4246.309,France,11
3月29日,42156.301,32096.656,4507.991,France,12
3月30日,46827.869,35390.721,4671.568,France,13
3月31日,51561.517,38613.516,4733.648,France,14
4月1日,56255.604,41668.305,4694.086,France,15
4月2日,60813.848,44467.494,4558.244,France,16
4月3日,65151.29,46938.106,4337.442,France,17
4月4日,69199.265,49026.061,4047.975,France,18
4月5日,72908.458,50698.409,3709.193,France,19
4月6日,76249.709,51943.269,3341.252,France,20
4月7日,79212.754,52767.739,2963.044,France,21
4月8日,81803.436,53194.41,2590.682,France,22
4月9日,84040.09,53257.193,2236.654,France,23
4月10日,85949.717,52997.122,1909.627,France,24
4月11日,87564.443,52458.604,1614.726,France,25
4月12日,88918.557,51686.376,1354.114,France,26
4月13日,90046.236,50723.273,1127.679,France,27
4月14日,90979.959,49608.745,933.723,France,28
4月15日,91749.514,48378.029,769.555,France,29
4月16日,92381.487,47061.811,631.973,France,30
4月17日,92899.099,45686.252,517.612,France,31
4月18日,93322.285,44273.251,423.186,France,32
4月19日,93667.924,42840.834,345.639,France,33
4月20日,93950.144,41403.612,282.221,France,34
4月21日,94180.668,39973.257,230.524,France,35
4月22日,94369.147,38558.945,188.478,France,36
4月23日,94523.48,37167.768,154.333,France,37
4月24日,94650.106,35805.107,126.626,France,38
4月25日,94754.251,34474.937,104.145,France,39
4月26日,94840.147,33180.103,85.896,France,40
4月27日,94911.215,31922.541,71.068,France,41
4月28日,94970.217,30703.465,59.002,France,42
4月29日,95019.383,29523.519,49.166,France,43
4月30日,95060.511,28382.899,41.129,France,44
5月1日,95095.056,27281.455,34.545,France,45
5月2日,95124.192,26218.77,29.136,France,46
5月3日,95148.87,25194.227,24.678,France,47
5月4日,95169.862,24207.054,20.992,France,48
5月5日,95187.796,23256.372,17.934,France,49
5月6日,95203.183,22341.221,15.387,France,50
5月7日,95216.441,21460.59,13.258,France,51
5月8日,95227.912,20613.434,11.471,France,52
5月9日,95237.878,19798.688,9.966,France,53
5月10日,95246.57,19015.284,8.693,France,54
5月11日,95254.182,18262.156,7.612,France,55
5月12日,95260.873,17538.251,6.691,France,56
5月13日,95266.775,16842.528,5.902,France,57
5月14日,95272.0,16173.97,5.225,France,58
