未来14天确诊数目,未来14天感染率,国家
0,0.0,China
166,3.223,South Korea
3188,45.924,Thailand
539,95.633,Singapore
1673,13.224,Japan
11295,138.087,Iran
16933,51.757,USA
10794,178.625,Italy
17287,258.069,France
19692,237.466,Germany
22049,471.907,Spain
16951,983.761,Netherlands
8748,859.153,Sweden
13364,1170.034,Belgium
27212,409.284,UK
10072,1182.697,Switzerland
1464,136.498,Greece
21508,580.397,Canada
3419,108.442,Malaysia
4425,41.494,Philippines
6398,256.005,Australia
2499,431.147,Denmark
6036,1135.808,Norway
13939,1575.662,Austria
3807,6265.638,Luxembourg
4428,1591.875,Qatar
14200,2925.824,Ireland
16861,1639.957,Portugal
11294,1271.368,Israel
6059,1098.194,Finland
18100,1703.485,Czech Rep.
15006,71.642,Brazil
285574,44.798,Global (except China)
18935,89.228,Pakistan
9489,65.679,Russia
564,427.35,Estonia
721,348.884,Slovenia
