省份,GDP,复工指数,缺工指数,恢复指数
全国,900309.0,0.909,0.18,0.865
新疆维吾尔自治区,13511.68,0.973,0.493,0.74
四川省,41904.1,0.889,0.257,0.816
云南省,17608.6,0.93,0.102,0.914
广西壮族自治区,21030.46,0.872,0.09,0.891
西藏自治区,1363.07,0.997,0.316,0.841
河北省,34285.97,0.923,0.271,0.826
湖北省,38898.7,0.668,0.29,0.689
青海省,7462.2,0.991,0.105,0.943
浙江省,56425.61,0.97,0.273,0.849
广东省,101025.94,0.883,0.355,0.764
安徽省,30429.41,0.931,0.092,0.919
福建省,35788.57,0.859,0.334,0.763
辽宁省,17232.9,0.928,0.149,0.889
江西省,22002.35,0.842,0.09,0.876
贵州省,15675.57,0.857,0.009,0.924
黑龙江省,25569.59,0.842,0.331,0.755
吉林,16017.74,0.932,0.261,0.836
江苏省,94323.54,0.95,0.216,0.867
山西省,15487.88,0.925,0.151,0.887
甘肃省,8184.22,0.921,0.056,0.933
山东省,76235.31,0.933,0.28,0.826
上海,32679.9,0.856,0.587,0.635
陕西省,23925.09,0.875,0.141,0.867
河南省,48325.85,0.852,0.047,0.903
湖南省,37623.78,0.894,0.116,0.889
宁夏回族自治区,3748.08,0.951,0.239,0.856
重庆,20363.2,0.848,0.0,0.924
海南,4483.97,0.857,0.35,0.754
内蒙古自治区,18052.55,0.955,0.406,0.774
天津,18809.6,0.846,0.505,0.67
北京,30320.0,0.637,0.601,0.518
