Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_dailynew,Official_remove
329.0,404.0,46.0,77.0,0.0,0.0,0.0,2020/03/09,366.0,61.0,59.0,2.0,2020-03-09,61.0,0.0,2.0
344.0,420.0,64.0,99.0,15.558607128349877,20.198368977946416,0.32198932587379137,2020/03/10,381.5586071283499,81.19836897794642,78.87637965207263,2.3219893258737914,2020-03-10,83.0,22.0,4.0
386.0,467.0,83.0,122.0,44.70007652970156,20.85085347840267,0.41534248787164385,2020/03/11,426.25868365805144,102.04922245634909,99.31189064260364,2.737331813745435,2020-03-11,109.0,26.0,4.0
459.0,547.0,104.0,148.0,75.91966574486804,23.411176778987937,0.5157416666562802,2020/03/12,502.1783494029195,125.46039923533702,122.20732575493531,3.2530734804017154,2020-03-12,131.0,22.0,4.0
566.0,663.0,130.0,178.0,111.8150038527865,27.97561744601275,0.6321990496704273,2020/03/13,613.993353255706,153.43601668134977,149.55074415127763,3.8852725300721427,2020-03-13,161.0,30.0,4.0
715.0,824.0,162.0,216.0,155.109539845673,34.80648984117556,0.7745212578523026,2020/03/14,769.102893101379,188.24250652252533,183.58271273460088,4.659793787924445,2020-03-14,193.0,32.0,4.0
917.0,1040.0,203.0,263.0,208.7866263053519,44.334178595992455,0.9540802527629753,2020/03/15,977.8895194067309,232.5766851185178,226.96281107783037,5.613874040687421,2020-03-15,251.0,58.0,4.0
1185.0,1324.0,257.0,324.0,276.16796654445216,57.16607238593656,1.1846078463329413,2020/03/16,1254.057485951183,289.74275750445435,282.94427561743396,6.798481887020362,2020-03-16,255.0,4.0,4.0
1537.0,1694.0,327.0,402.0,360.9023815559367,74.09730274370668,1.4830346865596322,2020/03/17,1614.9598675071197,363.840060248161,355.558543674581,8.281516573579994,2020-03-17,337.0,82.0,11.0
1993.0,2172.0,418.0,502.0,466.8053797869602,96.115561720855,1.8703652818007885,2020/03/18,2081.76524729408,459.955621969016,449.80374011363523,10.151881855380783,2020-03-18,433.0,96.0,11.0
2578.0,2781.0,537.0,632.0,597.4603097795789,124.38788297961258,2.3725351143187225,2020/03/19,2679.225557073659,584.3435049486286,571.8190879789291,12.524416969699505,2020-03-19,677.0,244.0,11.0
3320.0,3550.0,653.0,758.0,755.4841665162648,120.6564950513714,3.475583030300495,2020/03/20,3434.7097235899237,705.0,689.0,16.0,2020-03-20,705.0,28.0,16.0
3438.0,3672.0,827.0,944.0,119.68371362968674,180.33073448315793,3.6308987404834703,2020/03/21,3554.3934372196104,885.3307344831579,865.6998357426745,19.63089874048347,,,,
3771.0,4016.0,1005.0,1133.0,338.5671332271936,183.60839773230998,4.455900829232494,2020/03/22,3892.960570446804,1068.939132215468,1044.8523326457519,24.086799569715964,,,,
4320.0,4582.0,1201.0,1340.0,557.6238238940668,200.87311264651657,5.3252832476032985,2020/03/23,4450.584394340871,1269.8122448619845,1240.4001620446652,29.412082817319263,,,,
5092.0,5376.0,1426.0,1578.0,783.3686176718329,231.46303554639394,6.3022541623360375,2020/03/24,5233.953012012704,1501.2752804083784,1465.560943428723,35.7143369796553,,,,
6096.0,6407.0,1694.0,1859.0,1017.3384154015466,275.02841180863174,7.4475104287381555,2020/03/25,6251.29142741425,1776.3036922170102,1733.1418448086167,43.161847408393456,,,,
7337.0,7676.0,2018.0,2198.0,1254.4405142179467,331.13288100002114,8.81980617947491,2020/03/26,7505.731941632197,2107.4365732170313,2055.4549196291628,51.981653587868365,,,,
8802.0,9174.0,2409.0,2605.0,1481.616129719123,398.78017422540097,10.474478678757471,2020/03/27,8987.34807135132,2506.2167474424323,2443.7606151758064,62.456132266625836,,,,
10463.0,10868.0,2876.0,3090.0,1677.7291495772224,475.9186769221028,12.459691958576052,2020/03/28,10665.077220928542,2982.135424364535,2907.219600139333,74.91582422520189,,,,
12263.0,12701.0,3425.0,3658.0,1815.9331235114296,559.045655127682,14.810561052702695,2020/03/29,12481.010344439972,3541.181079492217,3451.4546942143124,89.72638527790458,,,,
14116.0,14586.0,4058.0,4311.0,1869.4292906215924,643.1006829204157,17.54205206445097,2020/03/30,14350.439635061564,4184.281762412633,4077.0133250702775,107.26843734235555,,,,
15922.0,16420.0,4769.0,5043.0,1820.0388032161682,721.8422779369639,20.642483182379763,2020/03/31,16170.478438277732,4906.124040349597,4778.213119824862,127.91092052473532,,,,
17576.0,18099.0,5547.0,5843.0,1666.670423150459,788.7765234502422,24.070113995242608,2020/04/01,17837.14886142819,5694.900563799839,5542.919529279861,151.98103451997792,,,,
18995.0,19538.0,6375.0,6692.0,1429.1640910404276,838.4485255369082,27.755051627601063,2020/04/02,19266.31295246862,6533.349089336747,6353.613003189168,179.736086147579,,,,
20131.0,20691.0,7233.0,7570.0,1144.2120998986356,867.6480123361061,31.6071687432528,2020/04/03,20410.525052367255,7400.997101672853,7189.653846782021,211.3432548908318,,,,
20979.0,21551.0,8099.0,8456.0,854.3387540724107,876.023401916359,35.528390482414665,2020/04/04,21264.863806439665,8277.020503589212,8030.148858215965,246.87164537324645,,,,
21571.0,22151.0,8956.0,9331.0,595.2917898326414,865.8507773462188,39.42583319645678,2020/04/05,21860.155596272307,9142.871280935431,8856.573802365729,286.29747856970323,,,,
21956.0,22540.0,9788.0,10181.0,387.9185861977603,841.118688597544,43.222074972930216,2020/04/06,22248.074182470067,9983.989969532975,9654.470415990341,329.51955354263345,,,,
22191.0,22780.0,10587.0,10994.0,237.1815971346805,806.3771840014451,46.86037187742397,2020/04/07,22485.255779604748,10790.36715353442,10413.987228114363,376.3799254200574,,,,
22328.0,22917.0,11346.0,11768.0,136.60496462868105,765.7943735512999,50.304835355591194,2020/04/08,22621.86074423343,11556.16152708572,11129.476766310072,426.6847607756486,,,,
22402.0,22992.0,12062.0,12496.0,74.42945383626648,722.6400699928563,53.537177237985134,2020/04/09,22696.290198069695,12278.801597078576,11798.579659064942,480.22193801363375,,,,
22440.0,23031.0,12735.0,13182.0,38.527789015988674,679.1736223209919,56.55205094437116,2020/04/10,22734.817987085684,12957.975219399568,12421.201230441564,536.7739889580049,,,,
22458.0,23050.0,13367.0,13824.0,19.02588926486351,636.7843095168118,59.35254758362157,2020/04/11,22753.843876350547,13594.75952891638,12998.632992374754,596.1265365416265,,,,
22467.0,23060.0,13958.0,14425.0,8.997871734212822,596.2255944815843,61.94663866488452,2020/04/12,22762.84174808476,14190.985123397964,13532.911948191453,658.073175206511,,,,
22472.0,23063.0,14512.0,14988.0,4.089937380886113,557.8394818055931,64.34473088523055,2020/04/13,22766.931685465646,14748.824605203557,14026.406699111816,722.4179060917415,,,,
22474.0,23065.0,15029.0,15514.0,1.7927049406098376,521.7271965883756,66.55815984382468,2020/04/14,22768.724390406256,15270.551801791933,14481.575735856366,788.9760659355662,,,,
