Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/02/27,245.0,1470.0,0.0,0.0,75.0,0.0,170.0,215.0,276.0,1395.0,1546.0,2020-02-27,245.0,0.0,49.0,75.0
2020/02/28,792.1784650774856,1585.420361971439,547.1784650774856,115.42036197143898,116.83739032682493,41.83739032682493,675.3410747506607,737.0,848.0,1508.0,1664.0,2020-02-28,388.0,143.0,73.0,107.0
2020/02/29,1185.7098011020214,1830.467419581148,393.5313360245358,245.0470576097091,195.72295268871613,78.8855623618912,989.9868484133053,1119.0,1254.0,1747.0,1915.0,2020-02-29,593.0,205.0,123.0,166.0
2020/03/01,1539.742824458415,2174.9373914164917,354.03302335639364,344.4699718353436,300.3838507481524,104.66089805943625,1239.3589737102627,1463.0,1617.0,2084.0,2267.0,2020-03-01,978.0,385.0,175.0,229.0
2020/03/02,1909.8998912149016,2605.0158868061258,370.15706675648653,430.0784953896341,427.79426222202665,127.41041147387426,1482.105628992875,1825.0,1996.0,2505.0,2706.0,2020-03-02,1501.0,523.0,291.0,357.0
2020/03/03,2325.7249430022234,3121.0313738755276,415.82505178732185,516.0154870694018,578.8237478699588,151.02948564793212,1746.9011951322645,2232.0,2421.0,3012.0,3231.0,2020-03-03,2336.0,835.0,291.0,368.0
2020/03/04,2805.9564765252217,3729.929738181871,480.23153352299823,608.8983643063434,756.3439845734753,177.5202367035165,2049.6124919517465,2703.0,2910.0,3611.0,3850.0,2020-03-04,2922.0,586.0,552.0,644.0
2020/03/05,3365.100235272349,4441.8217082441,559.1437587471273,711.8919700622287,964.4230841423621,208.07909956888682,2400.6771511299867,3252.0,3479.0,4312.0,4573.0,2020-03-05,3513.0,591.0,739.0,846.0
2020/03/06,4016.1517785336027,5268.214134899234,651.0515432612538,826.3924266551339,1207.9821699142497,243.55908577188757,2808.1696086193533,3892.0,4141.0,5127.0,5411.0,2020-03-06,4747.0,1234.0,913.0,1037.0
2020/03/07,4771.562247319661,6220.859634706137,755.4104687860581,952.645499806903,1492.636606247862,284.65443633361224,3278.925641071799,4637.0,4907.0,6067.0,6376.0,2020-03-07,5823.0,1076.0,1669.0,1814.0
2020/03/08,5643.340938284668,7310.74919688423,871.7786909650067,1089.889562178093,1824.5944609555127,331.95785470765077,3818.746477329155,5497.0,5791.0,7144.0,7479.0,2020-03-08,6566.0,743.0,2134.0,2328.0
2020/03/09,6642.671952063834,8547.044458125534,999.3310137791668,1236.2952612413046,2210.5493979968137,385.95493704130104,4432.12255406702,6483.0,6803.0,8366.0,8729.0,2020-03-09,7161.0,595.0,2394.0,2631.0
2020/03/10,7779.2091884737165,9935.888249298796,1136.537236409882,1388.8437911732617,2657.5334414911563,446.9840434943426,5121.675746982561,7607.0,7953.0,9741.0,10132.0,2020-03-10,8042.0,881.0,2731.0,3022.0
2020/03/11,9060.139678988862,11479.12353273499,1280.9304905151457,1543.2352834361936,3172.7087409983724,515.1752995072161,5887.43093799049,8874.0,9247.0,11269.0,11690.0,2020-03-11,9000.0,958.0,2959.0,3313.0
2020/03/12,10489.09858155384,13173.032890687762,1428.9589025649784,1693.9093579527726,3763.0867147231165,590.3779737247442,6726.011866830724,10289.0,10691.0,12949.0,13398.0,2020-03-12,10075.0,1075.0,3276.0,3705.0
2020/03/13,12065.046896134034,15007.26863896243,1575.9483145801933,1834.2357482746684,4435.172722175759,672.0860074526427,7629.874173958275,11850.0,12281.0,14767.0,15248.0,2020-03-13,11364.0,1289.0,3276.0,3790.0
2020/03/14,12936.3593981108,16663.56910081548,871.3125019767667,1656.3004618530485,4882.132820466949,446.96009829118975,8054.226577643852,12714.0,13160.0,16411.0,16917.0,2020-03-14,12729.0,1365.0,4339.0,4950.0
2020/03/15,13966.063902488033,18150.262937765445,1029.7045043772323,1486.6938369499658,5357.475402246393,475.3425817794441,8608.58850024164,13735.0,14198.0,17887.0,18415.0,2020-03-15,13938.0,1209.0,4590.0,5314.0
2020/03/16,15081.947857256742,19488.496327339126,1115.8839547687094,1338.233389573681,5866.281806112343,508.8064038659495,9215.666051144399,14842.0,15323.0,19215.0,19763.0,2020-03-16,14991.0,1053.0,4996.0,5849.0
2020/03/17,16232.707284837974,20696.315451192844,1150.7594275812316,1207.8191238537183,6409.957745645204,543.6759395328618,9822.74953919277,15983.0,16483.0,20415.0,20978.0,2020-03-17,16169.0,1178.0,5389.0,6377.0
2020/03/18,17382.53562498514,21789.182333226057,1149.8283401471654,1092.8668820332132,6987.439133366406,577.4813877212018,10395.096491618733,17124.0,17642.0,21500.0,22079.0,2020-03-18,17361.0,1192.0,5710.0,6845.0
2020/03/19,18507.052318310438,22780.395664884,1124.5166933252985,991.213331657942,7596.069901320688,608.6307679542815,10910.982416989751,18241.0,18775.0,22486.0,23077.0,2020-03-19,18407.0,1046.0,5979.0,7263.0
2020/03/20,19590.246488771358,23681.435655710877,1083.1941704609198,901.0399908268773,8232.2348326378,636.164931317112,11358.011656133558,19316.0,19865.0,23381.0,23983.0,2020-03-20,19644.0,1237.0,6745.0,8178.0
2020/03/21,20622.188380408385,24502.247880483355,1031.9418916370269,820.8122247724787,8891.810212832042,659.5753801942428,11730.378167576342,20341.0,20904.0,24196.0,24809.0,2020-03-21,20610.0,966.0,7635.0,9191.0
2020/03/22,21638.0,25292.15610540591,1015.8116195916155,789.9082249225539,9616.0,724.1897871679575,12022.0,21350.0,21926.0,24981.0,25604.0,2020-03-22,21638.0,1028.0,7931.0,9616.0
2020/03/23,22471.237025171315,25292.15610540591,833.2370251713146,0.0,10307.605261409824,691.6052614098244,12163.63176376149,22178.0,22766.0,24981.0,25604.0,,,,,
2020/03/24,23114.47558321591,25292.15610540591,643.2385580445953,0.0,11001.52152647703,693.916265067206,12112.95405673888,22817.0,23413.0,24981.0,25603.0,,,,,
2020/03/25,23611.040039665964,25292.156105405906,496.5644564500544,-3.637978807091713e-12,11688.34043913573,686.8189126587004,11922.699600530234,23310.0,23912.0,24981.0,25604.0,,,,,
2020/03/26,23994.375677871656,25292.156105405906,383.3356382056918,0.0,12361.29195613118,672.9515169954484,11633.083721740477,23691.0,24299.0,24981.0,25604.0,,,,,
2020/03/27,24290.30139011862,25292.156105405906,295.9257122469644,0.0,13015.615371230359,654.3234150991793,11274.686018888262,23985.0,24596.0,24980.0,25604.0,,,,,
2020/03/28,24518.748799765974,25292.156105405906,228.4474096473532,0.0,13648.075261897297,632.459890666938,10870.673537868677,24213.0,24826.0,24980.0,25605.0,,,,,
2020/03/29,24695.104607684672,25292.15610540591,176.3558079186987,3.637978807091713e-12,14256.589306576392,608.5140446790956,10438.51530110828,24387.0,25004.0,24981.0,25605.0,,,,,
2020/03/30,24831.24697239406,25292.156105405906,136.14236470938704,-3.637978807091713e-12,14839.942289115794,583.3529825394016,9991.304683278266,24523.0,25141.0,24981.0,25604.0,,,,,
2020/03/31,24936.34554368151,25292.156105405906,105.09857128744989,0.0,15397.566604185431,557.6243150696373,9538.778939496078,24627.0,25246.0,24981.0,25605.0,,,,,
2020/04/01,25017.479066594482,25292.156105405902,81.1335229129727,-3.637978807091713e-12,15929.374022002276,531.8074178168445,9088.105044592206,24708.0,25328.0,24981.0,25605.0,,,,,
2020/04/02,25080.112158962835,25292.156105405906,62.63309236835266,3.637978807091713e-12,16435.62695557217,506.2529335698946,8644.485203390665,24771.0,25391.0,24981.0,25605.0,,,,,
2020/04/03,25128.463372080172,25292.15610540591,48.351213117337466,3.637978807091713e-12,16916.84016019148,481.213204619311,8211.623211888691,24819.0,25439.0,24981.0,25604.0,,,,,
2020/04/04,25165.78932445594,25292.156105405917,37.325952375766065,7.275957614183426e-12,17373.705866125085,456.86570593360375,7792.083458330853,24856.0,25478.0,24980.0,25605.0,,,,,
2020/04/05,25194.60404555343,25292.15610540591,28.81472109749302,-7.275957614183426e-12,17807.03694474209,433.3310786170041,7387.567100811342,24884.0,25506.0,24980.0,25604.0,,,,,
2020/04/06,25216.84830452859,25292.156105405906,22.244258975159028,-3.637978807091713e-12,18217.723942292352,410.6869975502632,6999.124362236238,24906.0,25529.0,24981.0,25604.0,,,,,
2020/04/07,25234.020327633312,25292.156105405917,17.17202310472203,1.0913936421275139e-11,18606.70276902284,388.9788267304866,6627.3175586104735,24924.0,25546.0,24981.0,25604.0,,,,,
2020/04/08,25247.27670883994,25292.156105405917,13.256381206629158,0.0,18974.930566273564,368.2277972507254,6272.346142566377,24936.0,25560.0,24980.0,25604.0,,,,,
2020/04/09,25257.51031043406,25292.156105405917,10.233601594118227,0.0,19323.367841778698,348.4372755051336,5934.142468655362,24946.0,25570.0,24981.0,25605.0,,,,,
2020/04/10,25265.41040023927,25292.156105405913,7.900089805210882,-3.637978807091713e-12,19652.96540144224,329.5975596635435,5612.444998797029,24955.0,25578.0,24981.0,25604.0,,,,,
2020/04/11,25271.50907608962,25292.156105405913,6.098675850349537,0.0,19964.654943716454,311.6895422742127,5306.854132373166,24961.0,25583.0,24981.0,25604.0,,,,,
2020/04/12,25276.217104479445,25292.156105405917,4.708028389824904,3.637978807091713e-12,20259.342443501704,294.6874997852501,5016.874660977741,24965.0,25588.0,24981.0,25604.0,,,,,
2020/04/13,25279.85158708136,25292.156105405917,3.6344826019158063,0.0,20537.903653736037,278.561210234333,4741.947933345324,24969.0,25591.0,24981.0,25604.0,,,,,
2020/04/14,25282.657318621506,25292.156105405917,2.8057315401456435,0.0,20801.181207972975,263.27755423693816,4481.476110648531,24971.0,25595.0,24981.0,25604.0,,,,,
