,Date,Remain_confirm,Official_confirmed,Predict_confirm,Dailynew_confirm,Predict_actual
0,2020/02/10,41979.77356469162,47374.0,48979.11727862834,949.8007455372954,69750.87006107092
1,2020/02/11,49603.560342273195,54369.0,57696.89133913744,8717.7740605091,69966.39531062012
2,2020/02/12,53302.607113176695,59791.0,62593.4652079772,4896.57386883976,70420.76421566175
3,2020/02/13,55038.70516467625,63707.15778,65574.49200095992,2981.026792982717,71000.6540876764
4,2020/02/14,55785.659798026754,66274.4307,67585.39235244348,2010.900351483555,71650.49481999579
5,2020/02/15,56029.42678763774,68150.53945,69097.62302367607,1512.2306712325933,72343.140256582
6,2020/02/16,56014.58469074896,70113.2516,70348.27588311402,1250.6528594379615,73065.43374422134
7,2020/02/17,55865.89512212082,72011.61407,71458.21782544037,1109.941942326337,73811.10507745267
8,2020/02/18,55648.33371203979,73971.77825,72490.40878676405,1032.1909613236749,74577.27556507284
9,2020/02/19,55396.79548369691,74870.15139,73478.74096393923,988.3321771751889,75362.73864795663
10,2020/02/20,54269.39211677344,75638.0,74588.07954805481,1109.3385841155741,76167.1141981766
11,2020/02/21,53042.12216225049,76035.0,75489.73857350305,901.6590254482508,76990.43268703992
12,2020/02/22,51345.01926166523,76683.0,76424.42282603329,934.6842525302328,77874.45663160304
13,2020/02/23,49811.4661043269,77150.0,77325.79858711261,901.3757610793272,78766.79205544377
14,2020/02/24,48457.59796249682,77658.0,78228.28954856892,902.4909614563095,79662.0898175853
15,2020/02/25,45103.21819497987,78046.0,78802.19814273098,573.908594162067,79793.89876103801
16,2020/02/26,41870.19593649221,78497.0,79204.25715829346,402.05901556247403,79915.5188387766
17,2020/02/27,38805.259377658746,78824.0,79497.23887806608,292.9817197726189,80028.06480239931
18,2020/02/28,35929.08952763144,79251.0,79719.86522453153,222.62634646544393,80132.41431516795
19,2020/02/29,33247.137551423235,79824.0,79896.13443698577,176.26921245423546,80229.28700720068
20,2020/03/01,30756.171852285544,80026.0,80041.01520944665,144.8807724608887,80319.29350727281
21,2020/03/02,28448.223686434205,80140.0,80163.92613983504,122.91093038838699,80402.9661513746
22,2020/03/03,26312.948887098468,80255.0,80270.86433194869,106.93819211365191,80480.77848889865
23,2020/03/04,24339.026086865262,80389.0,80365.70940566245,94.84507371375912,80553.1579194373
24,2020/03/05,22514.96989058157,80516.0,80451.02376423529,85.31435857284305,80620.49409904843
25,2020/03/06,20829.58981432456,80591.0,80528.54477472657,77.52101049128213,80683.14472386357
26,2020/03/07,19272.23584859797,80632.0,80599.4883343078,70.94355958123015,80741.43967257922
27,2020/03/08,17832.91646817999,80668.0,80664.73674891418,65.24841460637252,80744.15821786968
28,2020/03/09,16502.341398554698,80685.0,80724.9555434182,60.21879450400957,80744.15821786968
29,2020/03/10,15099.792616183653,80699.0,80727.8355939055,2.8800504873142927,80744.15821786968
30,2020/03/11,13968.651076249822,80708.0,80729.73532265151,1.899728746007895,80744.15821786968
31,2020/03/12,12908.765897720232,80713.0,80731.43254632628,1.6972236747697027,80744.15821786968
32,2020/03/13,11917.89117174426,80729.0,80732.96010136917,1.5275550429014402,80744.15821786968
33,2020/03/14,10965.798559342978,80733.0,80735.38691331353,2.426811944358633,80744.15821786968
34,2020/03/15,10112.530952024232,80737.0,80737.56241423954,2.1755009260105,80744.15821786968
35,2020/03/16,9308.569423424868,80738.0,80739.38257287838,1.8201586388331634,80744.15821786968
36,2020/03/17,8554.077288508388,80739.0,80740.92708239518,1.54450951680883,80744.15821786968
37,2020/03/18,7105.081610227726,80739.0,80742.40811303072,1.4810306355175271,80744.15821786968
38,2020/03/19,6516.994173618016,80739.0,80742.96071571305,0.5526026823426946,80744.15821786968
39,2020/03/20,5971.972325890739,80739.0,80743.33258164812,0.37186593507612997,80744.15821786968
40,2020/03/21,5481.946273461683,80740.0,80743.58490839732,0.2523267491815204,80744.15821786968
41,2020/03/22,5023.828193448662,80740.0,80743.75750035117,0.1725919538675953,80744.15821786968
42,2020/03/23,4622.472738875251,,80743.87645627599,0.11895592481414496,80744.15821786968
43,2020/03/24,4273.9141031577665,,80743.95903139071,0.08257511472947954,80744.15821786968
44,2020/03/25,3948.777768769971,,80744.01673084433,0.0576994536222628,80744.15821786968
45,2020/03/26,3645.739352926903,,80744.05729099498,0.04056015063542873,80744.15821786968
46,2020/03/27,3363.448335467241,,80744.0859574017,0.028666406711636228,80744.15821786968
47,2020/03/28,3100.5761467457924,,80744.10631546631,0.02035806461390166,80744.15821786968
48,2020/03/29,2855.842779734565,,80744.12083469638,0.014519230082441936,80744.15821786968
49,2020/03/30,2628.030526703631,,80744.13122824815,0.010393551783636212,80744.15821786968
50,2020/03/31,2415.9900569051897,,80744.1386924953,0.007464247131792945,80744.15821786968
51,2020/04/01,2218.6419953739387,,80744.14406798195,0.0053754866512463195,80744.15821786968
52,2020/04/02,2034.975913162765,,80744.14794848877,0.003880506825225893,80744.15821786968
53,2020/04/03,1864.0478803739027,,80744.15075552098,0.0028070321968698413,80744.15821786968
54,2020/04/04,1704.9772725683795,,80744.15278957866,0.002034057677519741,80744.15821786968
55,2020/04/05,1556.9432415849442,,80744.15426569317,0.001476114523029537,80744.15821786968
56,2020/04/06,1419.1810924932943,,80744.15533825077,0.0010725575884862337,80744.15821786968
57,2020/04/07,1290.978705990572,,80744.15611840582,0.0007801550618751207,80744.15821786968
58,2020/04/08,1171.673083842143,,80744.15668638345,0.0005679776077158749,80744.15821786968
59,2020/04/09,1060.6470579100205,,80744.15710019879,0.0004138153617532225,80744.15821786968
60,2020/04/10,957.326181287266,,80744.15740188741,0.00030168860939738806,80744.15821786968
61,2020/04/11,861.1758070340221,,80744.15762194898,0.00022006157814757893,80744.15821786968
62,2020/04/12,771.6983525358082,,80744.15778254173,0.00016059276640589815,80744.15821786968
63,2020/04/13,688.4307433147624,,80744.1578997813,0.00011723954958142713,80744.15821786968
64,2020/04/14,610.9420279171683,,80744.15798539607,8.561477625335101e-05,80744.15821786968
