Confirm_interval_down,Confirm_interval_up,Dailynew_confirm,Dailynew_remove,Date,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
97180.0,98403.0,0.0,0.0,2020/03/16,97791.09117187762,83084.69192712642,14706.399244751197,2020-03-16,98831.0,11038.0,0.0,14923.0
114234.0,115564.0,17107.38966299717,2438.129759708454,2020/03/17,114898.48083487479,97753.95183041514,17144.52900445965,2020-03-17,114721.0,12251.0,15890.0,16922.0
134832.0,136275.0,20654.688896083215,2764.748772179726,2020/03/18,135553.169730958,115643.89195431862,19909.277776639377,2020-03-18,132785.0,13378.0,18064.0,18965.0
159364.0,160931.0,24592.796067106567,3133.549434231314,2020/03/19,160145.96579806457,137103.13858719388,23042.82721087069,2020-03-19,161544.0,16581.0,28759.0,23242.0
187757.0,189459.02500000002,28463.137050397636,3537.1826438223397,2020/03/20,188609.1028484622,162029.09299376918,26580.00985469303,2020-03-20,188590.0,19424.0,27046.0,27396.0
219637.0,221484.0,31951.75169670442,3962.595732523616,2020/03/21,220560.85454516663,190018.24895794998,30542.605587216647,2020-03-21,222330.0,21687.0,33740.0,31373.0
255581.0,257566.0,36013.480525429564,6949.745734152762,2020/03/22,256574.3350705962,219081.98374922678,37492.35132136941,2020-03-22,255332.0,25225.0,33002.0,36597.0
290688.0,292802.0,35169.95504411677,4772.226437124664,2020/03/23,291744.29011471296,249479.7123562189,42264.57775849407,,,,,
325137.0,327373.0,34509.862963501306,5162.40184490323,2020/03/24,326254.15307821427,278827.17347481695,47426.9796033973,,,,,
357908.0,360258.0,32827.1866661674,5492.223911599038,2020/03/25,359081.33974438166,306162.13622938533,52919.20351499634,,,,,
388886.0,391330.0,31025.405502521084,5755.973206373797,2020/03/26,390106.74524690275,331431.5685255326,58675.17672137014,,,,,
417935.0,420473.0,29096.967802170955,5955.545643828518,2020/03/27,419203.7130490737,354572.99068387505,64630.72236519866,,,,,
445517.0,448140.0,27623.350463271025,6098.447702008023,2020/03/28,446827.0635123447,376097.89344513806,70729.17006720668,,,,,
472048.0,474747.0,26572.393414638704,6194.514248533014,2020/03/29,473399.45692698343,396475.77261124377,76923.6843157397,,,,,
497894.0,500664.0,25880.18730941665,6253.633122308238,2020/03/30,499279.6442364001,416102.3267983522,83177.31743804793,,,,,
523260.0,526102.0,25399.076035068894,6284.422735859902,2020/03/31,524678.720271469,435216.98009756114,89461.74017390783,,,,,
548180.0,551088.0,24956.252629348775,6293.663178840172,2020/04/01,549634.9729008178,453879.56954806973,95755.403352748,,,,,
572559.0,575526.0,24407.184973978903,6286.277689706083,2020/04/02,574042.1578747967,472000.47683234257,102041.68104245409,,,,,
596195.0,599223.0,23665.646789410617,6265.64559964856,2020/04/03,597707.8046642073,489400.4780221046,108307.32664210265,,,,,
618873.0,621961.0,22706.0036221568,6234.032993125031,2020/04/04,620413.8082863641,505872.44865113636,114541.35963522768,,,,,
640394.0,643534.0,21548.45058819221,6192.990027813386,2020/04/05,641962.2588745563,521227.9092115152,120734.34966304107,,,,,
660608.0,663800.0,20240.37156049977,6143.651367330254,2020/04/06,662202.630435056,535324.6294046848,126878.00103037132,,,,,
679430.0,682661.0,18840.354115276714,6086.937109658058,2020/04/07,681042.9845503328,548078.0464103033,132964.93814002938,,,,,
696813.0,700087.0,17406.09624988376,6023.672427648184,2020/04/08,698449.0808002165,559460.470232539,138988.61056767756,,,,,
