Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/03/06,49.0,196.0,0.0,0.0,6.0,0.0,43.0,36.0,63.0,169.0,224.0,2020-03-06,49.0,0.0,6.0
2020/03/07,66.69912204024308,202.6638536566443,17.699122040243083,6.6638536566443065,6.220931151488401,0.2209311514884007,60.47819088875468,51.0,83.0,175.0,231.0,2020-03-07,54.0,5.0,8.0
2020/03/08,83.8653117274605,222.06312826841284,17.16618968721741,19.399274611768533,6.514436926697122,0.2935057752087209,77.35087480076338,66.0,102.0,193.0,252.0,2020-03-08,64.0,10.0,8.0
2020/03/09,102.06768637497349,254.3241956446284,18.202374647512997,32.26106737621555,6.881345097255617,0.3669081705584958,95.18634127771787,83.0,122.0,223.0,286.0,2020-03-09,76.0,12.0,9.0
2020/03/10,122.77137544367514,300.6668727034681,20.70368906870165,46.34267705883968,7.328875656492621,0.4475305592370038,115.44249978718251,102.0,145.0,267.0,335.0,2020-03-10,79.0,3.0,9.0
2020/03/11,147.47620943562393,363.36641354460136,24.70483399194879,62.699540841133285,7.870474464809855,0.5415988083172341,139.60573497081407,124.0,172.0,327.0,401.0,2020-03-11,108.0,29.0,9.0
2020/03/12,177.83995409252307,445.80385544431135,30.363744656899144,82.43744189971,8.526199654000385,0.6557251891905294,169.3137544385227,152.0,204.0,405.0,488.0,2020-03-12,117.0,9.0,9.0
2020/03/13,215.79765639434635,552.5935485062887,37.957702301823275,106.78969306197735,9.323618378599967,0.7974187245995825,206.47403801574637,187.0,245.0,507.0,599.0,2020-03-13,193.0,76.0,9.0
2020/03/14,263.6862924462992,689.7814717240246,47.88863605195286,137.18792321773594,10.299215453265607,0.9755970746656395,253.3870769930336,232.0,296.0,639.0,742.0,2020-03-14,196.0,3.0,9.0
2020/03/15,324.38220521616114,865.1098629262594,60.695912769861934,175.3283912022348,11.500350687613679,1.2011352343480723,312.8818545285475,290.0,360.0,808.0,923.0,2020-03-15,250.0,54.0,9.0
2020/03/16,401.457352423992,1088.3422551742133,77.07514720783087,223.23239224795384,12.987830301254276,1.4874796136405966,388.4695221227377,363.0,441.0,1024.0,1154.0,2020-03-16,405.0,155.0,14.0
2020/03/17,499.3586650045157,1371.6370959885903,97.90131258052367,283.29484081437704,14.839179632005912,1.8513493307516367,484.51948537250973,456.0,544.0,1299.0,1445.0,2020-03-17,465.0,60.0,15.0
2020/03/18,623.6122430558055,1729.945927041566,124.25357805128982,358.3088310529756,17.15271721418044,2.313537582174529,606.459525841625,575.0,673.0,1649.0,1812.0,2020-03-18,727.0,262.0,19.0
2020/03/19,781.0498855716825,2181.3909947940497,157.43764251587697,451.44506775248374,20.052528981313422,2.899811767132981,760.997356590369,727.0,836.0,2090.0,2273.0,2020-03-19,873.0,146.0,22.0
2020/03/20,980.0485338134816,2747.5441857557444,198.99864824179917,566.1531909616947,23.694416741551485,3.6418877602380633,956.3541170719302,919.0,1042.0,2645.0,2851.0,2020-03-20,1087.0,214.0,22.0
2020/03/21,1230.762350587455,3453.4816826946553,250.71381677397346,705.937496938911,28.272833217689808,4.578416476138322,1202.4895173697653,1163.0,1300.0,3339.0,3569.0,2020-03-21,1190.0,103.0,27.0
2020/03/22,1470.0,4327.690655843719,239.2376494125449,874.2089731490632,31.0,2.727166782310192,1439.0,1395.0,1545.0,4199.0,4457.0,2020-03-22,1470.0,280.0,31.0
2020/03/23,1879.3090202467786,5535.09828095168,409.3090202467786,1207.4076251079614,37.95216554249982,6.95216554249982,1841.3568547042787,1795.0,1965.0,5390.0,5682.0,,,,
2020/03/24,2399.2606849486224,7013.5490832272735,519.9516647018438,1478.4508022755936,46.8429203166511,8.890754774151283,2352.4177646319713,2304.0,2496.0,6850.0,7178.0,,,,
2020/03/25,3050.910758137661,8795.138063590235,651.6500731890387,1781.5889803629616,58.178655427467945,11.335735110816842,2992.732102710193,2943.0,3160.0,8612.0,8980.0,,,,
2020/03/26,3855.8374320848793,10897.535740007253,804.9266739472182,2102.3976764170184,72.55489603209924,14.376240604631292,3783.28253605278,3735.0,3978.0,10694.0,11102.0,,,,
2020/03/27,4833.809788334632,13314.573359823953,977.9723562497525,2417.0376198166996,90.65350224030945,18.098606208210214,4743.156286094322,4697.0,4970.025000000023,13089.0,13541.0,,,,
2020/03/28,5999.604040642169,16007.058089391965,1165.7942523075371,2692.484729568012,113.22811065625136,22.57460841594191,5886.3759299859175,5848.0,6152.0,15760.0,16256.0,,,,
2020/03/29,7359.28679196619,18897.17720269073,1359.6827513240214,2890.119113298766,141.07478470773265,27.846674051481287,7218.212007258458,7192.0,7528.0,18628.0,19167.0,,,,
2020/03/30,8906.697338279559,21870.494963422403,1547.4105463133683,2973.317760731672,174.98708275679164,33.91229804905899,8731.710255522767,8722.0,9092.0,21581.0,22161.0,,,,
2020/03/31,10621.195139292744,24788.259047334202,1714.4978010131854,2917.7640839117994,215.69864686334137,40.71156410654973,10405.496492429402,10419.0,10823.0,24480.0,25097.0,,,,
2020/04/01,12467.731496991972,27509.042804940153,1846.5363576992277,2720.78375760595,263.82108676797134,48.12243990462997,12203.910410224,12250.0,12687.0,27184.0,27834.0,,,,
2020/04/02,14399.774502387667,29914.018470276093,1932.0430053956952,2404.97566533594,319.78846548410337,55.96737871613203,14079.986036903563,14165.0,14635.0,29576.0,30253.0,,,,
2020/04/03,16364.67290199651,31927.35015888181,1964.8983996088427,2013.3316886057182,383.8199721657708,64.03150668166745,15980.852929830739,16114.0,16616.0,31578.0,32278.0,,,,
2020/04/04,18310.130909478947,33524.72930740712,1945.458007482437,1597.3791485253096,455.9085011608579,72.08852899508707,17854.222408318088,18046.0,18576.0,33166.0,33884.0,,,,
2020/04/05,20190.093705109048,34728.3770648998,1879.962795630101,1203.647757492683,535.8361350029022,79.92763384204432,19654.257570106147,19912.0,20469.0,34364.0,35095.0,,,,
2020/04/06,21968.705538930208,35592.50389490856,1778.61183382116,864.126830008754,623.2108220919162,87.37468708901395,21345.494716838293,21679.0,22259.0,35223.0,35963.0,,,,
2020/04/07,23621.83501821208,36185.90433248966,1653.1294792818735,593.4004375811055,717.5145681205936,94.30374602867744,22904.320450091487,23321.0,23924.0,35813.0,36560.0,,,,
2020/04/08,25136.483658022218,36577.35671546812,1514.648639810137,391.45238297845935,818.1531814481214,100.63861332752776,24318.330476574098,24826.0,25448.0,36204.0,36953.0,,,,
2020/04/09,26508.855332521158,36826.513760606875,1372.3716744989397,249.15704513875244,924.5001369127244,106.34695546460307,25584.355195608434,26190.0,26829.0,36451.0,37202.0,,,,
2020/04/10,27741.911734076042,36980.17811740007,1233.0564015548844,153.66435679319693,1035.930688398362,111.43055148563758,26705.98104567768,27417.0,28069.0,36604.0,37357.0,,,,
2020/04/11,28843.024367043236,37072.37200111963,1101.1126329671933,92.19388371955574,1151.8454849848881,115.91479658652611,27691.178882058346,28510.0,29176.0,36696.0,37451.0,,,,
2020/04/12,29822.04880820502,37126.37686269393,979.024441161786,54.004861574299866,1271.6849347432872,119.83944975839904,28550.363873461734,29483.0,30161.0,36750.0,37504.0,,,,
2020/04/13,30689.91534292484,37157.36368345801,867.8665347198184,30.98682076408295,1394.9364167268584,123.25148198357124,29294.978926197982,30347.0,31034.0,36780.0,37534.0,,,,
2020/04/14,31457.691787363736,37174.82944796492,767.7764444388959,17.46576450690918,1521.1365055847846,126.20008885792618,29936.55528177895,31110.0,31806.0,36797.0,37553.0,,,,
2020/04/15,32136.016820478508,37184.52491998984,678.3250331147719,9.695472024919582,1649.8700303430353,128.73352475825072,30486.146790135474,31786.0,32488.0,36807.0,37563.0,,,,
2020/04/16,32734.795528587827,37189.83731470901,598.7787081093193,5.3123947191706975,1780.767322157858,130.89729181482267,30954.028206429968,32381.0,33090.0,36812.0,37569.0,,,,
2020/04/17,33263.06613916333,37192.71604142117,528.270610575506,2.878726712158823,1913.5005717210495,132.73324956319152,31349.565567442285,32907.0,33621.0,36814.0,37571.0,,,,
2020/04/18,33728.970720760386,37194.261443986026,465.90458159705304,1.5454025648577954,2047.7798764521942,134.27930473114475,31681.190844308192,33370.0,34089.0,36817.0,37573.0,,,,
2020/04/19,34139.78433989138,37195.08456385106,410.8136191309968,0.8231198650319129,2183.3493170921465,135.5694406399523,31956.435022799236,33778.0,34502.0,36818.0,37574.0,,,,
