Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
129.0,178.0,37.0,65.0,0.0,0.0,0.0,2020/03/14,153.0,51.0,50.0,1.0,2020-03-14,51.0,0.0,0.0,1.0
143.0,194.0,74.0,111.0,15.078926488370257,40.88889218400942,0.13933811562770226,2020/03/15,168.07892648837026,91.88889218400942,90.74955406838171,1.1393381156277023,2020-03-15,59.0,0.0,8.0,1.0
181.0,238.0,107.0,151.0,41.22634728003169,36.55265451468216,0.2122279260368285,2020/03/16,209.30527376840195,128.44154669869158,127.08998065702706,1.3515660416645308,2020-03-16,77.0,0.0,18.0,1.0
245.0,310.0,147.0,198.0,68.08342295812099,43.68821908753861,0.288529965450921,2020/03/17,277.38869672652294,172.1297657862302,170.48966977911473,1.6400960071154518,2020-03-17,140.0,0.0,63.0,1.0
342.0,418.0,202.0,262.0,101.89466160021487,59.56475563393994,0.3872549732831827,2020/03/18,379.2833583267378,231.69452142017013,229.6671704397715,2.0273509803986345,2020-03-18,203.0,0.0,63.0,2.0
482.0,572.0,282.0,352.0,147.46818430175688,84.51186128657736,0.5253804967155911,2020/03/19,526.7515426284947,316.2063827067475,313.6536512296333,2.5527314771142255,2020-03-19,335.0,0.0,132.0,4.0
683.0,789.0,396.0,478.0,209.04448662685775,120.43642605408763,0.7221958868795966,2020/03/20,735.7960292553524,436.6428087608351,433.3678813968413,3.274927363993822,2020-03-20,484.0,0.0,149.0,4.0
963.0,1089.0,559.0,655.0,289.8690200415882,169.96029163160915,1.0014994714434429,2020/03/21,1025.6650492969407,606.6031003924443,602.326673557007,4.276426835437265,2020-03-21,670.0,0.0,186.0,8.0
1343.0,1491.0,743.0,854.0,390.4941027484351,191.39689960755572,9.723573164562735,2020/03/22,1416.1591520453758,798.0,784.0,14.0,2020-03-22,798.0,6.0,128.0,14.0
1414.0,1565.0,980.0,1107.0,72.81090349394844,245.1461470243296,1.78097679594093,2020/03/23,1488.9700555393242,1043.1461470243296,1027.3651702283887,15.78097679594093,,,,,
1600.0,1760.0,1179.0,1318.0,190.78784479112483,204.9029104467147,2.204117222582294,2020/03/24,1679.757900330449,1248.0490574710443,1230.0639634525212,17.985094018523224,,,,,
1884.0,2058.0,1394.0,1544.0,290.60418113054106,220.21918488392294,2.6077975098849073,2020/03/25,1970.36208146099,1468.2682423549672,1447.6753508265592,20.59289152840813,,,,,
2262.0,2453.0,1654.0,1817.0,386.8274213920515,266.66547858033096,3.073575480773588,2020/03/26,2357.1895028530416,1734.9337209352982,1711.2672539261164,23.66646700918172,,,,,
2732.0,2941.0,1978.0,2156.0,479.2551829366912,331.41356502396116,3.64855751355352,2020/03/27,2836.444685789733,2066.3472859592594,2039.032261436524,27.31502452273524,,,,,
3280.0,3508.0,2374.0,2568.0,557.2541203830378,404.17057141549776,4.35821627080524,2020/03/28,3393.6988061727707,2470.517857374757,2438.8446165812165,31.67324079354048,,,,,
3875.0,4122.0,2838.0,3050.0,604.3474090587488,473.13540084300075,5.2067689368631065,2020/03/29,3998.0462152315195,2943.653258217758,2906.773248487354,36.880009730403586,,,,,
4471.0,4737.0,3354.0,3584.0,605.5749014939247,524.7667878364878,6.173461762067468,2020/03/30,4603.621116725444,3468.4200460542456,3425.3665745617745,43.053471492471054,,,,,
5020.0,5301.0,3891.0,4140.0,556.2572915846258,546.8408299670127,7.21175958248498,2020/03/31,5159.87840831007,4015.2608760212584,3964.9956449463025,50.265231074956034,,,,,
