Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
376.0,456.0,95.0,138.0,0.0,0.0,0.0,2020/03/08,416.0,116.08363535123411,116.08363535123411,0.0,2020-03-08,104.0,0.0,0.0,0.0
396.0,478.0,179.0,235.0,20.96055139448555,90.29104986467101,0.2701443900330476,2020/03/09,436.96055139448555,206.37468521590512,206.10454082587208,0.2701443900330476,2020-03-09,131.0,2.0,27.0,2.0
448.0,535.0,263.0,331.0,53.81375363952287,90.29104986467104,0.4313808572309472,2020/03/10,490.7743050340084,296.66573508057616,295.96420983331217,0.7015252472639948,2020-03-10,182.0,4.0,51.0,4.0
526.0,619.0,352.0,429.0,81.32676468313048,93.43039608607461,0.5667888206521465,2020/03/11,572.1010697171389,390.09613116665076,388.8278170987346,1.2683140679161413,2020-03-11,246.0,4.0,64.0,4.0
630.0,732.0,442.0,528.0,108.56637675345189,94.72290813614637,0.7017323787664758,2020/03/12,680.6674464705908,484.81903930279714,482.84899285611453,1.970046446682617,2020-03-12,302.0,4.0,56.0,5.0
764.0,876.0,544.0,640.0,138.6931529244656,106.67424615893856,0.8523846338595753,2020/03/13,819.3605993950564,591.4932854617357,588.6708543811935,2.8224310805421924,2020-03-13,504.0,6.0,202.0,7.0
932.0,1056.0,666.0,771.0,173.96489642776112,126.73764663055772,1.0308535113556196,2020/03/14,993.3254958228175,718.2309320922934,714.3776475003956,3.853284591897812,2020-03-14,655.0,6.0,151.0,7.0
1142.0,1278.0,815.0,931.0,216.25693212347107,154.12827827068452,1.2479514058569015,2020/03/15,1209.5824279462886,872.3592103629779,867.2579743652232,5.1012359977547135,2020-03-15,860.0,6.0,205.0,7.0
1402.0,1553.0,998.0,1126.0,267.31783519696273,189.0402504750674,1.5147520062326558,2020/03/16,1476.9002631432513,1061.3994608380453,1054.7834728340579,6.615988003987369,2020-03-16,1018.0,6.0,158.0,9.0
1723.0,1889.0,1224.0,1365.0,328.8691785873698,232.22880342043072,1.8435151585979606,2020/03/17,1805.769441730621,1293.628264258476,1285.1687610958907,8.45950316258533,2020-03-17,1332.0,6.0,314.0,9.0
2117.0,2301.0,1501.0,1657.0,402.59693322832936,284.76605413700145,2.248261866876657,2020/03/18,2208.3663749589505,1578.3943183954775,1567.6865533660155,10.707765029461987,2020-03-18,1646.0,9.0,314.0,13.0
2597.0,2801.0,1841.0,2013.0,490.04844210127476,347.8644381098775,2.7451171192725816,2020/03/19,2698.4148170602252,1926.258756505355,1912.8058743566205,13.452882148734568,2020-03-19,2013.0,9.0,367.0,15.0
3179.0,3404.0,2233.0,2422.0,592.4311753866709,400.3703337149723,3.352440530559603,2020/03/20,3290.845992446896,2326.6290902203273,2309.8237675410332,16.80532267929417,2020-03-20,2388.0,9.0,375.0,15.0
3878.0,4126.0,2685.0,2892.0,710.3038809533505,461.54128396669194,4.090699982178098,2020/03/21,4001.1498734002466,2788.170374187019,2767.274351525547,20.89602266147227,2020-03-21,2649.0,9.0,261.0,15.0
4708.0,4981.0,3158.0,3382.0,843.1582084275001,481.0295730235471,4.103977338527731,2020/03/22,4844.308081827747,3269.1999472105663,3244.1999472105663,25.0,2020-03-22,3244.0,9.0,595.0,25.0
4797.0,5072.0,3625.0,3865.0,89.53998861528726,475.30505379533315,5.80419261551442,2020/03/23,4933.848070443034,3744.5050010058994,3713.700808390385,30.80419261551442,,,,,
5020.0,5302.0,4095.0,4350.0,226.73567702225773,477.35594010354816,6.611594895330963,2020/03/24,5160.583747465292,4221.860941109448,4184.445153598602,37.415787510845384,,,,,
5350.0,5640.0,4566.0,4834.0,334.01879525542154,477.3559401035491,7.261342256570771,2020/03/25,5494.602542720713,4699.216881212997,4654.539751445581,44.677129767416154,,,,,
5775.0,6077.0,4883.0,5161.0,430.3232760180026,322.12333698527345,7.872290389310031,2020/03/26,5924.925818738716,5021.34021819827,4968.790798041544,52.549420156726185,,,,,
6294.0,6609.0,5295.0,5584.0,525.8655040812619,417.781994512402,8.514495842463603,2020/03/27,6450.791322819978,5439.122212710672,5378.058296711482,61.06391599918979,,,,,
6913.0,7242.0,5764.0,6065.0,625.7511028585977,474.96576809149883,9.232535650138274,2020/03/28,7076.5424256785755,5914.087980802171,5843.7915291528425,70.29645164932806,,,,,
7636.0,7982.0,6305.0,6621.0,731.8515778453966,548.4648572819096,10.057532326627552,2020/03/29,7808.394003523972,6462.552838084081,6382.198854108125,80.35398397595561,,,,,
8471.0,8835.0,6933.0,7263.0,843.6864474108897,634.6664369469518,11.012999990832313,2020/03/30,8652.080450934862,7097.219275031032,7005.852291064244,91.36698396678793,,,,,
9419.0,9803.0,7655.0,8002.0,958.7920806357433,730.6850357011926,12.117229164583094,2020/03/31,9610.872531570605,7827.904310732225,7724.420097600854,103.48421313137102,,,,,
10482.0,10887.0,8479.0,8844.0,1072.8954703607833,833.4359590716485,13.383664090000963,2020/04/01,10683.768001931388,8661.340269803874,8544.472392582502,116.86787722137198,,,,,
11651.0,12079.0,9409.0,9793.0,1180.1210009144488,939.0995994258956,14.820097580951611,2020/04/02,11863.889002845837,9600.43986922977,9468.751894427445,131.6879748023236,,,,,
12913.0,13363.0,10442.0,10846.0,1273.3986654403816,1042.8833946799532,16.42723620321317,2020/04/03,13137.287668286219,10643.323263909722,10495.208052904185,148.11521100553676,,,,,
14247.0,14719.0,11570.0,11995.0,1345.1743558995222,1139.0688479571563,18.197109603311247,2020/04/04,14482.462024185741,11782.392111866879,11616.079791258031,166.312320608848,,,,,
15625.0,16118.0,12781.0,13228.0,1388.4225168087105,1221.3533646527685,20.11180179148792,2020/04/05,15870.884540994452,13003.745476519647,12817.32135411931,186.42412240033593,,,,,
17012.0,17526.0,14053.0,14522.0,1397.8297546482172,1283.4684371443818,22.14298122226262,2020/04/06,17268.71429564267,14287.213913664029,14078.646810041431,208.56710362259855,,,,,
18372.0,18908.0,15363.0,15853.0,1370.8928370294452,1319.9911059242968,24.252624174092404,2020/04/07,18639.607132672114,15607.205019588326,15374.385291791636,232.81972779669096,,,,,
19671.0,20226.0,16680.0,17190.0,1308.6157262343331,1327.1899734829112,26.39512764455506,2020/04/08,19948.222858906447,16934.394993071237,16675.18013762999,259.214855441246,,,,,
20879.0,21450.0,17974.0,18503.0,1215.5521788859514,1303.6989948290138,28.52069828862807,2020/04/09,21163.7750377924,18238.09398790025,17950.358434170375,287.7355537298741,,,,,
21971.0,22555.0,19216.0,19763.0,1099.125250411067,1250.8282495615167,30.579567528819837,2020/04/10,22262.900288203466,19488.922237461768,19170.607116203075,318.3151212586939,,,,,
22933.0,23531.0,20380.0,20944.0,968.3910106206495,1172.4090648833844,32.526333518899264,2020/04/11,23231.291298824115,20661.331302345152,20310.489847567558,350.8414547775932,,,,,
23761.0,24368.0,21447.0,22024.0,832.5917029211851,1074.203789705116,34.3236689790358,2020/04/12,24063.8830017453,21735.535092050268,21350.36996829364,385.165123756629,,,,,
24456.0,25073.0,22404.0,22994.0,699.8790402485611,963.033874816676,35.94479259013991,2020/04/13,24763.76204199386,22698.568966866944,22277.459050520174,421.1099163467689,,,,,
25028.0,25653.0,23244.0,23846.0,576.4784517466724,845.8428292670869,37.3744171442022,2020/04/14,25340.240493740534,23544.41179613403,23085.92746264306,458.4843334909711,,,,,
25492.0,26122.0,23968.0,24579.0,466.380866036121,728.8957852612803,38.60824285422473,2020/04/15,25806.621359776655,24273.30758139531,23776.215005050115,497.0925763451958,,,,,
25862.0,26495.0,24581.0,25200.0,371.48226214930764,617.2430853258156,39.65134052708578,2020/04/16,26178.103621925962,24890.550666721127,24353.806749848845,536.7439168722816,,,,,
26152.0,26789.0,25093.0,25718.0,292.0014543800353,514.4820905613778,40.51590137978985,2020/04/17,26470.105076305997,25405.032757282504,24827.772939030434,577.2598182520715,,,,,
26377.0,27018.0,25513.0,26143.0,226.9993229227257,422.7757983810952,41.21881930936627,2020/04/18,26697.104399228723,25827.8085556636,25209.32991810216,618.4786375614377,,,,,
26552.0,27194.0,25855.0,26488.0,174.86799987847553,343.0462321778177,41.779464075333294,2020/04/19,26871.9723991072,26170.854787841417,25510.596686204648,660.258101636771,,,,,
