Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
92.0,133.0,18.0,39.0,0.0,0.0,0.0,2020/03/13,112.0,28.0,26.0,2.0,2020-03-13,28.0,2.0,0.0,2.0
105.0,149.0,79.0,117.0,14.5912310359262,69.48542809464965,0.28113455121768505,2020/03/14,126.5912310359262,97.48542809464965,95.20429354343196,2.281134551217685,2020-03-14,31.0,2.0,3.0,2.0
134.0,183.0,111.0,157.0,31.1477347467152,36.05927356492418,0.4773160405300998,2020/03/15,157.7389657826414,133.54470165957383,130.78625106782604,2.758450591747785,2020-03-15,53.0,2.0,22.0,2.0
174.0,230.0,147.0,198.0,43.67331887286568,38.142417673439866,0.625915846935595,2020/03/16,201.41228465550708,171.6871193330137,168.30275289433033,3.38436643868338,2020-03-16,136.0,2.0,83.0,2.0
229.0,292.0,192.0,250.0,58.6691881267254,49.167462661129804,0.8044877635122725,2020/03/17,260.0814727822325,220.8545819941435,216.66572779194786,4.188854202195652,2020-03-17,236.0,2.0,100.0,2.0
303.0,375.0,253.0,320.0,78.3081661384636,65.29709597600899,1.039480291635826,2020/03/18,338.3896389206961,286.1516779701525,280.923343476321,5.228334493831478,2020-03-18,299.0,2.0,63.0,2.0
402.0,484.0,336.0,411.0,104.30095247943251,86.97561495842388,1.3523917314028644,2020/03/19,442.6905914001286,373.12729292857637,366.546566703342,6.580726225234343,2020-03-19,454.0,13.0,155.0,15.0
535.0,629.0,446.0,533.0,138.64994200996227,115.73065914373677,1.769146031270922,2020/03/20,581.3405334100909,488.85795207231314,480.5080798158079,8.349872256505265,2020-03-20,501.0,13.0,47.0,16.0
712.0,820.0,593.0,693.0,183.8524238108049,153.6768602062843,2.323241880227128,2020/03/21,765.1929572208958,642.5348122785974,631.8616981418651,10.673114136732393,2020-03-21,730.0,13.0,229.0,16.0
946.0,1071.0,722.0,831.0,242.99047210193567,133.46518772140257,9.326885863267607,2020/03/22,1008.1834293228314,776.0,756.0,20.0,2020-03-22,776.0,15.0,46.0,20.0
1250.0,1393.0,1029.0,1159.0,312.9233715425555,317.6770031972105,3.8394672251816537,2020/03/23,1321.106800865387,1093.6770031972105,1069.837535972029,23.839467225181654,,,,,
1660.0,1824.0,1383.0,1533.0,420.06328241286315,363.627967370576,5.222856169653582,2020/03/24,1741.17008327825,1457.3049705677865,1428.2426471729514,29.062323394835236,,,,,
2195.0,2383.0,1837.0,2008.0,547.2967227319475,464.78138276760524,6.925837854558676,2020/03/25,2288.4668060101976,1922.0863533353918,1886.0981920859979,35.98816124939391,,,,,
2886.0,3100.0,2424.0,2620.0,703.9551438817607,599.3120457198597,9.117914445624137,2020/03/26,2992.4219498919583,2521.3983990552515,2476.2923233602332,45.10607569501805,,,,,
3764.0,4009.0,3176.0,3400.0,893.5736835263892,766.0944645400355,11.932479567810269,2020/03/27,3885.9956334183476,3287.492863595287,3230.454308332459,57.03855526282832,,,,,
4864.0,5141.0,4126.0,4382.0,1115.7849877036138,965.7705989812252,15.504098579191627,2020/03/28,5001.780621121961,4253.263462576512,4180.7208087344925,72.54265384201994,,,,,
