Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
128.0,177.0,26.0,51.0,0.0,0.0,0.0,2020/03/11,152.0,38.0,38.0,0.0,2020-03-11,38.0,0.0,0.0,0.0
140.0,190.0,54.0,86.0,12.169091968032035,31.457571315688256,0.2977996968499156,2020/03/12,164.16909196803203,69.45757131568826,69.15977161883833,0.2977996968499156,2020-03-12,52.0,0.0,14.0,0.0
172.0,227.0,80.0,119.0,34.45282583078739,29.481129853805484,0.4600617570365546,2020/03/13,198.62191779881942,98.93870116949374,98.18083971560726,0.7578614538864702,2020-03-13,151.0,0.0,99.0,0.0
225.0,288.0,111.0,156.0,57.589262601835856,33.961624248788624,0.6291077108203872,2020/03/14,256.2111804006553,132.90032541828236,131.5133562535755,1.3869691647068574,2020-03-14,151.0,0.0,0.0,0.0
306.0,379.0,151.0,203.0,85.91018557511649,44.03122635517872,0.8372409171633952,2020/03/15,342.12136597577177,176.93155177346108,174.70734169159084,2.2242100818702526,2020-03-15,162.0,0.0,11.0,0.0
424.0,508.0,207.0,268.0,123.51917291345171,60.150618072372,1.1156907866211458,2020/03/16,465.6405388892235,237.08216984583308,233.74226897734167,3.3399008684913984,2020-03-16,200.0,1.0,38.0,1.0
592.0,691.0,286.0,356.0,175.0708686931834,83.81049226934542,1.5009420255479564,2020/03/17,640.7114075824069,320.8926621151785,316.0518192211391,4.840842894039355,2020-03-17,321.0,2.0,121.0,3.0
829.0,946.0,398.0,480.0,246.34849952911122,117.48811620373152,2.0401549794758305,2020/03/18,887.0599071115181,438.38077831891,431.49978044539483,6.880997873515185,2020-03-18,372.0,2.0,51.0,5.0
1164.0,1301.0,556.0,652.0,344.7141006740543,164.750739544263,2.796759610300753,2020/03/19,1231.7740077855724,603.131517863173,593.453760379357,9.677757483815938,2020-03-19,621.0,2.0,249.0,8.0
1631.0,1793.0,777.0,891.0,479.38249756926416,230.42908323727295,3.856813626660836,2020/03/20,1711.1565053548366,833.560601100446,820.0260299899692,13.534571110476774,2020-03-20,905.0,2.0,284.0,13.0
2277.0,2468.0,1088.0,1221.0,661.3189996744527,320.77147240624424,5.336275211266171,2020/03/21,2372.4755050292893,1154.3320735066902,1135.4612271849473,18.870846321742945,2020-03-21,1128.0,2.0,223.0,20.0
3163.0,3388.0,1515.0,1672.0,902.3515581374263,438.6679264933098,8.129153678257055,2020/03/22,3274.8270631667156,1593.0,1566.0,27.0,2020-03-22,1593.0,2.0,465.0,27.0
4377.0,4640.0,2113.0,2297.0,1233.607806097708,611.1897201454872,10.190743538744762,2020/03/23,4508.4348692644235,2204.189720145487,2166.9989766067424,37.19074353874476,,,,,
5975.0,6282.0,2926.0,3141.0,1619.3561584618856,828.7209612865336,14.064856005184389,2020/03/24,6127.791027726309,3032.9106814320207,2981.6550818880914,51.25559954392915,,,,,
8021.0,8376.0,4008.0,4260.0,2069.9778877237295,1100.4478166395606,19.259562052977785,2020/03/25,8197.768915450039,4133.358498071581,4062.8433364746743,70.51516159690694,,,,,
10546.0,10953.0,5413.0,5705.0,2551.340104665711,1425.0544347389987,26.066214047650988,2020/03/26,10749.10902011575,5558.41293281058,5461.831557166022,96.58137564455792,,,,,
13519.0,13979.0,7179.0,7515.0,2999.0657719309365,1788.3644856979408,34.7344794801282,2020/03/27,13748.174792046686,7346.777418508521,7215.461563383835,131.31585512468612,,,,,
16815.0,17327.0,9315.0,9697.0,3322.3623139856118,2158.901300080085,45.388592826038774,2020/03/28,17070.537106032298,9505.678718588606,9328.974270637882,176.7044479507249,,,,,
20218.0,20779.0,11780.0,12208.0,3427.521993644961,2488.266354604817,57.93081120691187,2020/03/29,20498.05909967726,11993.945073193423,11759.309814035787,234.63525915763677,,,,,
23455.0,24059.0,14477.0,14952.0,3258.9325661457005,2720.3620854005967,71.97051261354153,2020/03/30,23756.99166582296,14714.30715859402,14407.701386822842,306.6057717711783,,,,,
26273.0,26913.0,17265.0,17784.0,2835.5588305750753,2809.1126144509944,86.82951435356631,2020/03/31,26592.550496398035,17523.419773045014,17129.984486920268,393.4352861247446,,,,,
28513.0,29179.0,19982.0,20540.0,2252.170761198551,2736.8044584122326,101.65150736894316,2020/04/01,28844.721257596586,20260.224231457247,19765.13743796356,495.08679349368776,,,,,
30141.0,30824.0,22487.0,23078.0,1637.360579377233,2521.5782543705973,115.58644089577228,2020/04/02,30482.08183697382,22781.802485827844,22171.129251438382,610.67323438946,,,,,
31232.0,31928.0,24681.0,25301.0,1097.6059790936124,2208.9052110848643,127.97072271611637,2020/04/03,31579.68781606743,24990.70769691271,24252.06373980713,738.6439571055764,,,,,
31914.0,32618.0,26524.0,27166.0,685.5875089713045,1853.2253904168792,138.42768947535035,2020/04/04,32265.275325038736,26843.933087329588,25966.86144074866,877.0716465809268,,,,,
32315.0,33024.0,28016.0,28675.0,403.80455794986483,1501.1215237747201,146.8660874697024,2020/04/05,32669.0798829886,28345.054611104308,27321.11687705368,1023.9377340506292,,,,,
32542.0,33252.0,29192.0,29865.0,226.94027176098825,1183.0432478234943,153.40824113145686,2020/04/06,32896.02015474959,29528.097858927802,28350.751883745717,1177.345975182086,,,,,
