Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/03/01,130.0,520.0,0.0,0.0,16.0,0.0,114.0,108.0,153.0,476.0,565.0,2020-03-01,130.0,0.0,16.0,16.0
2020/03/02,251.37172425871796,549.9218347283177,121.37172425871796,29.921834728317663,16.484450367627502,0.4844503676275025,234.88727389109044,221.0,283.0,504.0,596.0,2020-03-02,159.0,29.0,16.0,16.0
2020/03/03,353.0810529417729,628.3539410757869,101.70932868305493,78.43210634746924,17.266551347012392,0.7821009793848894,335.8145015947605,317.0,390.0,580.0,678.0,2020-03-03,196.0,37.0,16.0,16.0
2020/03/04,454.86962762291375,751.2044486004031,101.78857468114086,122.8505075246162,18.32070745989111,1.0541561128787187,436.5489201630227,413.0,497.0,698.0,806.0,2020-03-04,262.0,66.0,16.0,16.0
2020/03/05,570.4814175763812,921.5076234175458,115.61178995346745,170.3031748171427,19.66603357684581,1.3453261169546984,550.8153839995354,524.0,618.0,863.0,981.0,2020-03-05,545.0,283.0,16.0,16.0
2020/03/06,711.2970552480692,1147.5816489439885,140.81563767168802,226.0740255264427,21.35526680061298,1.6892332237671717,689.9417884474562,659.0,764.0,1082.0,1214.0,2020-03-06,670.0,125.0,17.0,17.0
2020/03/07,888.5192959778326,1442.376755028234,177.22224072976337,294.7951060842454,23.47143773997457,2.116170939361588,865.047858237858,831.0,947.0,1368.0,1517.0,2020-03-07,799.0,129.0,18.0,18.0
2020/03/08,1114.6211565502804,1823.518980641922,226.10186057244778,381.1422256136882,26.129394128661293,2.657956388686724,1088.4917624216191,1050.0,1180.0,1740.0,1908.0,2020-03-08,1040.0,241.0,18.0,18.0
2020/03/09,1404.4406960243043,2313.763893463828,289.81953947402394,490.2449128219059,29.480729382408974,3.3513352537476813,1374.9599666418953,1332.0,1478.0,2220.0,2408.0,2020-03-09,1176.0,136.0,18.0,20.0
2020/03/10,1776.1210594158604,2941.6670328492564,371.68036339155606,627.9031393854284,33.72144517788488,4.240715795475907,1742.3996142379756,1694.0,1859.0,2836.0,3048.0,2020-03-10,1457.0,281.0,18.0,20.0
2020/03/11,2251.979945654222,3742.292634367908,475.8588862383615,800.6256015186514,39.10205446021186,5.380609282326979,2212.87789119401,2159.0,2345.0,3623.0,3863.0,2020-03-11,1908.0,451.0,25.0,28.0
