Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
3159.0,3383.0,1026.0,1155.0,0.0,0.0,0.0,2020/03/14,3270.0,1090.0,1086.0,4.0,2020-03-14,1090.0,1.0,0.0,4.0
3540.0,3776.0,1125.0,1260.0,387.6221478899133,102.32676487462163,0.0,2020/03/15,3657.6221478899133,1192.3267648746216,1188.3267648746216,4.0,2020-03-15,1221.0,1.0,131.0,4.0
3970.0,4221.0,1238.0,1379.0,437.7691184951059,115.71372790040073,0.0,2020/03/16,4095.391266385019,1308.0404927750224,1304.0404927750224,4.0,2020-03-16,1333.0,1.0,112.0,4.0
4455.0,4720.0,1365.0,1514.0,491.6509499235849,130.77049884822122,0.0,2020/03/17,4587.042216308604,1438.8109916232436,1434.8109916232436,4.0,2020-03-17,1463.0,1.0,130.0,4.0
4995.0,5277.0,1509.0,1665.0,548.4492002817733,147.56968697230127,0.0,2020/03/18,5135.491416590377,1586.3806785955449,1582.3806785955449,4.0,2020-03-18,1550.0,1.0,87.0,7.0
5594.0,5892.0,1671.0,1835.0,606.9701425209696,166.13740992714702,0.0,2020/03/19,5742.461559111347,1752.5180885226919,1748.5180885226919,4.0,2020-03-19,1746.0,1.0,196.0,8.0
6252.0,6565.0,1853.0,2026.0,665.632466973494,186.4386993207347,0.0,2020/03/20,6408.094026084841,1938.9567878434266,1934.9567878434266,4.0,2020-03-20,1939.0,1.0,193.0,8.0
6965.0,7297.0,2057.0,2239.0,722.4995098979371,208.36390901796517,0.0,2020/03/21,7130.593535982778,2147.3206968613918,2143.3206968613918,4.0,2020-03-21,2164.0,1.0,225.0,8.0
7736.0,8085.0,2288.0,2479.0,779.3267353936872,235.67930313860825,4.0,2020/03/22,7909.920271376465,2383.0,2375.0,8.0,2020-03-22,2383.0,1.0,219.0,8.0
8549.0,8915.0,2539.0,2740.0,821.9075165165623,256.2171472388718,0.0,2020/03/23,8731.827787893028,2639.217147238872,2631.217147238872,8.0,,,,,
9400.0,9784.0,2815.0,3027.0,859.8517344727952,281.488101658465,0.0,2020/03/24,9591.679522365823,2920.705248897337,2912.705248897337,8.0,,,,,
10278.0,10680.0,3117.0,3339.0,887.2290314689599,307.0826396320176,0.0,2020/03/25,10478.908553834783,3227.7878885293544,3219.7878885293544,8.0,,,,,
11173.0,11590.0,3444.0,3678.0,902.562411525776,332.4965165122271,0.0,2020/03/26,11381.470965360559,3560.2844050415815,3552.2844050415815,8.0,,,,,
12070.0,12505.0,3795.0,4041.0,905.0363564036979,357.1975235687769,0.0,2020/03/27,12286.507321764257,3917.4819286103584,3909.4819286103584,8.0,,,,,
12957.0,13407.0,4170.0,4427.0,894.5828613187841,380.6572196098059,0.0,2020/03/28,13181.09018308304,4298.139148220164,4290.139148220164,8.0,,,,,
13821.0,14286.0,4567.0,4835.0,871.8720464353901,402.3833693219731,0.0,2020/03/29,14052.96222951843,4700.522517542137,4692.522517542137,8.0,,,,,
14653.0,15131.0,4983.0,5263.0,838.2103589899962,421.94822152758934,0.0,2020/03/30,14891.172588508427,5122.470739069727,5114.470739069727,8.0,,,,,
15441.0,15932.0,5416.0,5708.0,795.3701478698749,439.0096811754811,0.0,2020/03/31,15686.542736378302,5561.480420245208,5553.480420245208,8.0,,,,,
16181.0,16684.0,5863.0,6168.0,745.3845247935606,453.3233139155709,0.0,2020/04/01,16431.927261171862,6014.803734160779,6006.803734160779,8.0,,,,,
16866.0,17379.0,6322.0,6638.0,690.3421081171255,464.744933608883,0.0,2020/04/02,17122.269369288988,6479.548667769662,6471.548667769662,8.0,,,,,
17494.0,18016.0,6790.0,7117.0,632.2152368704483,473.22461942408063,0.0,2020/04/03,17754.484606159436,6952.773287193742,6944.773287193742,8.0,,,,,
18062.0,18593.0,7263.0,7601.0,572.7322953102703,478.7948488164802,0.0,2020/04/04,18327.216901469706,7431.568136010223,7423.568136010223,8.0,,,,,
