Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
553.0,648.0,127.0,174.0,0.0,0.0,0.0,2020/03/09,600.0,150.0,72.0,78.0,2020-03-09,150.0,78.0,0.0,78.0
683.0,789.0,133.0,183.0,135.86461550806507,7.471797410001727,2.464250148134326,2020/03/10,735.8646155080651,157.47179741000173,77.0075472618674,80.46425014813433,2020-03-10,160.0,78.0,10.0,78.0
841.0,959.0,142.0,193.0,163.82283185180847,9.533379936917044,2.660231920156079,2020/03/11,899.6874473598735,167.00517734691877,83.88069527862837,83.1244820682904,2020-03-11,178.0,96.0,18.0,96.0
1027.0,1157.0,153.0,206.0,191.52605714259346,11.971389333804325,2.9232176094132996,2020/03/12,1091.213504502467,178.9765666807231,92.92886700301939,86.0476996777037,2020-03-12,187.0,96.0,9.0,96.0
1237.0,1379.0,167.0,221.0,216.00979827996775,14.755916582747972,3.2629196575337147,2020/03/13,1307.2233027824348,193.73248326347107,104.42186392823365,89.31061933523742,2020-03-13,200.0,97.0,13.0,97.0
1465.0,1619.0,183.0,240.0,233.99599017904438,17.811446140426767,3.687022346458363,2020/03/14,1541.2192929614791,211.54392940389783,118.54628772220205,92.99764168169578,2020-03-14,212.0,105.0,12.0,105.0
1702.0,1867.0,203.0,263.0,242.70692153118262,21.01861076132903,4.199757919316042,2020/03/15,1783.9262144926618,232.56254016522686,135.36514056421504,97.19739960101182,2020-03-15,226.0,105.0,14.0,105.0
1937.0,2113.0,226.0,289.0,240.72088685763333,24.228482380609904,4.800790004319964,2020/03/16,2024.647101350295,256.79102254583677,154.79283294050498,101.99818960533179,2020-03-16,243.0,109.0,17.0,109.0
2161.0,2347.0,252.0,318.0,228.45403211243274,27.28682325070855,5.484778336027304,2020/03/17,2253.101133462728,284.0778457965453,176.5948778551862,107.48296794135909,2020-03-17,266.0,114.0,23.0,114.0
2365.0,2559.0,280.0,349.0,208.00334072254873,30.060442370772932,6.241808016294144,2020/03/18,2461.1044741852766,314.13828816731825,200.41351220966502,113.72477595765324,2020-03-18,313.0,114.0,47.0,114.0
2543.0,2745.0,311.0,384.0,182.4426524203286,32.45659657147087,7.058571529303649,2020/03/19,2643.547126605605,346.5948847387891,225.81153725183225,120.78334748695688,2020-03-19,345.0,124.0,32.0,124.0
2695.0,2903.0,343.0,420.0,154.94574897738585,34.430136962249264,7.919950205211748,2020/03/20,2798.492875582991,381.0250217010384,252.32172400886975,128.70329769216863,2020-03-20,385.0,124.0,40.0,124.0
