Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
3101.0,3323.0,2046.0,2227.0,0.0,0.0,0.0,2020/03/10,3211.2,2135.6661296719612,2090.6661296719612,45.0,2020-03-10,1784.0,12.0,0.0,45.0
3354.0,3584.0,2752.0,2961.0,257.32372805041996,720.5675913531886,83.46696979682253,2020/03/11,3468.52372805042,2856.23372102515,2727.7667512283274,128.46696979682253,2020-03-11,2281.0,12.0,497.0,60.0
3794.0,4040.0,3460.0,3695.0,447.7901701857754,720.5675913531882,104.146837946195,2020/03/12,3916.313898236195,3576.801312378338,3344.1875046353207,232.61380774301753,2020-03-12,2876.0,12.0,595.0,73.0
4344.0,4606.0,4221.0,4480.0,558.07905448973,773.6139306651526,116.0899279785402,2020/03/13,4474.392952725925,4350.415243043491,4001.711507321933,348.70373572155773,2020-03-13,3661.0,12.0,785.0,91.0
5017.0,5298.0,4881.0,5158.0,682.3601496695319,668.2489463878446,130.29089759344293,2020/03/14,5156.753102395457,5018.664189431335,4539.669556116334,478.99463331500067,2020-03-14,4500.0,12.0,839.0,103.0
5834.0,6137.0,5663.0,5962.0,828.0775668933748,792.8900390704857,147.92560131227617,2020/03/15,5984.830669288832,5811.554228501821,5184.633993874544,626.9202346272768,2020-03-15,5423.0,31.0,923.0,158.0
6818.0,7146.0,6602.0,6925.0,996.5544174854904,951.5648090166387,169.60264170720575,2020/03/16,6981.385086774322,6763.11903751846,5966.5961611839775,796.5228763344826,2020-03-16,6633.0,31.0,1210.0,179.0
7992.0,8346.0,7721.0,8070.0,1187.3358656584587,1131.7166591682453,195.900263918591,2020/03/17,8168.720952432781,7894.835696686705,6902.412556433632,992.4231402530736,2020-03-17,7730.0,602.0,1097.0,777.0
9375.0,9759.0,9037.0,9414.0,1397.793174919616,1330.1816438524856,227.3531348310014,2020/03/18,9566.514127352397,9225.01734053919,8005.241065455116,1219.776275084075,2020-03-18,9134.0,602.0,1404.0,866.0
10982.0,11397.0,10565.0,10971.0,1622.4424770027163,1542.0266352403232,264.38656812775366,2020/03/19,11188.956604355113,10767.043975779514,9282.881132567685,1484.1628432118287,2020-03-19,10995.0,1300.0,1861.0,1672.0
12818.0,13265.0,12219.0,12656.0,1852.4296007968787,1670.2441049020854,307.23017574921323,2020/03/20,13041.386205151992,12437.2880806816,10645.895061720557,1791.393018961042,2020-03-20,12612.0,1587.0,1617.0,2037.0
14876.0,15358.0,14183.0,14654.0,2075.4615858901707,1980.3010955764003,355.82011210984865,2020/03/21,15116.847791042162,14417.589176258,12270.37604518711,2147.2131310708905,2020-03-21,14459.0,1587.0,1847.0,2149.0
17136.0,17652.0,16374.0,16879.0,2276.468600023107,2208.1565674903322,726.7868689291095,2020/03/22,17393.31639106527,16625.74574374833,13751.745743748332,2874.0,2020-03-22,16044.0,2200.0,1585.0,2874.0
19680.0,20234.0,18753.0,19294.0,2563.4865381388627,2397.2284591934076,454.051406966973,2020/03/23,19956.802929204132,19022.97420294174,15694.922795974766,3328.051406966973,,,,,
22348.0,22937.0,21290.0,21864.0,2685.146710478468,2553.284928589892,523.8850764126241,2020/03/24,22641.9496396826,21576.25913153163,17724.322648152032,3851.936483379597,,,,,
25043.0,25668.0,23826.0,24434.0,2713.037713148242,2553.284928589899,591.0192091992558,2020/03/25,25354.98735283084,24129.54406012153,19686.588367542678,4442.955692578853,,,,,
27691.0,28347.0,26654.0,27298.0,2663.5118943975576,2845.819676300285,656.402880573929,2020/03/26,28018.4992472284,26975.363736421816,21876.005163269034,5099.358573152782,,,,,
30220.0,30905.0,29231.0,29906.0,2543.1321883245982,2593.0816676099566,717.9773192730327,2020/03/27,30561.631435552998,29568.445404031772,23751.10951160596,5817.335892425815,,,,,
32571.0,33282.0,31655.0,32356.0,2364.7430057505408,2436.755112592091,773.7440748285826,2020/03/28,32926.37444130354,32005.200516623863,25414.120549369465,6591.079967254397,,,,,
34705.0,35440.0,33875.0,34602.0,2145.7942009570907,2232.9390204019546,822.159655570128,2020/03/29,35072.16864226063,34238.13953702582,26824.89991420129,7413.239622824525,,,,,
36600.0,37354.0,35866.0,36612.0,1905.0456418865506,2000.0086253720146,862.2648054963465,2020/03/30,36977.21428414718,36238.14816239783,27962.643734076963,8275.504428320872,,,,,
