Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/03/05,55.0,220.0,0.0,0.0,23.0,0.0,32.0,41.0,70.0,191.0,250.0,2020-03-05,55.0,0.0,21.0,23.0
2020/03/06,62.28553615617529,263.97795099774277,7.28553615617529,43.97795099774277,23.27252409299644,0.2725240929964414,39.01301206317885,47.0,78.0,233.0,296.0,2020-03-06,60.0,5.0,21.0,23.0
2020/03/07,71.23802163556333,320.19748364613037,8.952485479388038,56.2195326483876,23.60497895323954,0.3324548602431001,47.63304268232379,55.0,88.0,286.0,356.0,2020-03-07,63.0,3.0,21.0,23.0
2020/03/08,82.33340954270778,391.94628000782643,11.095387907144456,71.74879636169607,24.01144860990975,0.4064696566702075,58.321960932798035,65.0,101.0,354.0,431.0,2020-03-08,76.0,13.0,21.0,25.0
2020/03/09,96.17367438279851,483.35491396353416,13.840264840090725,91.40863395570773,24.51002589997617,0.4985772900664216,71.66364848282234,77.0,116.0,441.0,527.0,2020-03-09,91.0,15.0,21.0,25.0
2020/03/10,113.51849392181306,599.5861569933566,17.34481953901455,116.2312430298224,25.123866099775693,0.6138401997995224,88.39462782203736,93.0,135.0,552.0,648.0,2020-03-10,107.0,16.0,21.0,24.0
2020/03/11,135.32361955929716,747.050074279945,21.805125637484096,147.4639172865884,25.882500719682106,0.7586346199064131,109.44111883961506,113.0,159.0,694.0,801.0,2020-03-11,128.0,21.0,21.0,24.0
2020/03/12,162.78655370697902,933.637178545014,27.462934147681864,186.587104265069,26.823463354870174,0.9409626351880682,135.96309035210885,138.0,188.0,874.0,994.0,2020-03-12,128.0,0.0,21.0,24.0
2020/03/13,197.39965569791656,1168.9525222489112,34.61310199093754,235.31534370389727,27.99428214506513,1.1708187901949572,169.40537355285142,170.0,225.0,1103.0,1236.0,2020-03-13,200.0,72.0,23.0,26.0
2020/03/14,241.0098571847405,1464.519126759438,43.61020148682394,295.56660451052676,29.454890666465836,1.4606085214007045,211.55496651827465,211.0,272.0,1390.0,1540.0,2020-03-14,250.0,50.0,23.0,26.0
2020/03/15,295.8825763081203,1833.898376044051,54.872719123379795,369.379249284613,31.28049675929943,1.8256060928335955,264.6020795488209,263.0,330.0,1750.0,1918.0,2020-03-15,297.0,47.0,23.0,26.0
2020/03/16,364.7649487218712,2292.6477878476285,68.88237241375089,458.74941180357746,33.564921143076276,2.2844243837768445,331.2000275787949,328.0,403.0,2199.0,2387.0,2020-03-16,377.0,80.0,23.0,26.0
2020/03/17,450.93996212804893,2858.005435139997,86.17501340617775,565.3576472923687,36.424367275771665,2.859446132695389,414.5155948522773,410.0,493.0,2754.0,2963.0,2020-03-17,449.0,72.0,27.0,33.0
2020/03/18,558.2585071452872,3548.1629262354295,107.3185450172383,690.1574910954323,40.00150269124329,3.5771354154716235,518.2570044540439,512.0,605.0,3432.0,3666.0,2020-03-18,596.0,147.0,43.0,49.0
2020/03/19,691.131209903775,4380.981068890244,132.87270275848778,832.8181426548149,44.469613645287744,4.468110954044455,646.6615962584873,640.0,743.0,4252.0,4511.0,2020-03-19,636.0,40.0,43.0,49.0
2020/03/20,854.4574501773016,5372.039490892756,163.32624027352654,991.0584220025112,50.03643943693033,5.566825791642586,804.4210107403712,798.0,912.0,5229.0,5516.0,2020-03-20,877.0,241.0,46.0,53.0
2020/03/21,1051.0,6532.02429361766,196.54254982269845,1159.9848027249045,53.0,2.96356056306967,998.0,988.0,1115.0,6374.0,6690.0,2020-03-21,1051.0,174.0,46.0,53.0
2020/03/22,1286.2852408035035,7617.44970788971,235.28524080350348,1085.4254142720501,61.537804650966414,8.537804650966414,1224.7474361525371,1216.0,1357.0,7447.0,7789.0,2020-03-22,1314.0,263.0,88.0,95.0
2020/03/23,1557.8890290391082,8857.80049915483,271.6037882356047,1240.3507912651194,71.95148987161667,10.413685220650258,1485.9375391674917,1481.0,1636.0,8673.0,9042.0,,,,,
2020/03/24,1870.3243432943707,10244.89797942565,312.4353142552625,1387.0974802708206,84.52292916087175,12.571439289255082,1785.8014141334988,1786.0,1956.0,10047.0,10443.0,,,,,
2020/03/25,2227.393050520145,11759.486501355786,357.06870722577446,1514.5885219301363,99.56398681492274,15.041057654050988,2127.8290637052223,2135.0,2320.0,11548.0,11973.0,,,,,
2020/03/26,2631.7697404822625,13370.975310963478,404.3766899621173,1611.488809607692,117.40923164020914,17.8452448252864,2514.360508842053,2532.0,2733.0,13145.0,13598.0,,,,,
2020/03/27,3084.627996379221,15039.07188250054,452.8582558969583,1668.0965715370621,138.40562850993874,20.996396869729594,2946.222367869282,2976.0,3194.0,14800.0,15280.0,,,,,
2020/03/28,3585.3838941771714,16717.33849818315,500.75589779795064,1678.2666156826108,162.8998463299619,24.494217820023152,3422.4840478472097,3469.0,3703.0,16465.0,16971.0,,,,,
2020/03/29,4131.6181549838,18358.10303130789,546.2342608066288,1640.7645331247404,191.22435084556838,28.324504515606492,3940.3938041382316,4006.0,4258.0,18093.0,18624.0,,,,,
2020/03/30,4719.203290712126,19917.67164796452,587.5851357283254,1559.5686166566265,223.68379271252593,32.45944186695755,4495.5194979995995,4585.0,4854.0,19642.0,20195.0,,,,,
2020/03/31,5342.616169495016,21360.67587714447,623.4128787828904,1443.004229179951,260.5432138938612,36.85942118133528,5082.072955601155,5200.0,5486.0,21075.0,21648.0,,,,,
2020/04/01,5995.376441720075,22662.69869067095,652.7602722250585,1302.0228135264806,302.01927313605137,41.47605924219016,5693.357168584023,5844.0,6148.0,22367.0,22958.0,,,,,
