Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
906.0,1027.0,137.0,186.0,0.0,0.0,0.0,2020/03/07,966.0,161.0,161.0,0.0,2020-03-07,161.0,0.0,0.0,0.0
918.0,1041.0,247.0,313.0,13.036252837072766,118.82852357770605,0.3484687419029076,2020/03/08,979.0362528370728,279.82852357770605,279.4800548358031,0.3484687419029076,2020-03-08,203.0,0.0,42.0,0.0
952.0,1077.0,347.0,424.0,34.828606005983715,104.97899094786152,0.5229690025968285,2020/03/09,1013.8648588430565,384.80751452556757,383.9360767810678,0.8714377444997361,2020-03-09,248.0,1.0,45.0,1.0
1005.0,1133.0,438.0,524.0,54.338103478157564,96.1762526006541,0.6795559719729687,2020/03/10,1068.202962321214,480.98376712622166,479.43277340974896,1.5509937164727048,2020-03-10,355.0,1.0,107.0,1.0
1075.0,1207.0,526.0,620.0,72.41509337994125,91.41108267584639,0.8253543441492464,2020/03/11,1140.6180557011553,572.394849802068,570.0185017414461,2.376348060621951,2020-03-11,500.0,1.0,145.0,2.0
1162.0,1299.0,612.0,713.0,89.74122409148003,89.93391082159712,0.9661050809252991,2020/03/12,1230.3592797926353,662.3287606236652,658.9863074821179,3.3424531415472503,2020-03-12,599.0,1.0,99.0,2.0
1266.0,1409.0,700.0,808.0,106.86814308886619,91.19497898656869,1.1065264845809288,2020/03/13,1337.2274228815015,753.5237396102339,749.0747599841056,4.448979626128179,2020-03-13,814.0,1.0,215.0,2.0
1387.0,1537.0,792.0,906.0,124.24772214572499,94.79832350440074,1.2505918895785593,2020/03/14,1461.4751450272265,848.3220631146346,842.6224915989278,5.699571515706738,2020-03-14,961.0,1.0,147.0,3.0
1526.0,1683.0,889.0,1009.0,142.25519385117104,100.46637952137849,1.4017434476354271,2020/03/15,1603.7303388783976,948.7884426360131,941.687127672671,7.1013149633421655,2020-03-15,1023.0,1.0,62.0,3.0
1683.0,1848.0,993.0,1121.0,161.20640839453836,108.01272358924894,1.563056624340076,2020/03/16,1764.936747272936,1056.801166225262,1048.1367946375797,8.664371587682242,2020-03-16,1103.0,1.0,80.0,3.0
1860.0,2033.0,1108.0,1242.0,181.3702244378519,117.32098638932166,1.7373665908605318,2020/03/17,1946.3069717107878,1174.1221526145837,1163.720414436041,10.401738178542773,2020-03-17,1190.0,1.0,87.0,8.0
