Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/03/06,128.0,640.0,0.0,0.0,1.0,0.0,127.0,106.0,151.0,591.0,690.0,2020-03-06,128.0,0.0,1.0
2020/03/07,214.4541899822184,660.9287034366188,86.4541899822184,20.928703436618775,2.2626791368906587,1.2626791368906587,212.19151084532774,186.0,244.0,611.0,712.0,2020-03-07,188.0,60.0,1.0
2020/03/08,293.3597335614792,720.3752457090835,78.90554357926078,59.44654227246474,4.120424806767915,1.8577456698772559,289.23930875471126,260.0,327.0,668.0,773.0,2020-03-08,265.0,77.0,3.0
2020/03/09,372.1444616824607,816.0881575915823,78.78472812098153,95.71291188249882,6.541691705026702,2.4212668982587875,365.602769977434,335.0,411.0,760.0,873.0,2020-03-09,321.0,56.0,3.0
2020/03/10,456.8944530489371,948.8461443025374,84.74999136647642,132.75798671095504,9.544488205976315,3.0027965009496125,447.3499648429608,415.0,499.0,889.0,1010.0,2020-03-10,382.0,61.0,4.0
2020/03/11,553.0311192453145,1121.9122272669247,96.13666619637735,173.0660829643873,13.188754528049854,3.6442663220735394,539.8423647172647,507.0,600.0,1057.0,1188.0,2020-03-11,503.0,121.0,5.0
2020/03/12,665.8056544489344,1340.7170359689335,112.77453520361996,218.8048087020088,17.573068675668974,4.38431414761912,648.2325857732654,616.0,717.0,1269.0,1413.0,2020-03-12,614.0,111.0,5.0
2020/03/13,800.6720660856658,1612.6887593243123,134.8664116367314,271.9717233553788,22.834544025996983,5.261475350328009,777.8375220596689,746.0,857.0,1534.0,1692.0,2020-03-13,804.0,190.0,10.0
2020/03/14,963.5773322656054,1947.160147193813,162.90526617993953,334.47138786950063,29.151154037431173,6.316610011434189,934.4261782281742,903.0,1025.0,1861.0,2034.0,2020-03-14,959.0,155.0,12.0
2020/03/15,1161.1896924594014,2355.28716152142,197.612360193796,408.12701432760696,36.74594246482299,7.594788427391816,1124.4437499945784,1095.0,1229.0,2261.0,2451.0,2020-03-15,1135.0,176.0,22.0
2020/03/16,1401.071497634851,2849.9103881916353,239.8818051754497,494.62322667021544,45.89268117760906,9.146738712786075,1355.178816457242,1328.0,1475.0,2746.0,2955.0,2020-03-16,1413.0,278.0,26.0
2020/03/17,1691.789773478757,3445.281031318027,290.718275843906,595.3706431263918,56.92253889183342,11.029857714224356,1634.8672345869236,1612.0,1773.0,3331.0,3561.0,2020-03-17,1705.0,292.0,45.0
2020/03/18,2042.9447688101923,4156.561544410603,351.1549953314352,711.2805130925763,70.23122919823281,13.308690306399392,1972.7135396119595,1955.0,2132.0,4031.0,4284.0,2020-03-18,2051.0,346.0,45.0
2020/03/19,2465.084254051896,4999.002598466852,422.1394852417038,842.4410540562485,86.2859181248017,16.054688926568886,2378.7983359270943,2368.0,2563.0,4861.0,5138.0,2020-03-19,2460.0,409.0,78.0
2020/03/20,2969.4604682939703,5986.702744962002,504.3762142420742,987.70014649515,105.63089724925027,19.34497912444857,2863.82957104472,2863.0,3077.0,5836.0,6138.0,2020-03-20,2994.0,534.0,108.0
2020/03/21,3567.580441760203,7130.888726612626,598.1199734662328,1144.185981650624,128.89069159851323,23.25979434926296,3438.68975016169,3451.0,3685.0,6966.0,7297.0,2020-03-21,3631.0,637.0,138.0
2020/03/22,4216.0,8437.72920584777,648.419558239797,1306.8404792351448,182.0,53.10930840148677,4034.0,4089.0,4344.0,8258.0,8618.0,2020-03-22,4216.0,585.0,182.0
2020/03/23,4926.117081177864,8563.327236696403,710.1170811778638,125.59803084863233,214.42641172468805,32.42641172468805,4711.690669453175,4789.0,5064.0,8383.0,8745.0,,,,
2020/03/24,5558.724162957395,8913.842945735287,632.6070817795307,350.51570903888387,251.5292044737419,37.10279274905386,5307.194958483653,5413.0,5705.0,8729.0,9099.0,,,,
2020/03/25,6161.423099875014,9459.167251079383,602.698936917619,545.3243053440965,292.8868289446313,41.35762447088939,5868.536270930383,6008.0,6316.0,9269.0,9651.0,,,,
2020/03/26,6769.739184564626,10178.583177757482,608.3160846896126,719.4159266780989,338.38481353208607,45.497984587454766,6431.35437103254,6609.0,6932.0,9981.0,10376.0,,,,
2020/03/27,7410.366175237007,11056.95651032008,640.626990672381,878.3733325625981,388.13723460914935,49.752421077063275,7022.228940627858,7242.0,7579.0,10852.0,11263.0,,,,
2020/03/28,8103.257218072908,12081.202121424276,692.8910428359004,1024.2456111041956,442.4282662408523,54.291031631702936,7660.828951832055,7927.0,8280.0,11866.0,12297.0,,,,
2020/03/29,8862.817219768936,13237.213309265544,759.5600016960288,1156.011187841268,501.66610967764757,59.23784343679529,8361.151110091289,8679.0,9047.0,13012.0,13463.0,,,,
2020/03/30,9698.435551744698,14507.398476254064,835.618331975762,1270.18516698852,566.3434751510736,64.677365473426,9132.092076593624,9505.0,9892.0,14271.0,14744.0,,,,
2020/03/31,10614.584946804243,15869.008189862245,916.149395059545,1361.6097136081808,637.0005456233629,70.65707047228932,9977.58440118088,10413.0,10817.0,15622.0,16116.025000000023,,,,
2020/04/01,11610.708713332222,17293.468897835068,996.1237665279787,1424.460707972823,714.1880262093542,77.18748058599135,10896.520687122867,11400.0,11823.0,17036.0,17552.0,,,,
2020/04/02,12681.116070776177,18746.90575746117,1070.4073574439553,1453.436859626101,798.4295292299754,84.24150302062117,11882.686541546202,12461.0,12903.0,18479.0,19016.0,,,,
2020/04/03,13815.08835554395,20191.897743371315,1133.972284767773,1444.9919859101465,890.1841309152886,91.75460168531322,12924.904224628663,13585.0,14045.0,19914.0,20471.0,,,,
2020/04/04,14997.353594769815,21590.27437814318,1182.2652392258642,1398.3766347718629,989.8112699502468,99.62713903495819,14007.542324819568,14758.0,15238.0,21304.0,21879.0,,,,
2020/04/05,16209.005665851471,22906.495683503395,1211.6520710816567,1316.2213053602172,1097.5410291564808,107.72975920623401,15111.464636694991,15959.0,16459.0,22611.0,23203.0,,,,
2020/04/06,17428.836663690974,24110.959796049206,1219.8309978395027,1204.464112545811,1213.4529918130463,115.91196265656549,16215.383671877928,17170.0,17688.0,23807.0,24415.0,,,,
2020/04/07,18634.941994041696,25182.554153696845,1206.1053303507215,1071.5943576476384,1337.4661998496415,124.01320803659519,17297.475794192054,18368.0,18903.0,24873.0,25494.0,,,,
2020/04/08,19806.379601367742,26109.945560436347,1171.4376073260464,927.3914067395017,1469.3413666383974,131.8751667887559,18337.038234729345,19531.0,20083.0,25794.0,26427.0,,,,
2020/04/09,20924.644710858804,26891.43673682793,1118.2651094910616,781.4911763915843,1608.694763822461,139.35339718406362,19315.949947036344,20642.0,21209.0,26571.0,27214.0,,,,
2020/04/10,21974.763640718487,27533.57785389675,1050.1189298596837,642.1411170688189,1755.0215710259142,146.3268072034532,20219.742069692573,21685.0,22266.0,27209.0,27859.0,,,,
2020/04/11,22945.898861198795,28048.983216593573,971.1352204803079,515.4053626968234,1907.725347809921,152.70377678400678,21038.173513388872,22650.0,23243.0,27721.0,28377.0,,,,
2020/04/12,23831.46048009947,28453.888525198352,885.561618900676,404.90530860477884,2066.1499004632137,158.42455265329272,21765.310579636258,23530.0,24135.0,28124.0,28785.0,,,,
2020/04/13,24628.80441738166,28765.908048382404,797.3439372821886,312.01952318405165,2229.6101412079797,163.460240744766,22399.19427617368,24322.0,24937.0,28434.0,29099.0,,,,
2020/04/14,25338.646637051785,29002.279142756946,709.8422196701249,236.37109437454274,2397.419360245921,167.80921903794115,22941.227276805865,25027.0,25651.0,28669.0,29337.0,,,,
2020/04/15,25964.3329309338,29178.69590691649,625.6862938820159,176.41676415954498,2568.911362829383,171.49200258346218,23395.42156810442,25649.0,26280.0,28844.0,29514.0,,,,
2020/04/16,26511.084408137795,29308.69119626175,546.751477203994,129.99528934525733,2743.4569058466864,174.54554301730332,23767.627502291107,26193.0,26830.0,28973.0,29645.0,,,,
2020/04/17,26985.30442592549,29403.44757459881,474.2200177876948,94.7563783370606,2920.4746362749283,177.01773042824198,24064.82978965056,26664.0,27309.0,29067.0,29740.0,,,,
2020/04/18,27393.99599531449,29471.895837249816,408.6915693890005,68.4482626510071,3099.437227539688,178.9625912647598,24294.5587677748,27070.0,27719.0,29136.0,29809.0,,,,
2020/04/19,27744.30792035198,29520.974516962262,350.31192503749116,49.07867971244559,3279.873647064904,180.43641952521602,24464.434273287075,27418.0,28071.0,29185.0,29858.0,,,,
2020/04/20,28043.206391987675,29555.954948025024,298.89847163569357,34.980431062762364,3461.36853074068,181.49488367577578,24581.837861246993,27716.0,28372.0,29221.0,29894.0,,,,
2020/04/21,28297.256287142747,29580.769636998317,254.0498951550726,24.814688973292505,3643.559557915482,182.191027174802,24653.696729227264,27968.0,28628.0,29245.0,29919.0,,,,
2020/04/22,28512.491166634896,29598.30933957598,215.23487949214905,17.539702577661956,3826.133574105214,182.574016189732,24686.357592529683,28181.0,28845.0,29261.0,29936.0,,,,
2020/04/23,28694.350502947127,29610.67388661876,181.85933631223088,12.364547042780032,4008.8220447022336,182.68847059701966,24685.528458244895,28363.0,29026.0,29273.0,29948.0,,,,
2020/04/24,28847.664893072048,29619.374117345946,153.31439012492046,8.700230727186863,4191.396267368742,182.57422266650838,24656.268625703306,28516.0,29181.0,29283.0,29957.0,,,,
2020/04/25,28976.673412415883,29625.488908079136,129.00851934383536,6.114790733190603,4373.662637943837,182.2663705750947,24603.010774472044,28643.0,29311.0,29289.0,29964.0,,,,
