Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/03/13,804.0,3216.0,0.0,0.0,1.0,0.0,803.0,749.0,860.0,3105.0,3328.0,2020-03-13,804.0,0.0,1.0,1.0
2020/03/14,857.067116891823,3521.649658362341,53.06711689182305,305.64965836234114,5.336789959574341,4.336789959574341,851.7303269322487,800.0,915.0,3406.0,3638.0,2020-03-14,836.0,32.0,1.0,2.0
2020/03/15,915.6315381231103,3853.257875952668,58.56442123128727,331.60821759032706,9.942672623695795,4.605882664121454,905.6888654994145,857.0,975.0,3732.0,3975.0,2020-03-15,875.0,39.0,1.0,3.0
2020/03/16,980.1257655660219,4211.640676532414,64.49422744291155,358.38280057974544,14.846123386806159,4.903450763110364,965.2796421792157,919.0,1042.0,4085.0,4340.0,2020-03-16,933.0,58.0,1.0,4.0
2020/03/17,1050.9875712624319,4597.347709731216,70.86180569640999,385.7070331988025,20.077747256270893,5.231623869464734,1030.909824006161,988.0,1115.0,4465.0,4731.0,2020-03-17,1025.0,92.0,1.0,5.0
2020/03/18,1128.6537938578722,5010.607069327092,77.66622259544033,413.25935959587605,25.670279360128774,5.592532103857881,1102.9835144977435,1063.0,1195.0,4873.0,5150.0,2020-03-18,1116.0,91.0,1.0,5.0
2020/03/19,1213.553150282586,5451.2723261399415,84.89935642471391,440.6652568128493,31.658550682792715,5.988271322663941,1181.8945995997933,1146.0,1282.0,5307.0,5596.0,2020-03-19,1225.0,109.0,1.0,7.0
2020/03/20,1306.0981408252196,5918.775056336395,92.54499054263351,467.50273019645374,38.07941371645955,6.4208630336668335,1268.01872710876,1236.0,1377.0,5768.0,6070.0,2020-03-20,1335.0,110.0,1.0,10.0
2020/03/21,1406.6762350850531,6412.086671527821,100.5780942598335,493.3116151914255,44.971624246519404,6.892210530059856,1361.7046108385337,1334.0,1481.0,6256.0,6569.0,2020-03-21,1420.0,85.0,1.0,14.0
2020/03/22,1515.6405675379217,6929.693137788645,108.96433245286858,517.6064662608242,52.375676373576255,7.4040521270568505,1463.2648911643455,1440.0,1592.0,6767.0,7093.0,2020-03-22,1514.0,94.0,1.0,14.0
2020/03/23,1633.300491538355,7469.586643999703,117.6599240004332,539.8935062110577,60.33358891086815,7.957912537291897,1572.9669026274867,1555.0,1713.0,7301.0,7640.0,2020-03-23,1572.0,58.0,24.0,48.0
2020/03/24,1759.9123334469848,8029.276371151746,126.61184190862991,559.6897271520438,68.88864415578101,8.555055244912857,1691.0236892912037,1678.0,1842.0,7854.0,8205.0,2020-03-24,1718.0,146.0,36.0,68.0
2020/03/25,1895.6707842903377,8605.820643807328,135.75845084335288,576.5442726555821,78.08508090548816,9.196436749707146,1817.5857033848495,1811.0,1981.0,8424.0,8788.0,2020-03-25,1862.0,144.0,41.0,75.0
2020/03/26,2040.7013683442383,9195.88069412555,145.0305840539006,590.0600503182213,87.96774696082818,9.882666055340025,1952.73362138341,1953.0,2130.0,9008.0,9384.0,2020-03-26,2023.0,161.0,50.0,91.0
2020/03/27,2195.054387159714,9795.794596819413,154.35301881547593,599.9139026938628,98.58171740913772,10.613970448309544,2096.4726697505766,2103.0,2288.0,9602.0,9990.0,2020-03-27,2200.0,177.0,57.0,109.0
2020/03/28,2358.700707142237,10401.66834585932,163.64631998252298,605.8737490399071,109.97188815775908,11.390170748621358,2248.728818984478,2264.0,2454.0,10202.0,10602.0,2020-03-28,2366.0,166.0,57.0,122.0
2020/03/29,2531.529656585149,11009.479416306725,172.82894944291183,607.8110704474057,122.18255491290954,12.210666755150456,2409.3471016722397,2433.0,2631.0,10804.0,11216.0,2020-03-29,2564.0,198.0,73.0,145.0
2020/03/30,2755.0,11656.837948075312,223.47034341485096,647.3585317685865,150.0,27.817445087090462,2605.0,2652.0,2859.0,11445.0,11868.0,2020-03-30,2755.0,191.0,73.0,150.0
