Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/03/05,20.0,120.0,0.0,0.0,1.0,0.0,19.0,12.0,29.0,99.0,142.0,2020-03-05,20.0,0.0,1.0
2020/03/06,27.247750129581313,124.64372755096662,7.247750129581313,4.6437275509666165,1.0304917914473908,0.03049179144739078,26.217258338133924,18.0,38.0,103.0,147.0,2020-03-06,37.0,17.0,2.0
2020/03/07,34.64296550861937,138.54262614196853,7.395215379038056,13.89889859100191,1.070727365144988,0.04023557369759723,33.57223814347438,24.0,47.0,116.0,162.0,2020-03-07,43.0,6.0,2.0
2020/03/08,42.85156292327103,162.2794607119797,8.208597414651663,23.736834570011183,1.1213414004556617,0.050614035310673655,41.73022152281537,31.0,56.0,138.0,188.0,2020-03-08,61.0,18.0,2.0
2020/03/09,52.56372608454645,197.27679387183673,9.71216316127542,34.99733315985702,1.1838741396034538,0.06253273914779212,51.379851944943,39.0,67.0,170.0,225.0,2020-03-09,61.0,0.0,2.0
2020/03/10,64.55370995565796,245.85298690643464,11.989983871111512,48.57619303459791,1.2608431608765136,0.07696902127305982,63.29286679478145,49.0,81.0,216.0,277.0,2020-03-10,83.0,22.0,4.0
2020/03/11,79.7418065954784,311.34526109889134,15.18809663982043,65.4922741924567,1.355896515780386,0.09505335490387234,78.38591007969801,63.0,98.0,277.0,346.0,2020-03-11,109.0,26.0,4.0
2020/03/12,99.26306455603438,398.29906398219225,19.521257960555985,86.95380288330091,1.4740531637859309,0.11815664800554493,97.78901139224845,80.0,119.0,360.0,438.0,2020-03-12,131.0,22.0,4.0
2020/03/13,124.54701866599983,512.7239247443339,25.28395410996545,114.42486076214163,1.6220425989403864,0.1479894351544555,122.92497606705945,103.0,147.0,469.0,558.0,2020-03-13,161.0,30.0,4.0
2020/03/14,157.4123363599632,662.4136433012263,32.86531769396338,149.68971855689244,1.808761016511689,0.1867184175713026,155.60357534345152,133.0,182.0,612.0,713.0,2020-03-14,193.0,32.0,4.0
2020/03/15,200.17962899013926,857.3212647923734,42.76729263017606,194.9076214911471,2.0458662723158487,0.23710525580415975,198.1337627178234,173.0,228.0,800.0,915.0,2020-03-15,251.0,58.0,4.0
2020/03/16,255.80425595337934,1109.9637714767043,55.624626963240075,252.6425066843309,2.348537349942501,0.30267107762665235,253.45571860343685,225.0,288.0,1045.0,1176.0,2020-03-16,255.0,4.0,4.0
2020/03/17,328.0281197353083,1435.8036377663718,72.22386378192894,325.8398662896675,2.7364247972756703,0.38788744733316927,325.2916949380326,293.0,364.0,1362.0,1511.0,2020-03-17,337.0,82.0,11.0
2020/03/18,421.5442338048638,1853.5091578418173,93.5161140695555,417.7055200754455,3.2348140247587964,0.4983892274831261,418.309419780105,382.0,462.0,1770.0,1938.0,2020-03-18,433.0,96.0,11.0
2020/03/19,542.1590030162529,2384.9282792718536,120.6147692113891,531.4191214300363,3.87600948221846,0.6411954574596637,538.2829935340344,497.0,588.0,2290.0,2481.0,2020-03-19,677.0,244.0,11.0
2020/03/20,696.9233426492059,3054.521954809521,154.764339632953,669.5936755376674,4.700918757914492,0.8249092756960317,692.2224238912914,646.0,749.0,2947.0,3163.0,2020-03-20,705.0,28.0,16.0
2020/03/21,894.1841841373948,3887.9067799926374,197.26084148818893,833.3848251831164,5.760764241370122,1.0598454834556303,888.4234198960247,836.0,953.0,3766.0,4011.0,2020-03-21,883.0,178.0,16.0
2020/03/22,1143.4837476299588,4909.094972251313,249.29956349256395,1021.1881922586758,7.118768880551684,1.3580046391815621,1136.364978749407,1078.0,1210.0,4773.0,5047.0,2020-03-22,1071.0,188.0,38.0
