Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/03/02,10.0,60.0,0.0,0.0,1.0,0.0,9.0,4.0,17.0,45.0,76.0,2020-03-02,10.0,0.0,1.0
2020/03/03,11.771090326818351,73.23749593945875,1.771090326818351,13.237495939458753,1.0643279956924345,0.06432799569243453,10.706762331125917,6.0,19.0,57.0,90.0,2020-03-03,12.0,2.0,1.0
2020/03/04,13.978937003807882,91.52006403918293,2.207846676989531,18.282568099724173,1.1411424909911636,0.07681449529872908,12.837794512816718,7.0,22.0,73.0,111.0,2020-03-04,15.0,3.0,1.0
2020/03/05,16.793921060773087,116.53571434705825,2.814984056965205,25.01565030787532,1.2337428759605955,0.0926003849694319,15.560178184812491,9.0,25.0,96.0,138.0,2020-03-05,20.0,5.0,1.0
2020/03/06,20.442864363118613,150.54907878541542,3.6489433023455256,34.01336443835717,1.346694400107564,0.11295152414696852,19.09616996301105,12.0,30.0,127.0,175.0,2020-03-06,37.0,17.0,2.0
2020/03/07,25.228221277942875,196.58816897217358,4.785356914824263,46.03909018675816,1.4862480727388778,0.1395536726313138,23.741973205203998,16.0,36.0,170.0,225.0,2020-03-07,43.0,6.0,2.0
2020/03/08,31.553373455420488,258.68545133278803,6.325152177477612,62.09728236061446,1.6609021914812798,0.174654118742402,29.892471263939207,21.0,43.0,228.0,291.0,2020-03-08,61.0,18.0,2.0
2020/03/09,39.95571230763819,342.18374062015056,8.4023388522177,83.49828928736252,1.8821497335340307,0.22124754205275088,38.07356257410416,28.0,53.0,306.0,379.0,2020-03-09,61.0,0.0,2.0
2020/03/10,51.14944190513892,454.11483486644244,11.193729597500734,111.93109424629188,2.165467463106686,0.2833177295726552,48.983974442032235,38.0,66.0,413.0,496.0,2020-03-10,83.0,22.0,4.0
2020/03/11,66.080117133375,603.6510512384408,14.930675228236076,149.53621637199836,2.5316152056692434,0.36614774256255744,63.54850192770576,51.0,82.0,556.0,652.0,2020-03-11,109.0,26.0,4.0
2020/03/12,85.99263558578711,802.6127241162428,19.912518452412115,198.96167287780202,3.008325816444218,0.4767106107749748,82.9843097693429,68.0,105.0,747.0,859.0,2020-03-12,131.0,22.0,4.0
2020/03/13,112.51334938159768,1065.982146922821,26.520713795810565,263.3694228065781,3.6324741291207645,0.6241483126765464,108.88087525247691,92.0,134.0,1002.0,1131.0,2020-03-13,161.0,30.0,4.0
2020/03/14,147.7445715954655,1412.3184842390046,35.23122221386781,346.33633731618374,4.452810078313309,0.8203359491925446,143.29176151715217,124.0,172.0,1339.0,1486.0,2020-03-14,193.0,32.0,4.0
2020/03/15,194.3652064145524,1863.8817699506762,46.620634819086916,451.5632857116716,5.5333159456471535,1.0805058673338443,188.83189046890524,168.0,222.0,1780.0,1949.0,2020-03-15,251.0,58.0,4.0
2020/03/16,255.72361965945586,2446.1580648193567,61.35841324490346,582.2762948686805,6.957183383743605,1.423867438096451,248.76643627571227,225.0,287.0,2350.0,2543.0,2020-03-16,255.0,4.0,4.0
2020/03/17,335.8976369522506,3186.355881825203,80.17401729279473,740.1978170058464,8.8312805351008,1.874097151357196,327.0663564171498,301.0,372.0,3076.0,3297.0,2020-03-17,337.0,82.0,11.0
2020/03/18,439.6825927237651,4110.385984835477,103.78495577151449,924.0301030102737,11.29077169088876,2.45949115578796,428.39182103287635,399.0,481.0,3985.0,4237.0,2020-03-18,433.0,96.0,11.0
2020/03/19,572.4557092169408,5237.97761978428,132.77311649317573,1127.5916349488034,14.50325526598279,3.21248357509403,557.952453950958,526.0,620.0,5096.0,5380.0,2020-03-19,677.0,244.0,11.0
2020/03/20,739.8627914507875,6576.102052685375,167.40708223384672,1338.1244329010951,18.671435394826304,4.168180128843513,721.1913560559613,687.0,794.0,6418.0,6735.0,2020-03-20,705.0,28.0,16.0
2020/03/21,947.2947460718725,8111.861078664684,207.43195462108497,1535.7590259793087,24.033051079343682,5.361615684517378,923.2616949925289,887.0,1008.0,7936.0,8289.0,2020-03-21,883.0,178.0,16.0
2020/03/22,1199.178320877448,9807.217820172411,251.88357480557545,1695.3567415077268,30.856746859232242,6.82369577988856,1168.3215740182156,1132.0,1268.0,9614.0,10002.0,2020-03-22,1071.0,188.0,38.0
2020/03/23,1498.1930420323451,11598.6270877495,299.0147211548972,1791.4092675770898,39.433013407800956,8.576266548568714,1458.7600286245442,1423.0,1574.0,11388.0,11810.0,2020-03-23,1442.0,371.0,42.0
2020/03/24,1844.6102260297062,13403.742051690835,346.417183997361,1805.1149639413343,50.06035346531087,10.627340057509912,1794.5498725643952,1761.0,1929.0,13177.0,13631.0,2020-03-24,1930.0,488.0,56.0
2020/03/25,2235.9726358144717,15134.610867737345,391.36240978476553,1730.86881604651,63.02822891276807,12.967875447457203,2172.9444069017036,2144.0,2329.0,14893.0,15376.0,2020-03-25,2369.0,439.0,63.0
2020/03/26,2667.2535785341615,16713.42632898846,431.28094271968985,1578.8154612511134,78.59955815652845,15.571329243760374,2588.654020377633,2566.0,2769.0,16460.0,16967.0,2020-03-26,2693.0,324.0,76.0
2020/03/27,3035.0,18085.30076933635,367.74642146583847,1371.8744403478922,91.0,12.400441843471555,2944.0,2927.0,3143.0,17822.0,18350.0,2020-03-27,3035.0,342.0,91.0
2020/03/28,3526.996261343817,19214.92787607613,491.99626134381697,1129.6271067397793,111.81107364158773,20.811073641587726,3415.185187702229,3411.0,3644.0,18944.0,19487.0,,,,
2020/03/29,4035.43255494691,20117.254542573188,508.43629360309296,902.3266664970579,135.75541955813722,23.944345916549494,3899.6771353887725,3911.0,4160.0,19840.0,20395.0,,,,
2020/03/30,4552.894333237817,20810.97026593464,517.4617782909068,693.7157233614525,162.89520912361127,27.139789565474047,4389.999124114205,4421.0,4685.0,20529.0,21095.0,,,,
2020/03/31,5072.992962768759,21326.32490088549,520.0986295309422,515.3546349508506,193.2469829009456,30.35177377733433,4879.745979867813,4934.0,5213.0,21040.0,21613.0,,,,
2020/04/01,5590.57383854016,21697.625601542553,517.5808757714012,371.3007006570624,226.7894596675226,33.54247676657701,5363.784378872638,5445.0,5738.0,21409.0,21987.0,,,,
2020/04/02,6101.714554955575,21957.903440210626,511.1407164154152,260.27783866807295,263.4719239891254,36.682464321602794,5838.24263096645,5949.0,6255.0,21668.0,22249.0,,,,
2020/04/03,6603.592792086784,22135.90750574248,501.87823713120906,178.0040655318553,303.22207879735384,39.750154808228444,6300.370713289431,6445.0,6763.0,21845.0,22428.0,,,,
2020/04/04,7094.294702944227,22254.948828661025,490.7019108574423,119.0413229185433,345.9527568922431,42.73067809488924,6748.3419460519835,6930.0,7260.0,21964.0,22549.0,,,,
2020/04/05,7572.613589722224,22332.943598697922,478.31888677799725,77.99477003689753,391.5672852315772,45.61452833933413,7181.046304490646,7403.0,7744.0,22041.0,22627.0,,,,
2020/04/06,8037.867538350356,22383.087704744583,465.2539486281321,50.144106046660454,439.9635515809185,48.39626634934126,7597.903986769437,7863.0,8214.0,22091.0,22677.0,,,,
2020/04/07,8489.74851588525,22414.7643465933,451.88097753489455,31.676641848716827,491.03695369759566,51.07340211667719,7998.711562187655,8309.0,8671.0,22122.0,22709.0,,,,
2020/04/08,8928.205160816924,22434.448562754587,438.4566449316735,19.684216161287623,544.6824551062035,53.645501408607856,8383.52270571072,8743.0,9113.0,22141.0,22728.0,,,,
2020/04/09,9353.356026364781,22446.493062623606,425.1508655478574,12.044499869018182,600.7959645594474,56.113509453243864,8752.560061805334,9164.0,9543.0,22153.0,22740.0,,,,
2020/04/10,9765.427817347569,22453.756386688925,412.0717909827872,7.263324065319466,659.275225094928,58.47926053548065,9106.15259225264,9572.0,9960.0,22161.0,22748.0,,,,
2020/04/11,10164.712849079462,22458.076610731907,399.28503173189347,4.320224042981863,720.020359997293,60.74513490236495,9444.692489082168,9968.0,10363.0,22165.0,22753.0,,,,
2020/04/12,10551.540590002734,22460.613032990936,386.82774092327236,2.536422259028768,782.9341860933536,62.913826096060575,9768.606403909382,10351.0,10753.0,22167.0,22756.0,,,,
2020/04/13,10926.259132332438,22462.083920224548,374.71854232970327,1.4708872336123022,847.9223736801476,64.98818758679408,10078.33675865229,10722.0,11131.0,22168.0,22756.0,,,,
2020/04/14,11289.223438856468,22462.926982707228,362.9643065240307,0.8430624826796702,914.8935080698343,66.97113438968665,10374.329930786635,11082.0,11498.0,22170.0,22757.0,,,,
2020/04/15,11640.788087269615,22463.40487227228,351.56464841314664,0.4778895650524646,983.7590897479165,68.86558167808221,10657.028997521698,11429.0,11852.0,22170.0,22757.0,,,,
2020/04/16,11981.30292635563,22463.672933760652,340.51483908601404,0.2680614883720409,1054.4334973925054,70.67440764458888,10926.869428963124,11767.0,12197.0,22170.0,22759.0,,,,
2020/04/17,12311.110575138287,22463.821808282857,329.80764878265836,0.14887452220500563,1126.833929272798,72.40043188029267,11184.27664586549,12094.0,12529.0,22170.0,22758.0,,,,
2020/04/18,12630.545064020103,22463.90371412186,319.4344888818159,0.08190583900432102,1200.880332741185,74.04640346838687,11429.66473127892,12411.0,12851.0,22171.0,22759.0,,,,
2020/04/19,12939.931169220872,22463.948376057073,309.3861052007687,0.04466193521147943,1276.49532777287,75.61499503168511,11663.435841448001,12717.0,13163.0,22171.0,22758.0,,,,
2020/04/20,13239.58415948315,22463.972525052206,299.65299026227876,0.024148995133145945,1353.6041281259838,77.10880035311379,11885.980031357167,13015.0,13465.0,22171.0,22758.0,,,,
2020/04/21,13529.809782496463,22463.985478983228,290.22562301331163,0.012953931021911558,1432.1344622182166,78.5303340922328,12097.675320278246,13303.0,13758.0,22171.0,22758.0,,,,
2020/04/22,13810.904387012684,22463.99237564963,281.0946045162218,0.006896666400280083,1512.0164949175573,79.8820326993407,12298.887892095127,13581.0,14042.0,22171.0,22758.0,,,,
2020/04/23,14083.155119009827,22463.996021497423,272.2507319971428,0.003645847795269219,1593.1827509076588,81.16625599010149,12489.972368102168,13851.0,14316.0,22170.0,22757.0,,,,
2020/04/24,14346.840155975093,22463.997936012496,263.6850369652657,0.0019145150727126747,1675.5680399728094,82.38528906515057,12671.272116002283,14113.0,14582.0,22171.0,22759.0,,,,
2020/04/25,14602.228958707467,22463.998935075928,255.38880273237373,0.0009990634316636715,1759.1093843651786,83.54134439236918,12843.119574342289,14366.0,14840.0,22171.0,22758.0,,,,
2020/04/26,14849.582529033823,22463.999453356897,247.35357032635693,0.0005182809691177681,1843.7459483135121,84.63656394833356,13005.836580720312,14611.0,15089.0,22170.0,22758.0,,,,
2020/04/27,15089.153667027314,22463.999720741762,239.571137993491,0.0002673848648555577,1929.4189696748538,85.67302136134163,13159.73469735246,14849.0,15331.0,22171.0,22758.0,,,,
2020/04/28,15321.187224281271,22463.999857975272,232.03355725395704,0.00013723351003136486,2016.071693699607,86.6527240247533,13305.115530581665,15079.0,15564.0,22171.0,22758.0,,,,
2020/04/29,15545.920351453567,22463.999928070276,224.733127172296,7.009500404819846e-05,2103.6493088639313,87.57761516432424,13442.271042589637,15302.0,15791.0,22170.0,22757.0,,,,
2020/04/30,15763.582739220172,22463.999963709633,217.6623877666043,3.563935752026737e-05,2192.098884715904,88.4495758519729,13571.483854504268,15518.0,16010.0,22170.0,22758.0,,,,
2020/05/01,15974.396852299455,22463.999981757042,210.81411307928283,1.804740895750001e-05,2281.3693116734444,89.27042695754017,13693.02754062601,15727.0,16223.0,22171.0,22758.0,,,,
2020/05/02,16178.578156482197,22463.999990859807,204.18130418274268,9.102765034185722e-06,2371.4112427115724,90.04193103812804,13807.166913770625,15930.0,16427.0,22171.0,22759.0,,,,
2020/05/03,16376.335338770907,22463.99999543532,197.75718228870937,4.575511411530897e-06,2462.1770368693187,90.76579415774631,13914.158301901589,16126.0,16627.0,22171.0,22758.0,,,,
2020/05/04,16567.87051983653,22463.99999772601,191.53518106562478,2.290689735673368e-06,2553.620704757355,91.44366788803609,14014.249815079176,16317.0,16821.0,22170.0,22758.0,,,,
2020/05/05,16753.379461975826,22463.999998869935,185.50894213929496,1.1439260561019182e-06,2645.6978552379705,92.07715048061573,14107.681606737857,16500.0,17008.0,22171.0,22759.0,,,,
2020/05/06,16933.05176696162,22463.999999438834,179.67230498579374,5.688998498953879e-07,2738.36564470893,92.66778947095963,14194.68612225269,16678.0,17188.0,22171.0,22758.0,,,,
2020/05/07,17107.071072249702,22463.99999972213,174.01930528808225,2.8329668566584587e-07,2831.5827268180983,93.21708210916813,14275.488345431604,16852.0,17364.0,22171.0,22758.0,,,,
2020/05/08,17275.61523683721,22463.99999986252,168.5441645875071,1.403896021656692e-07,2925.309204838364,93.72647802026586,14350.306031998845,17018.0,17534.0,22171.0,22757.0,,,,
2020/05/09,17438.856524580184,22463.999999932166,163.24128774297424,6.964546628296375e-08,3019.5065847006967,94.19737986233258,14419.349939879487,17180.0,17698.0,22171.0,22759.0,,,,
2020/05/10,17596.96177863127,22463.999999966545,158.10525405108638,3.437889972701669e-08,3114.137730309038,94.63114560834128,14482.824048322233,17337.0,17858.0,22171.0,22758.0,,,,
2020/05/11,17750.092593460096,22463.999999983535,153.13081482882626,1.69893610291183e-08,3209.1668194808767,95.02908917183868,14540.92577397922,17489.0,18011.0,22171.0,22758.0,,,,
2020/05/12,17898.40547885981,22463.999999991902,148.31288539971501,8.36735125631094e-09,3304.5593019468097,95.39248246593297,14593.846176913,17637.0,18162.0,22171.0,22758.0,,,,
2020/05/13,18042.05202051551,22463.999999996024,143.64654165570028,4.121829988434911e-09,3400.2818582367436,95.72255628993389,14641.770162278768,17779.0,18306.0,22170.0,22758.0,,,,
2020/05/14,18181.179037072437,22463.99999999805,139.1270165569258,2.026354195550084e-09,3496.302359468918,96.02050123217441,14684.876677603519,17918.0,18445.0,22171.0,22759.0,,,,
2020/05/15,18315.928732420864,22463.999999999003,134.74969534842603,9.531504474580288e-10,3592.5898283701226,96.28746890120465,14723.33890405074,18051.0,18582.0,22171.0,22758.0,,,,
