Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/02/29,593.0,3558.0,0.0,0.0,166.0,0.0,427.0,546.0,641.0,3442.0,3676.0,2020-02-29,593.0,0.0,123.0,166.0
2020/03/01,1552.6933088692995,3680.9769460006055,959.6933088692995,122.9769460006055,234.0674841378236,68.06748413782361,1318.6258247314759,1476.0,1631.0,3563.0,3801.0,2020-03-01,978.0,385.0,175.0,229.0
2020/03/02,2279.4544998781403,3991.3473591000384,726.7611910088408,310.3704130994329,357.22651411477733,123.15902997695372,1922.227985763363,2186.0,2374.0,3868.0,4116.0,2020-03-02,1501.0,523.0,291.0,357.0
2020/03/03,2896.967305578237,4433.871145490158,617.5128057000966,442.5237863901193,519.5569241537228,162.33041003894544,2377.410381424514,2792.0,3003.0,4304.0,4565.0,2020-03-03,2336.0,835.0,291.0,368.0
2020/03/04,3476.7226775974987,4979.504788774897,579.7553720192618,545.6336432847393,713.1586686821831,193.60174452846036,2763.5640089153158,3362.0,3593.0,4842.0,5118.0,2020-03-04,2922.0,586.0,552.0,644.0
2020/03/05,4060.9216470496513,5614.09101585731,584.1989694521526,634.5862270824127,934.7079468875432,221.5492782053601,3126.213700162108,3936.0,4186.0,5468.0,5762.0,2020-03-05,3513.0,591.0,739.0,846.0
2020/03/06,4675.346337203526,6331.799269761948,614.4246901538745,717.7082539046387,1183.5202695339563,248.812322646413,3491.8260676695695,4542.0,4810.0,6176.0,6488.0,2020-03-06,4747.0,1234.0,913.0,1037.0
2020/03/07,5336.548602579527,7131.3336426767555,661.2022653760014,799.5343729148071,1460.4585463209,276.9382767869438,3876.090056258627,5194.0,5480.0,6966.0,7298.0,2020-03-07,5823.0,1076.0,1669.0,1814.0
2020/03/08,6055.8297619780715,8013.713487067233,719.2811593985443,882.379844390477,1767.3124354175209,306.85388909662083,4288.517326560551,5904.0,6209.0,7839.0,8190.0,2020-03-08,6566.0,743.0,2134.0,2328.0
2020/03/09,6841.40744591149,8980.932918318313,785.5776839334185,967.2194312510801,2106.4383201372875,339.12588471976665,4734.969125774202,6680.0,7004.0,8796.0,9167.0,2020-03-09,7161.0,595.0,2394.0,2631.0
2020/03/10,7699.554612339126,10035.10537622521,858.147166427636,1054.1724579068978,2480.5411876166017,374.1028674793142,5219.013424722524,7528.0,7872.0,9839.0,10232.0,2020-03-10,8042.0,881.0,2731.0,3022.0
2020/03/11,8635.152282926207,11177.874344321935,935.5976705870808,1142.768968096725,2892.5313724514563,411.9901848348545,5742.62091047475,8453.0,8818.0,10971.0,11386.0,2020-03-11,9000.0,958.0,2959.0,3313.0
2020/03/12,9651.905711011128,12409.972586527627,1016.7534280849213,1232.0982422056913,3345.4182654117067,452.8868929602504,6306.487445599421,9460.0,9845.0,12193.0,12629.0,2020-03-12,10075.0,1075.0,3276.0,3705.0
2020/03/13,10752.367414391789,13730.871164176242,1100.4617033806608,1320.8985776486152,3842.2196527319243,496.8013873202176,6910.147761659864,10549.0,10956.0,13501.0,13961.0,2020-03-13,11364.0,1289.0,3276.0,3790.0
2020/03/14,11937.852482331957,15138.494116517395,1185.485067940168,1407.622952341153,4385.874938736563,543.655286004639,7551.977543595393,11724.0,12152.0,14898.0,15380.0,2020-03-14,12729.0,1365.0,4339.0,4950.0
2020/03/15,13208.300358920416,16628.99518318775,1270.4478765884596,1490.5010666703565,4979.156291673773,593.2813529372097,8229.144067246643,12983.0,13434.0,16377.0,16882.0,2020-03-15,13938.0,1209.0,4590.0,5314.0
2020/03/16,14562.121086638032,18196.604583648586,1353.8207277176152,1567.6094004608349,5624.575444779258,645.4191531054848,8937.545641858775,14326.0,14799.0,17933.0,18462.0,2020-03-16,14991.0,1053.0,4996.0,5849.0
2020/03/17,15996.055510527058,19833.55942272338,1433.9344238890262,1636.954839074795,6324.286460915549,699.7110161362907,9671.76904961151,15749.0,16245.0,19558.0,20110.0,2020-03-17,16169.0,1178.0,5389.0,6377.0
2020/03/18,17505.074075764438,21530.13193317798,1509.0185652373802,1696.5725104546,7079.986690878152,755.7002299626038,10425.087384886287,17247.0,17764.0,21243.0,21818.0,2020-03-18,17361.0,1192.0,5710.0,6845.0
