Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
3442.0,3675.0,546.0,641.0,0.0,0.0,0.0,2020/02/29,3558.0,593.0,486.0,107.0,2020-02-29,593.0,73.0,0.0,107.0
3770.0,4014.0,1311.0,1457.0,333.4032078741684,790.2839941517775,61.656814828082275,2020/03/01,3891.4032078741684,1383.2839941517775,1214.6271793236951,168.65681482808228,2020-03-01,978.0,123.0,385.0,166.0
4203.0,4461.0,1984.0,2162.0,440.44156560321517,689.370719336199,107.89208368347872,2020/03/02,4331.844773477384,2072.6547134879766,1796.1058149764156,276.548898511561,2020-03-02,1501.0,175.0,523.0,229.0
4734.0,5007.0,2611.0,2815.0,537.9197639505182,639.5670485740834,145.88983868958832,2020/03/03,4869.764537427902,2712.22176206206,2289.7830248609107,422.4387372011493,2020-03-03,2336.0,291.0,835.0,357.0
5356.0,5647.0,3226.0,3452.0,630.7872012268936,626.2520460421415,179.18894300719438,2020/03/04,5500.551738654795,3338.4738081042015,2736.8461278958575,601.6276802083437,2020-03-04,2922.0,291.0,586.0,368.0
6069.0,6378.0,3855.0,4102.0,722.3233338253376,639.5134245053023,210.25421460657185,2020/03/05,6222.875072480133,3977.9872326095037,3166.105337794588,811.8818948149155,2020-03-05,3513.0,552.0,591.0,644.0
6873.0,7202.0,4517.0,4785.0,814.5772165504095,672.5990065904653,240.81678595744484,2020/03/06,7037.4522890305425,4650.586239199969,3597.8875584276084,1052.6986807723604,2020-03-06,4747.0,739.0,1234.0,846.0
7772.0,8121.0,5228.0,5515.0,908.6617586118891,720.849717912828,272.1024312614602,2020/03/07,7946.114047642432,5371.435957112797,4046.6348450789765,1324.8011120338206,2020-03-07,5823.0,913.0,1076.0,1037.0
8766.0,9137.0,5999.0,6307.0,1004.9465355926477,780.9621000150364,304.9829968006941,2020/03/08,8951.06058323508,6152.398057127833,4522.613948293319,1629.7841088345147,2020-03-08,6566.0,1669.0,743.0,1814.0
9858.0,10252.0,6839.0,7167.0,1103.1836441775686,850.4761504651651,340.07505480007785,2020/03/09,10054.244227412648,7002.874207592999,5033.015043958406,1969.8591636345925,2020-03-09,7161.0,2134.0,595.0,2328.0
11049.0,11465.0,7756.0,8105.0,1202.5933777547707,927.4184348960807,377.8022884523391,2020/03/10,11256.837605167419,7930.292642489079,5582.631190402148,2347.6614520869316,2020-03-10,8042.0,2394.0,881.0,2631.0
12339.0,12779.0,8756.0,9126.0,1301.9306966512486,1010.0539903830722,418.43305252954497,2020/03/11,12558.768301818667,8940.346632872152,6174.252128255675,2766.0945046164766,2020-03-11,9000.0,2731.0,958.0,3022.0
13727.0,14191.0,9842.0,10234.0,1399.5488465780873,1096.7169809085808,462.10116679584735,2020/03/12,13958.317148396754,10037.063613780732,6808.867942368408,3228.195671412324,2020-03-12,10075.0,2959.0,1075.0,3313.0
