Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/03/11,20.0,120.0,0.0,0.0,3.0,0.0,17.0,2020-03-11,20.0,0.0,3.0
2020/03/12,35.657843944090594,128.36822306443975,15.657843944090594,8.368223064439746,3.2531948391810577,0.2531948391810577,32.40464910490954,2020-03-12,28.0,8.0,3.0
2020/03/13,50.74740712611833,143.60254624795664,15.089563182027739,15.234323183516892,3.658855192242833,0.4056603530617755,47.0885519338755,2020-03-13,45.0,17.0,3.0
2020/03/14,66.40507296307541,165.9626757782957,15.65766583695708,22.360129530339066,4.215563206632938,0.5567080143901046,62.189509756442476,2020-03-14,59.0,14.0,8.0
2020/03/15,83.67115708479514,196.1719224862439,17.26608412171973,30.209246707948182,4.932885772329174,0.7173225656962359,78.73827131246597,2020-03-15,63.0,4.0,8.0
2020/03/16,103.57323932449788,235.4074777101837,19.902082239702736,39.235555223939826,5.830724312628411,0.8978385402992375,97.74251501186947,2020-03-16,90.0,27.0,8.0
2020/03/17,127.19777951850013,285.31997171181143,23.62454019400225,49.91249400162772,6.9394519030561055,1.1087275904276943,120.25832761544402,2020-03-17,114.0,24.0,8.0
2020/03/18,155.75587439849684,348.0782679248241,28.558094879996716,62.75829621301267,8.300741894604217,1.3612899915481114,147.45513250389263,2020-03-18,147.0,33.0,8.0
2020/03/19,190.6476125244814,426.43658226883434,34.891738125984546,78.35831434401024,9.969045303057047,1.6683034084528305,180.67856722142434,2020-03-19,199.0,52.0,10.0
2020/03/20,233.5284101856631,523.8213121997826,42.8807976611817,97.38472993094825,12.013714093599017,2.0446687905419694,221.51469609206407,2020-03-20,253.0,54.0,10.0
2020/03/21,286.37976540424665,644.4343130736204,52.851355218583564,120.61300087383779,14.521797134972717,2.5080830413737,271.85796826927395,2020-03-21,306.0,53.0,13.0
2020/03/22,351.5858828965364,793.3675266778325,65.20611749228976,148.93321360421214,17.601555127870828,3.079757992898111,333.9843277686656,2020-03-22,367.0,61.0,17.0
2020/03/23,432.016394715881,976.7205070438225,80.43051181934459,183.35298036599,21.38674914235923,3.7851940144884004,410.62964557352177,2020-03-23,438.0,71.0,18.0
2020/03/24,531.1137106737951,1201.7070829850768,99.09731595791413,224.98657594125427,26.04175105699366,4.655001914634433,505.07195961680145,2020-03-24,495.0,57.0,23.0
2020/03/25,658.0,1481.7485453360941,126.88628932620486,280.04146235101734,32.0,5.958248943006339,626.0,2020-03-25,658.0,163.0,32.0
2020/03/26,808.1494767628787,1825.0455002123426,150.14947676287875,343.2969548762485,39.09162872241003,7.091628722410029,769.0578480404687,,,,
2020/03/27,992.7989391941578,2239.1244165218095,184.64946243127906,414.0789163094669,47.80591943930136,8.714290716891334,944.9930197548565,,,,
2020/03/28,1218.335605089336,2735.808492330233,225.5366658951782,496.6840758084236,58.50835305473416,10.702433615432795,1159.8272520346018,,,,
2020/03/29,1491.9920243621345,3327.133307930387,273.65641927279853,591.3248156001541,71.62992598693991,13.121572932205751,1420.3620983751946,,,,
2020/03/30,1821.6905655170597,4024.5157384309887,329.6985411549251,697.3824305006015,87.67436943885248,16.04444345191257,1734.0161960782073,,,,
2020/03/31,2215.757167500896,4837.546264723314,394.0666019838361,813.0305262923257,107.22308627840177,19.548716839549286,2108.534081222494,,,,
2020/04/01,2682.466180777528,5772.402961503947,466.70901327663205,934.8566967806328,130.93630156775055,23.71321528934878,2551.5298792097774,,,,
2020/04/02,3229.3904215604152,6829.980182431795,546.9242407828874,1057.5772209278475,159.54860448750188,28.61230291975133,3069.8418170729133,,,,
2020/04/03,3862.5587534288543,8003.96331575927,633.168331868439,1173.9831333274751,193.8569385262573,34.30833403875542,3668.701814902597,,,,
2020/04/04,4585.47039800976,9279.239207842906,722.9116445809059,1275.2758920836359,234.69936786777382,40.84242934151652,4350.771030141987,,,,
2020/04/05,5398.07694056182,10631.153576041486,812.6065425520601,1351.9143681985806,282.92376661542926,48.22439874765544,5115.153173946391,,,,
