Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_cure,Dailynew_remove,Date,Predict_actual,Predict_confirm,Predict_cure,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
9316.0,9699.0,5194.0,5481.0,0.0,0.0,0.0,0.0,2020/02/01,9507.0,5337.0,121.92005813178663,5214.0,123.0,2020-02-01,5337.0,113.0,0.0,123.0
9870.0,10263.0,6423.0,6741.0,559.2079446873595,1244.898029188921,191.134292611292,192.82939366965746,2020/02/02,10066.20794468736,6581.898029188921,313.0543507430786,6266.068635519264,315.82939366965746,2020-02-02,6028.0,180.0,691.0,191.0
10333.0,10735.0,7451.0,7794.0,467.2530404106292,1040.1940628560114,221.9975538158019,223.96897696992738,2020/02/03,10533.460985097989,7622.0920920449325,535.0519045588807,7082.293721405347,539.7983706395848,2020-02-03,6949.0,289.0,921.0,301.0
10719.0,11129.0,8311.0,8673.0,390.4190324874344,869.1499499389311,245.7344764384489,247.9195700005124,2020/02/04,10923.880017585423,8491.242041983864,780.7863809973296,7703.524101343766,787.7179406400973,2020-02-04,7646.0,372.0,697.0,384.0
11043.0,11458.0,9030.0,9406.0,326.21950118043424,726.231188808657,263.58440410129316,265.93133820779906,2020/02/05,11250.099518765857,9217.47323079252,1044.3707850986227,8163.823951944624,1053.6492788478963,2020-02-05,8465.0,471.0,819.0,485.0
11313.0,11734.0,9630.0,10019.0,272.5767687761672,606.8129757872066,276.5807306049303,279.04670718869056,2020/02/06,11522.676287542025,9824.286206579727,1320.951515703553,8491.590220543141,1332.6959860365869,2020-02-06,9049.0,669.0,584.0,686.0
11539.0,11963.0,10132.0,10531.0,227.75494261041968,507.0312207759216,285.5847066760712,288.13446204865977,2020/02/07,11750.431230152444,10331.317427355649,1606.5362223796244,8710.486979270401,1620.8304480852466,2020-02-07,9645.0,935.0,596.0,959.0
11727.0,12156.0,10553.0,10959.0,190.3035191595227,423.65705141875696,291.31391311721904,293.91846723837966,2020/02/08,11940.734749311967,10754.974478774406,1897.8501354968432,8840.22556345078,1914.7489153236263,2020-02-08,10096.0,1211.0,451.0,1244.0
11884.0,12316.0,10903.0,11316.0,159.0105127375773,353.9925044719148,294.36592363331346,297.00153452394966,2020/02/09,12099.745262049544,11108.96698324632,2192.2160591301567,8897.216533398745,2211.750449847576,2020-02-09,10540.0,1486.0,444.0,1523.0
12016.0,12450.0,11196.0,11615.0,132.86325045665762,295.7832726480501,295.23809563852865,297.88538550618887,2020/02/10,12232.608512506202,11404.75025589437,2487.454154768685,8895.114420540605,2509.635835353765,2020-02-10,10910.0,1774.0,370.0,1816.0
12127.0,12561.0,11440.0,11864.0,111.01557809936276,247.14571571154556,294.3441229930786,296.98734809106327,2020/02/11,12343.624090605565,11651.895971605916,2781.798277761764,8845.272788161088,2806.623183444828,2020-02-11,11287.0,2101.0,377.0,2146.0
12218.0,12656.0,11646.0,12073.0,92.76048061396432,206.50592017433337,292.0278538389316,294.6542944021544,2020/02/12,12436.384571219529,11858.40189178025,3073.8261316006956,8757.124413933267,3101.2774778469825,2020-02-12,11598.0,2470.0,311.0,2527.0
12295.0,12734.0,11816.0,12246.0,77.50719763626694,172.54876207527377,288.5748380059904,291.1742886129068,2020/02/13,12513.891768855796,12030.950653855523,3362.400969606686,8638.498887395634,3392.4517664598893,2020-02-13,11899.15778,2861.0,301.1577799999996,2923.0
12360.0,12799.0,11960.0,12392.0,64.76213069802543,144.17540820539762,284.22195925989485,286.78630302699185,2020/02/14,12578.653899553821,12175.126062060921,3646.622928866581,8495.88799257404,3679.238069486881,2020-02-14,12148.4307,3322.0,249.27292000000125,3388.0
