Confirm_interval_down,Confirm_interval_up,Dailynew_confirm,Dailynew_remove,Date,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
97823.0,99053.0,0.0,0.0,2020/03/16,98437.39487474073,83582.27954739862,14855.115327342104,2020-03-16,98831.0,11038.0,0.0,14923.0
114760.0,116092.0,16988.36577839221,2498.552861435488,2020/03/17,115425.76065313294,98072.09246435534,17353.668188777592,2020-03-17,114721.0,12251.0,15890.0,16922.0
134659.0,136100.0,19952.611622100623,2784.3294487282,2020/03/18,135378.37227523356,115240.37463772777,20137.997637505792,2020-03-18,132785.0,13378.0,18064.0,18965.0
158364.0,159930.0,23768.29415346257,3114.4715359899856,2020/03/19,159146.66642869613,135894.19725520036,23252.469173495778,2020-03-19,161544.0,16581.0,28759.0,23242.0
186649.0,188345.0,28350.05627317162,3490.410281364533,2020/03/20,187496.72270186775,160753.84324700743,26742.87945486031,2020-03-20,188590.0,19424.0,27046.0,27396.0
219612.0,221451.0,33034.4479036461,3908.2237530027232,2020/03/21,220531.17060551385,189880.06739765083,30651.103207863034,2020-03-21,222330.0,21687.0,33740.0,31373.0
256193.0,258178.0,36653.90016095285,4357.385688324128,2020/03/22,257185.0707664667,222176.58187027954,35008.48889618716,2020-03-22,255332.0,25225.0,33002.0,36597.0
294709.0,296842.0,38591.58160331342,4876.786229417106,2020/03/23,295776.6523697801,255891.37724417585,39885.27512560427,2020-03-23,294696.0,27444.0,39364.0,40635.0
336902.975,339183.0,42262.536954788025,9706.727862759682,2020/03/24,338039.18932456814,288447.1863362042,49592.00298836395,2020-03-24,338588.0,31953.0,43892.0,47426.0
374912.0,377318.0,38075.51344700274,5731.043336733055,2020/03/25,376114.7027715709,320791.6564464739,55323.046325097006,2020-03-25,383378.0,36177.0,44790.0,54000.0
410650.0,413163.0,35792.56599765853,6132.495939756824,2020/03/26,411907.2687692294,350451.7265043756,61455.54226485383,,,,,
443967.0,446581.0,33363.89418677869,6475.630863211882,2020/03/27,445271.1629560081,377339.9898279424,67931.17312806571,,,,,
474933.0,477638.0,31014.97490479506,6757.774849134934,2020/03/28,476286.13786080317,401597.18988360255,74688.94797720065,,,,,
503666.0,506451.0,28772.762075446255,6980.963204268526,2020/03/29,505058.8999362494,423388.98875478026,81669.91118146917,,,,,
530371.0,533233.0,26740.683130511956,7149.869651548783,2020/03/30,531799.5830667614,442979.8022337434,88819.78083301795,,,,,
555270.0,558191.0,24928.33687867038,7270.599393110548,2020/03/31,556727.9199454318,460637.53971930325,96090.3802261285,,,,,
578505.0,581492.025,23268.70939122245,7349.848774459766,2020/04/01,579996.6293366542,476556.4003360659,103440.22900058827,,,,,
600228.0,603271.0,21752.419222079217,7394.278660989832,2020/04/02,601749.0485587334,490914.5408971553,110834.5076615781,,,,,
620556.0,623648.0,20353.019926021225,7410.062038100732,2020/04/03,622102.0684847547,503857.49878507585,118244.56969967883,,,,,
639575.0,642716.025,19043.34252086561,7402.600922610989,2020/04/04,641145.4110056203,515498.24038333044,125647.17062228982,,,,,
657354.0,660535.0,17799.49296941934,7376.402902179718,2020/04/05,658944.9039750396,525921.3304505701,133023.57352446954,,,,,
