Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/03/15,250.0,700.0,0.0,0.0,9.0,0.0,241.0,2020-03-15,250.0,0.0,9.0
2020/03/16,551.7505907262567,800.0650723419039,301.75059072625675,100.06507234190394,17.694230660572355,8.694230660572355,534.0563600656844,2020-03-16,405.0,155.0,14.0
2020/03/17,743.8156857625963,931.5972754747651,192.06509503633959,131.53220313286113,31.24194503377702,13.547714373204666,712.5737407288193,2020-03-17,465.0,60.0,15.0
2020/03/18,910.841972562823,1096.0780808203453,167.02628680022667,164.48080534558028,48.23807255334656,16.99612751956954,862.6039000094764,2020-03-18,727.0,262.0,19.0
2020/03/19,1089.0660534936699,1298.4611632450074,178.22408093084687,202.383082424662,68.51260798267126,20.274535429324693,1020.5534455109986,2020-03-19,873.0,146.0,22.0
2020/03/20,1296.7886607322068,1545.8113492113296,207.72260723853697,247.35018596632221,92.44836055621796,23.935752573546708,1204.340300175989,2020-03-20,1087.0,214.0,22.0
2020/03/21,1546.1742173809803,1846.8462350947882,249.38555664877344,301.0348858834586,120.73233641107961,28.28397585486165,1425.4418809699007,2020-03-21,1190.0,103.0,27.0
2020/03/22,1847.8491554108039,2211.79129592424,301.6749380298236,364.9450608294517,154.27511251172703,33.542776100647416,1693.5740428990769,2020-03-22,1470.0,280.0,31.0
2020/03/23,2212.6949107335645,2652.2977032581125,364.8457553227606,440.50640733387263,194.19543824654835,39.92032573482132,2018.4994724870162,2020-03-23,2088.0,618.0,39.0
2020/03/24,2652.50254195858,3181.2947695700745,439.8076312250155,528.997066311962,241.82952495533854,47.63408670879019,2410.6730170032415,2020-03-24,2790.0,702.0,136.0
2020/03/25,3180.09920574024,3812.6893755997194,527.59666378166,631.3946060296448,298.74785345446,56.918328499121486,2881.35135228578,2020-03-25,3400.0,610.0,218.0
2020/03/26,3809.144473205794,4560.837203897597,629.0452674655539,748.1478282978774,366.7706251193862,68.02277166492615,3442.3738480864076,2020-03-26,4046.0,646.0,222.0
2020/03/27,4553.634404737051,5439.720587067333,744.4899315312573,878.8833831697366,447.97541474395763,81.20478962457145,4105.658989993093,2020-03-27,4781.0,735.0,401.0
2020/03/28,5427.096259558103,6461.790192124141,873.4618548210519,1022.0696050568076,544.6908098134849,96.71539506952723,4882.405449744619,2020-03-28,5576.0,795.0,527.0
2020/03/29,6441.456243385024,7636.474940239049,1014.359983826921,1174.684748114908,659.4695010596911,114.77869124620622,5781.986742325333,2020-03-29,6320.0,744.0,530.0
2020/03/30,7428.0,8968.443074313649,986.5437566149758,1331.9681340746001,1108.0,448.5304989403089,6320.0,2020-03-30,7428.0,1108.0,1108.0
2020/03/31,8841.748594517621,10425.674977967416,1413.7485945176213,1457.2319036537665,1257.915484268296,149.91548426829604,7583.833110249325,,,,
2020/04/01,10333.11010717593,12030.80078779679,1491.3615126583081,1605.1258098293747,1435.516853558171,177.60136928987504,8897.593253617759,,,,
2020/04/02,11937.620329327689,13763.953379011986,1604.510222151759,1733.1525912151956,1642.338489384282,206.82163582611088,10295.281839943407,,,,
2020/04/03,13655.092414809342,15597.587184135531,1717.4720854816533,1833.6338051235452,1880.2130878429489,237.87459845866692,11774.879326966393,,,,
2020/04/04,15466.41855101578,17496.874716039223,1811.3261362064386,1899.287531903692,2150.709094519078,270.4960066761291,13315.709456496703,,,,
2020/04/05,17341.170619417113,19421.77992226672,1874.7520684013325,1924.9052062274968,2454.8227756143333,304.1136810952553,14886.34784380278,,,,
2020/04/06,19242.30632233842,21330.23591225235,1901.1357029213068,1908.4559899856285,2792.801675689086,337.9789000747528,16449.504646649333,,,,
2020/04/07,21130.15031017387,23181.7706582959,1887.8439878354511,1851.5347460435514,3164.0626375534903,371.2609618644042,17966.08767262038,,,,
2020/04/08,22966.10820742292,24940.875645954053,1835.957897249049,1759.1049876581528,3567.1936425977633,403.131005044273,19398.914564825158,,,,
2020/04/09,24715.904470059133,26579.520346822424,1749.7962626362132,1638.6447008683717,4000.0304198109866,432.8367772132233,20715.874050248145,,,,
2020/04/10,26351.98589030134,28078.471235824327,1636.081420242208,1498.9508890019024,4459.792150396764,459.76173058577706,21892.19373990458,,,,
2020/04/11,27854.85021839034,29427.38645193759,1502.8643280889992,1348.9152161132624,4943.2542826876,483.46213229083605,22911.59593570274,,,,
2020/04/12,29213.279894053834,30623.915910396085,1358.429675663494,1196.5294584584954,5446.934126451309,503.67984376370896,23766.345767602525,,,,
2020/04/13,30423.663074468226,31672.17472221708,1210.383180414392,1048.258811820997,5967.267243274559,520.3331168232507,24456.395831193666,,,,
2020/04/14,31488.706472331953,32580.970862472663,1065.0433978637266,908.7961402555811,6500.758477186693,533.4912339121338,24987.94799514526,,,,
2020/04/15,32415.86590144103,33362.09063208537,927.1594291090769,781.1197696127056,7044.098726715488,543.3402495287946,25371.76717472554,,,,
2020/04/16,33215.76902268595,34028.83262646036,799.903121244919,666.7419943749919,7594.245235853289,550.1465091378013,25621.52378683266,,,,
2020/04/17,33900.81682736701,34594.873677424745,685.0478046810604,566.0410509643843,8148.468186282891,554.222950429602,25752.348641084118,,,,
2020/04/18,34484.05995748787,35073.47101889927,583.2431301208635,478.597341474524,8704.369296964755,555.9011106818634,25779.69066052312,,,,
2020/04/19,34978.37345149028,35476.95812744438,494.31349400241015,403.48710854510864,9259.879257051796,555.5099600870417,25718.494194438485,,,,
2020/04/20,35395.9062615262,35816.472241148454,417.5328100359184,339.5141137040773,9813.240611795318,553.3613547435216,25582.665649730883,,,,
2020/04/21,35747.757555453914,36101.849798738935,351.8512939277134,285.37755759048014,10362.981798098936,549.7411863036177,25384.77575735498,,,,
2020/04/22,36043.82508629213,36341.63433043211,296.0675308382124,239.784531693178,10907.886762301421,544.9049642024856,25135.938323990704,,,,
2020/04/23,36292.774373919296,36543.1530608363,248.94928762716881,201.51873040419014,11446.963369175857,539.076606874436,24845.81100474344,,,,
2020/04/24,36502.08598685226,36712.63024852461,209.31161293296464,169.47718768830964,11979.412731495897,532.4493623200397,24522.673255356363,,,,
2020/04/25,36678.14830869417,36855.315493515205,176.06232184191322,142.68524499059276,12504.60073872624,525.1880072303429,24173.547569967934,,,,
2020/04/26,36826.37242165553,36975.61308449488,148.22411296135397,120.29759097967326,13022.032443694405,517.4317049681649,23804.33997796112,,,,
2020/04/27,36951.313470044515,37077.20420327865,124.94104838898784,101.59111878377007,13531.329538436628,509.29709474222363,23419.983931607887,,,,
2020/04/28,37056.7887434281,37163.15773138186,105.47527338358486,85.95352810321492,14032.210878313039,500.8813398764105,23024.57786511506,,,,
2020/04/29,37145.98694951474,37236.02796387678,89.19820608664304,72.87023249491904,14524.475853597263,492.2649752842244,22621.511095917478,,,,
2020/04/30,37221.56601714136,37297.93910112857,75.57906762661878,61.911137251787295,15007.990326925932,483.5144733286688,22213.57569021543,,,,
2020/05/01,37285.738598059004,37350.65726759244,64.17258091764234,52.71816646387015,15482.674828061768,474.6845011358364,21803.063769997236,,,,
2020/05/02,37340.34558602002,37395.6512807461,54.606987961014966,44.99401315365685,15948.494693728055,465.8198656662862,21391.850892291965,,,,
2020/05/03,37386.91855373273,37434.14353595359,46.572967712709215,38.492255207493145,16405.451865523584,456.9571717955296,20981.466688209144,,,,
2020/05/04,37426.73227250972,37467.1523597883,39.813718776989845,33.00882383470889,16853.578089876846,448.12622435326193,20573.154182632872,,,,
2020/05/05,37460.848644639715,37495.527164861625,34.11637212999631,28.37480507332657,17292.92928476273,439.35119488588316,20167.919359876985,,,,
2020/05/06,37490.15322581231,37519.97750928312,29.304581172596954,24.450344421493355,17723.580886126023,430.6516013632936,19766.57233968629,,,,
2020/05/07,37515.38550791017,37541.09709700352,25.232282097858842,21.119587720400887,18145.62400306226,422.0431169362382,19369.76150484791,,,,
2020/05/08,37537.163964890264,37559.3835761808,21.778456980093324,18.286479177280853,18559.162243281236,413.53824021897526,18978.001721609027,,,,
2020/05/09,37556.00673543883,37575.25486309292,18.842770548566477,15.871286912122741,18964.309092713258,405.14684943202155,18591.697642725572,,,,
2020/05/10,37572.34868881517,37589.06260254261,16.341953376337187,13.807739449686778,19361.18575247016,396.87665975690106,18211.16293634501,,,,
2020/05/11,37586.555504835065,37601.10327363265,14.206816019897815,12.040671090042451,19749.91935295478,388.733600484622,17836.636151880284,,,,
2020/05/12,37598.93529121839,37611.62735812798,12.379786383324245,10.52408449532959,20130.641479465827,380.72212651104564,17468.293811752563,,,,
2020/05/13,37609.74817619464,37620.84691877775,10.812884976250643,9.219560649769846,20503.486954632714,372.8454751668869,17106.261221561927,,,,
2020/05/14,37619.21423514711,37628.941870294824,9.46605895247194,8.094951517072332,20868.592833140792,365.1058785080786,16750.62140200632,,,,
2020/05/15,37627.520048331,37636.06517596069,8.305813183891587,7.12330566586752,21226.097571903603,357.50473876281103,16401.4224764274,,,,
2020/05/16,37634.82413319449,37642.34716070496,7.304084863484604,6.281984744266083,21576.140345391992,350.0427734883888,16058.683787802496,,,,
2020/05/17,37641.261450163176,37647.899095991175,6.43731696868781,5.5519352862174856,21918.860481342803,342.7201359508108,15722.400968820373,,,,
2020/05/18,37646.94714767623,37652.816186160126,5.6856975130504,4.917090168950381,22254.396996043914,335.5365147011107,15392.550151632313,,,,
2020/05/19,37651.97967734105,37657.18005833443,5.032529664822505,4.363872174304561,22582.88821272509,328.4912166811773,15069.091464615958,,,,
2020/05/20,37656.443392147485,37661.0608441144,4.463714806435746,3.880785779969301,22904.47144869672,321.5832359716296,14751.971943450764,,,,
2020/05/21,37660.410716198676,37664.518922391195,3.967324051191099,3.458078276795277,23219.2827599062,314.81131120947975,14441.127956292476,,,,
2020/05/22,37663.94396019407,37667.606381327416,3.533243995392695,3.0874589362210827,23527.456733332314,308.17397342611366,14136.487226861755,,,,
2020/05/23,37667.096843404535,37670.36824710915,3.1528832104668254,2.76186578173656,23829.126319306055,301.66958597374105,13837.97052409848,,,,
2020/05/24,37669.91577194913,37672.84351862536,2.818928544591472,2.4752715162103414,24124.4226971999,295.2963778938465,13545.493074749225,,,,
2020/05/25,37672.440914609135,37675.066040526784,2.5251426600079867,2.2225219014217146,24413.475169004043,289.05247180414153,13258.965745605092,,,,
2020/05/26,37674.70710965415,37677.065241114615,2.2661950450128643,1.9992005878302734,24696.411076291948,282.93590728790514,12978.2960333622,,,,
2020/05/27,37676.744631070906,37678.8667573186,2.0375214167579543,1.8015162039882853,24973.35573674215,276.9446604502009,12703.388894328757,,,,
2020/05/28,37678.57983696692,37680.492965050966,1.8352058960153954,1.6262077323626727,25244.432397064236,271.07666032208726,12434.147439902685,,,,
2020/05/29,37680.235719446704,37681.963430045194,1.6558824797830312,1.4704649942286778,25509.76219968333,265.32980261909324,12170.473519763374,,,,
2020/05/30,37681.73237175848,37683.2952918745,1.4966523117764154,1.3318618293051259,25769.464160954514,259.7019612711847,11912.268210803966,,,,
2020/05/31,37683.087385943196,37684.503591646804,1.355014184715401,1.2082997723045992,26023.65515904354,254.19099808902683,11659.432226899655,,,,
2020/06/01,37684.316191948965,37685.60155214652,1.2288060057690018,1.0979604997191927,26272.449929906703,248.79477086316183,11411.866262042262,,,,
2020/06/02,37685.43234733597,37686.60081775879,1.1161553870042553,0.999265612263116,26515.961070049558,243.51114014285486,11169.471277286411,,,,
2020/06/03,37686.44778525941,37687.51166032694,1.0154379234372755,0.9108425681552035,26754.299044948257,238.33797489869903,10932.14874031115,,,,
2020/06/04,37687.37302709572,37688.3431560837,0.9252418363103061,0.8314957567563397,26987.572202194966,233.27315724670916,10699.80082490075,,,,
2020/06/05,37688.21736509916,37689.10333800163,0.8443380034441361,0.7601819179326412,27215.886788568794,228.3145863738282,10472.330576530367,,,,
2020/06/06,37688.98901958998,37689.79932720068,0.7716544908180367,0.6959891990481992,27439.346970359522,223.4601817907278,10249.642049230457,,,,
2020/06/07,37689.69527444833,37690.43744648055,0.7062548583489843,0.6381192798726261,27658.054856373903,218.70788601438107,10031.640418074425,,,,
2020/06/08,37690.34259411717,37691.02331857692,0.6473196688457392,0.5858720963660744,27872.110523139054,214.05566676515082,9818.23207097812,,,,
