Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/03/16,439.0,2634.0,0.0,0.0,4.0,0.0,435.0,398.0,481.0,2534.0,2735.0,2020-03-16,439.0,0.0,4.0,4.0
2020/03/17,449.4466797360833,2634.590851751615,10.446679736083297,0.5908517516149914,7.651984413446407,3.6519844134464066,441.79469532263687,408.0,491.0,2535.0,2736.0,2020-03-17,439.0,0.0,4.0,4.0
2020/03/18,459.84645246323373,2635.17901197005,10.399772727150435,0.5881602184349504,11.360139548228142,3.7081551347817356,448.4863129150056,418.0,502.0,2535.0,2736.0,2020-03-18,452.0,13.0,4.0,4.0
2020/03/19,470.1995286197746,2635.764493078167,10.353076156540851,0.5854811081171647,15.123611185162266,3.763471636934124,455.07591743461234,428.0,513.0,2536.0,2737.0,2020-03-19,460.0,8.0,4.0,4.0
2020/03/20,480.50611769952064,2636.3473074399185,10.306589079746061,0.5828143617513888,18.94155394191831,3.817942756756045,461.56456375760234,438.0,524.0,2536.0,2737.0,2020-03-20,470.0,10.0,10.0,10.0
2020/03/21,490.766428258221,2636.9274673607724,10.260310558700382,0.5801599208539301,22.81313118019096,3.87157723827265,467.95329707803006,448.0,535.0,2537.0,2738.0,2020-03-21,481.0,11.0,27.0,27.0
2020/03/22,500.98066792015175,2637.504985088166,10.21423966193072,0.5775177273935697,26.737514879873224,3.924383699682263,474.2431530402785,458.0,545.0,2537.0,2739.0,2020-03-22,494.0,13.0,33.0,33.0
2020/03/23,511.149043377708,2638.0798728114773,10.168375457556238,0.574887723311349,30.713885646552843,3.9763707666796186,480.43515773115513,467.0,556.0,2538.0,2739.0,2020-03-23,501.0,7.0,33.0,33.0
2020/03/24,521.271760393601,2638.652142662181,10.122717015892988,0.5722698507038331,34.74143266902226,4.027547022469417,486.5303277245787,477.0,566.0,2539.0,2740.0,2020-03-24,526.0,25.0,41.0,41.0
2020/03/25,531.349023807123,2639.221806714276,10.077263413522019,0.5696640520950496,38.81935359986871,4.077920930846453,492.5296702072543,487.0,577.0,2539.0,2740.0,2020-03-25,537.0,11.0,41.0,41.0
2020/03/26,541.3810375461824,2639.788876985117,10.03201373905938,0.5670702708407589,42.94685433225464,4.127500732385926,498.4341832139277,496.0,587.0,2539.0,2741.0,2020-03-26,549.0,12.0,43.0,43.0
2020/03/27,562.0,2650.98536080939,20.61896245381763,11.196483824272946,43.0,0.05314566774536189,519.0,516.0,609.0,2551.0,2753.0,2020-03-27,562.0,13.0,43.0,43.0
2020/03/28,572.2122808682748,2765.688760325236,10.212280868274775,114.70339951584629,47.34745924310626,4.3474592431062575,524.8648216251685,526.0,620.0,2663.0,2869.0,,,,,
2020/03/29,582.9316202335233,2884.5140547802002,10.719339365248516,118.82529445496402,51.74566471924593,4.3982054761396725,531.1859555142773,536.0,631.0,2780.0,2990.0,,,,,
2020/03/30,594.1751802133289,3007.4420170631297,11.243559979805582,122.92796228292946,56.19847292016652,4.452808200920593,537.9767072931623,547.0,642.0,2900.0,3115.0,,,,,
2020/03/31,605.9599082363643,3134.4355346576376,11.784728023035427,126.99351759450792,60.70985028455142,4.511377364384899,545.2500579518129,558.0,655.0,3025.0,3245.0,,,,,
2020/04/01,618.3024487761982,3265.438710127824,12.342540539833863,131.0031754701863,65.28386947987617,4.574019195324752,553.018579296322,570.0,667.0,3154.0,3378.0,,,,,
2020/04/02,631.2190604659805,3400.376073738967,12.916611689782371,134.93736361114316,69.92470621204534,4.640836732169163,561.2943542539352,582.0,681.0,3286.0,3515.0,,,,,
2020/04/03,644.7255097636089,3539.1518056107634,13.506449297628365,138.77573187179632,74.63663417385793,4.7119279618125915,570.088875589751,595.0,695.0,3423.0,3656.0,,,,,
2020/04/04,658.8369861313181,3681.649362320007,14.111476367709201,142.49755670924378,79.42402016341178,4.787385989553854,579.4129659679063,609.0,710.0,3563.0,3801.0,,,,,
2020/04/05,673.5680025158963,3827.7311643904363,14.731016384578197,146.08180207042915,84.29131803998928,4.867297876577496,589.276684475907,623.0,725.0,3707.0,3950.0,,,,,
2020/04/06,688.932297604887,3977.238528241946,15.36429508899073,149.50736385150958,89.24306195448928,4.9517439145,599.6892356503978,638.0,741.0,3854.0,4102.0,,,,,
2020/04/07,704.9427394583956,4129.99183993385,16.01044185350861,152.7533116919044,94.28385885337144,5.040796898882164,610.6588806050243,653.0,757.0,4004.0,4257.0,,,,,
2020/04/08,721.6112312837832,4285.790992060216,16.668491825387605,155.7991521263657,99.41838025314918,5.134521399777739,622.1928510306341,669.0,775.0,4158.0,4414.0,,,,,
2020/04/09,738.9486195256356,4444.416032456553,17.33738824185241,158.62504039633677,104.65135340038009,5.232973147230908,634.2972661252555,686.0,793.0,4314.0,4576.0,,,,,
2020/04/10,756.9646071858253,4605.628131496511,18.015987660189694,161.21209903995805,109.98755164234142,5.336198241961327,646.977055543484,703.0,811.0,4473.0,4739.0,,,,,
2020/04/11,775.6676719798566,4769.170869035219,18.703064794031206,163.54273753870802,115.43178394603117,5.444232303689759,660.2358880338254,721.0,831.0,4634.0,4905.0,,,,,
2020/04/12,795.0649919989572,4934.771548937675,19.397320019100675,165.60067990245625,120.98888459171842,5.5571006456872425,674.0761074072389,740.0,851.0,4797.0,5073.0,,,,,
2020/04/13,815.1623782447659,5102.142984915143,20.097386245808707,167.37143597746763,126.6637015903968,5.674816998678381,688.4986766543691,760.0,872.0,4963.0,5243.0,,,,,
2020/04/14,835.9642161421139,5270.985396442329,20.801837897347923,168.8424115271864,132.46108504763882,5.79738345724202,703.5031310944751,780.0,893.0,5129.0,5414.0,,,,,
2020/04/15,857.473418441452,5440.988523758856,21.5092022993382,170.00312731652684,138.38587517160093,5.9247901239621115,719.0875432698512,801.0,915.0,5297.0,5586.0,,,,,
2020/04/16,879.6913869686447,5611.833902515749,22.217968527192625,170.8453787568933,144.4428899174527,6.057014745851774,735.248497051192,822.0,938.0,5465.0,5760.0,,,,,
