Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/03/15,62.07683662755996,354.0,0.0,0.0,1.0,0.0,61.07683662755996,47.0,78.0,318.0,391.0,2020-03-15,59.0,0.0,0.0,1.0
2020/03/16,136.92660895463794,374.0570581577747,74.84977232707797,20.05705815777469,1.3151566530656356,0.31515665306563556,135.6114523015723,114.0,160.0,337.0,412.0,2020-03-16,77.0,18.0,0.0,1.0
2020/03/17,211.77638128171586,428.592036460016,74.84977232707791,54.53497830224131,1.864743738006702,0.5495870849410665,209.91163754370916,184.0,241.0,388.0,470.0,2020-03-17,140.0,63.0,0.0,1.0
2020/03/18,291.40767579421333,514.1377230235637,79.63129451249748,85.54568656354769,2.6306580206160164,0.7659142826093144,288.7770177735973,259.0,325.0,470.0,559.0,2020-03-18,203.0,63.0,0.0,2.0
2020/03/19,377.695250166858,631.366225041495,86.28757437264466,117.2285020179313,3.6263315188920044,0.9956734982759881,374.068918647966,340.0,416.0,582.0,681.0,2020-03-19,335.0,132.0,0.0,4.0
2020/03/20,478.49749863794955,783.5874248787227,100.80224847109156,152.2211998372277,4.888565007810022,1.2622334889180173,473.6089336301395,436.0,522.0,729.0,839.0,2020-03-20,484.0,149.0,0.0,4.0
2020/03/21,600.406580257054,975.7122989338245,121.90908161910443,192.12487405510183,6.473849761181987,1.5852847533719654,593.932730495872,553.0,649.0,915.0,1037.0,2020-03-21,670.0,186.0,0.0,8.0
2020/03/22,749.4084188261716,1213.3494482809003,149.00183856911758,237.63714934707582,8.457040971114726,1.9831912099327385,740.9513778550569,696.0,804.0,1146.0,1282.0,2020-03-22,798.0,128.0,6.0,14.0
2020/03/23,924.5771243136741,1501.7997871793284,175.1687054875025,288.4503388984281,10.93094773897196,2.473906767857235,913.646176574702,866.0,985.0,1426.0,1578.0,2020-03-23,875.0,77.0,6.0,14.0
2020/03/24,1127.2236014353207,1844.8096240391849,202.64647712164663,343.0098368598565,14.005714996800968,3.0747672578290075,1113.2178864385198,1062.0,1194.0,1761.0,1930.0,2020-03-24,1099.0,224.0,6.0,14.0
2020/03/25,1342.5758122850948,2243.0772303494787,215.3522108497741,398.2676063102938,14.0,-0.005714996800968208,1328.5758122850948,1271.0,1415.0,2151.0,2336.0,2020-03-25,1333.0,234.0,6.0,14.0
2020/03/26,1560.72668592511,2286.672956181163,218.1508736400151,43.595725831684376,18.52657406552428,4.526574065524279,1542.2001118595856,1484.0,1639.0,2193.0,2381.0,,,,,
2020/03/27,1774.4263492821733,2402.181223156235,213.6996633570634,115.50826697507182,23.746853887074025,5.220279821549745,1750.6794953950994,1692.0,1857.0,2306.0,2499.0,,,,,
2020/03/28,1984.316121308236,2574.72220465987,209.8897720260627,172.54098150363507,29.563998688987418,5.817144801913393,1954.7521226192487,1898.0,2072.0,2476.0,2675.0,,,,,
2020/03/29,2181.8069448288848,2795.4094048416414,197.49082352064875,220.68720018177146,35.95619956863189,6.39220087964447,2145.850745260253,2091.0,2274.0,2692.0,2900.0,,,,,
2020/03/30,2379.2977683495337,3058.1907236224224,197.49082352064897,262.781318780781,42.948291069061725,6.9920915004298365,2336.349477280472,2284.0,2476.0,2950.0,3167.0,,,,,
2020/03/31,2609.691477206384,3357.537044417312,230.39370885685048,299.3463207948894,50.59357097485615,7.645279905794425,2559.097906231528,2510.0,2710.0,3244.0,3472.0,,,,,
2020/04/01,2861.1521896213476,3686.880534203742,251.46071241496338,329.3434897864304,58.961066300751924,8.367495325895774,2802.1911233205956,2757.0,2966.0,3569.0,3806.0,,,,,
2020/04/02,3137.2398751744327,4037.750944185261,276.08768555308507,350.8704099815186,68.1254339960644,9.164367695312478,3069.1144411783685,3028.0,3247.0,3914.0,4163.0,,,,,
2020/04/03,3435.6329666266392,4399.620488632735,298.3930914522066,361.86954444747425,78.15805825693911,10.032624260874712,3357.4749083697,3321.0,3551.0,4270.0,4530.0,,,,,
2020/04/04,3751.527240103443,4760.452142837313,315.89427347680385,360.8316542045777,89.1189059410512,10.960847684112082,3662.408334162392,3632.0,3872.0,4626.0,4896.0,,,,,
2020/04/05,4078.054942257187,5107.83585612785,326.52770215374403,347.38371329053734,101.04941283920158,11.930506898150384,3977.0055294179856,3953.0,4204.0,4968.0,5248.0,,,,,
2020/04/06,4406.953289490966,5430.438698772622,328.8983472337791,322.60284264477195,113.96708301751919,12.917670178317607,4292.986206473447,4277.0,4538.0,5286.0,5575.0,,,,,
2020/04/07,4729.445330249496,5719.37935368889,322.4920407585296,288.9406549162677,127.86254568726696,13.895462669747772,4601.582784562229,4595.0,4864.0,5572.0,5868.0,,,,,
2020/04/08,5037.197847209629,5969.149961814481,307.7525169601331,249.77060812559102,142.69953275047132,14.836987063204361,4894.498314459158,4899.0,5177.0,5819.0,6121.0,,,,,
