Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/03/15,52.063802274874945,295.0,0.0,0.0,1.0,0.0,51.063802274874945,38.0,67.0,262.0,329.0,2020-03-15,59.0,0.0,0.0,1.0
2020/03/16,136.6021059393812,384.2364448675483,84.53830366450626,89.2364448675483,1.485499927753527,0.485499927753527,135.11660601162768,114.0,160.0,346.0,423.0,2020-03-16,77.0,18.0,0.0,1.0
2020/03/17,221.14040960388735,485.00111648164426,84.53830366450615,100.76467161409596,2.363289301704967,0.8777893739514402,218.77712030218237,192.0,251.0,442.0,529.0,2020-03-17,140.0,63.0,0.0,1.0
2020/03/18,310.4859002787824,599.3183989445472,89.34549067489507,114.31728246290294,3.6638536883329733,1.300564386628006,306.8220465904495,276.0,346.0,552.0,648.0,2020-03-18,203.0,63.0,0.0,2.0
2020/03/19,409.04215926265374,729.125478842865,98.55625898387132,129.80707989831785,5.42732123865944,1.7634675503264665,403.6148380239943,370.0,449.0,677.0,782.0,2020-03-19,335.0,132.0,0.0,4.0
2020/03/20,518.6432647307157,876.1531676391345,109.60110546806197,147.02768879626944,7.703421458470567,2.276100219811127,510.9398432722451,475.0,564.0,819.0,935.0,2020-03-20,484.0,149.0,0.0,4.0
2020/03/21,641.0078956274015,1041.776291889462,122.36463089668575,165.62312425032758,10.551154435651036,2.8477329771804687,630.4567411917504,592.0,691.0,979.0,1106.0,2020-03-21,670.0,186.0,0.0,8.0
2020/03/22,777.649535112897,1226.8433854326595,136.6416394854955,185.06709354319742,14.038046539385515,3.4868921037344798,763.6114885735115,724.0,833.0,1159.0,1296.0,2020-03-22,798.0,128.0,6.0,14.0
2020/03/23,929.7705608137105,1431.5041580766567,152.12102570081356,204.66077264399723,18.238875713159292,4.200829173773776,911.5316851005513,870.0,990.0,1358.0,1506.0,2020-03-23,875.0,77.0,6.0,14.0
2020/03/24,1098.1491788702149,1655.0618094922502,168.37861805650437,223.55765141559345,23.233780515300666,4.994904802141374,1074.9153983549143,1034.0,1164.0,1576.0,1735.0,2020-03-24,1099.0,224.0,6.0,14.0
