Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/03/10,46.90303396260761,94.0,0.0,0.0,18.0,0.0,28.90303396260761,2020-03-10,47.0,0.0,18.0
2020/03/11,51.11881527141911,104.89863515036615,4.215781308811501,10.898635150366147,18.32486570159861,0.32486570159861117,32.7939495698205,2020-03-11,48.0,1.0,18.0
2020/03/12,55.65377355530488,117.39815599174221,4.534958283885771,12.499520841376068,18.690547000092675,0.3656812984940636,36.9632265552122,2020-03-12,49.0,1.0,21.0
2020/03/13,60.85934042925844,131.72733825523008,5.205566873953558,14.329182263487866,19.1031642230599,0.41261722296722425,41.75617620619854,2020-03-13,50.0,1.0,21.0
2020/03/14,66.83279050491885,148.1456391438483,5.973450075660409,16.418300888618234,19.56972636882108,0.4665621457611806,47.26306413609777,2020-03-14,53.0,3.0,21.0
2020/03/15,73.68490992448635,166.9466638507413,6.852119419567501,18.801024706892974,20.098254778956832,0.5285284101357526,53.58665514552952,2020-03-15,59.0,6.0,21.0
2020/03/16,81.54168390737311,188.46182897395977,7.856773982886764,21.51516512321848,20.69792269737029,0.5996679184134592,60.843761210002825,2020-03-16,67.0,8.0,21.0
2020/03/17,90.54613565130187,213.0641458632572,9.004451743928755,24.60231688929744,21.379212032724077,0.6812893353537852,69.16692361857778,2020-03-17,77.0,10.0,23.0
2020/03/18,100.86030948709973,241.172025389116,10.31417383579786,28.107879525858777,22.154088274942417,0.7748762422183404,78.70622121215732,2020-03-18,100.0,23.0,23.0
2020/03/19,112.66738274203934,273.25297043153137,11.80707325493961,32.08094504241538,23.03619539308746,0.8821071181450435,89.63118734895187,2020-03-19,108.0,8.0,27.0
2020/03/20,126.17388094729961,309.8269640491682,13.506498205260272,36.57399361763686,24.041071510855378,1.0048761177679175,102.13280943644423,2020-03-20,135.0,27.0,28.0
