Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/03/11,251.35782901373884,1107.0,0.0,0.0,4.0,0.0,247.35782901373884,221.0,283.0,1042.0,1173.0,2020-03-11,246.0,0.0,4.0,4.0
2020/03/12,412.99793406436834,1148.7956980518572,161.6401050506295,41.795698051857244,4.283834254322269,0.2838342543222687,408.7140998100461,374.0,453.0,1083.0,1216.0,2020-03-12,302.0,56.0,4.0,5.0
2020/03/13,574.6380391149978,1263.8938040759558,161.64010505062947,115.09810602409857,4.707329701018954,0.42349544669668493,569.9307094139789,528.0,622.0,1195.0,1334.0,2020-03-13,504.0,202.0,6.0,7.0
2020/03/14,743.6679528428381,1447.1955520593115,169.02991372784027,183.30174798335565,5.262260910561393,0.5549312095424392,738.4056919322767,691.0,798.0,1373.0,1522.0,2020-03-14,655.0,151.0,6.0,7.0
2020/03/15,923.4039512345905,1700.0348325828954,179.73599839175245,252.83928052358397,5.953738593088194,0.6914776825268012,917.4502126415023,864.0,983.0,1620.0,1781.0,2020-03-15,860.0,205.0,6.0,7.0
2020/03/16,1127.023480639721,2028.6530149229247,203.61952940513038,328.6181823400293,6.797765662956241,0.844027069868047,1120.2257149767647,1062.0,1193.0,1941.0,2117.0,2020-03-16,1018.0,158.0,6.0,9.0
2020/03/17,1366.551375785225,2443.172974626046,239.5278951455041,414.51995970312146,7.820119965008201,1.0223543020519603,1358.7312558202168,1295.0,1439.0,2347.0,2541.0,2020-03-17,1332.0,314.0,6.0,9.0
2020/03/18,1653.8033995750768,2956.8092658824826,287.2520237898518,513.6362912564364,9.056120995473075,1.2360010304648732,1644.7472785796037,1574.0,1734.0,2851.0,3064.0,2020-03-18,1646.0,314.0,9.0,13.0
2020/03/19,2000.9444341028773,3585.084419617605,347.14103452780046,628.2751537351223,10.550966506481227,1.4948455110081529,1990.393467596396,1914.0,2089.0,3468.0,3703.0,2020-03-19,2013.0,367.0,9.0,15.0
2020/03/20,2420.720947601332,4344.839165887286,419.77651349845496,759.7547462696812,12.360387835961848,1.809421329480621,2408.3605597653705,2325.0,2518.0,4216.0,4475.0,2020-03-20,2388.0,375.0,9.0,15.0
2020/03/21,2926.376700124677,5252.840330102487,505.65575252334474,908.0011642152012,14.551387726732102,2.1909998907702537,2911.825312397945,2821.0,3033.0,5111.0,5395.0,2020-03-21,2649.0,261.0,9.0,15.0
2020/03/22,3531.229842281584,6323.825172402621,604.8531421569069,1070.984842300134,17.20280274647734,2.6514150197452366,3514.0270395351067,3415.0,3648.0,6168.0,6480.0,2020-03-22,3244.0,595.0,9.0,25.0
2020/03/23,4181.804143875455,7567.904979730126,650.5743015938715,1244.0798073275046,20.40538874789586,3.2025860014185206,4161.3987551275595,4056.0,4309.0,7398.0,7739.0,2020-03-23,4474.0,1230.0,9.0,30.0
2020/03/24,4934.999200770526,8987.414121647114,753.1950568950706,1419.5091419169885,24.261081345334382,3.855692597438523,4910.738119425191,4798.0,5073.0,8802.0,9173.0,2020-03-24,5283.0,809.0,9.0,37.0
2020/03/25,5742.681095707947,10573.549634126288,807.681894937421,1586.1355124791735,39.0,14.738918654665618,5703.681095707947,5595.0,5892.0,10372.0,10775.0,2020-03-25,5588.0,305.0,9.0,39.0
2020/03/26,6569.050099660055,10729.635553736261,826.369003952108,156.08591960997364,44.1906896460552,5.190689646055198,6524.859410014,6410.975000000002,6729.0,10527.0,10933.0,,,,,
2020/03/27,7386.332407461303,11148.545014732754,817.282307801248,418.90946099649227,50.16986132831208,5.979171682256883,7336.16254613299,7218.0,7555.0,10942.0,11356.0,,,,,
2020/03/28,8238.142701538,11783.775812092834,851.8102940766967,635.23079736008,56.85034366656198,6.680482338249902,8181.292357871437,8061.0,8417.0,11571.0,11997.0,,,,,
2020/03/29,9047.287890036352,12600.403358448977,809.1451884983526,816.6275463561433,64.19919572211631,7.348852055554332,8983.088694314236,8862.0,9234.0,12381.0,12821.0,,,,,
2020/03/30,9856.433078534705,13569.962276407632,809.1451884983526,969.558917958655,72.22086903665868,8.021673314542369,9784.212209498046,9662.0,10052.0,13342.0,13799.0,,,,,
2020/03/31,10700.334014646776,14666.008827784977,843.9009361120716,1096.0465513773452,80.94482607367407,8.723957037015381,10619.389188573103,10498.0,10903.0,14429.0,14904.0,,,,,
