Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
131.0,180.0,21.0,42.0,0.0,0.0,0.0,2020/03/14,155.0,31.0,29.0,2.0,2020-03-14,31.0,2.0,0.0,2.0
151.0,203.0,128.0,176.0,21.41518953609804,120.27155877081216,0.5725983528898664,2020/03/15,176.41518953609804,151.27155877081216,148.6989604179223,2.5725983528898664,2020-03-15,53.0,2.0,22.0,2.0
188.0,246.0,169.0,224.0,40.08705195261703,45.065955101209624,0.9344472214383734,2020/03/16,216.50224148871507,196.3375138720218,192.83046829769356,3.50704557432824,2020-03-16,136.0,2.0,83.0,2.0
237.0,301.0,214.0,275.0,52.34987006292488,47.83084526297844,1.1731306553060366,2020/03/17,268.85211155163995,244.16835913500023,239.48818290536596,4.680176229634276,2020-03-17,236.0,2.0,100.0,2.0
300.0,372.0,271.0,339.0,66.92219907218288,60.19793110558368,1.4581352691562266,2020/03/18,335.7743106238228,304.3662902405839,298.2279787417934,6.138311498790503,2020-03-18,299.0,2.0,63.0,2.0
381.0,462.0,343.0,420.0,85.33918224459262,76.71217109076122,1.82029085626289,2020/03/19,421.11349286841545,381.0784613313451,373.1198589762917,7.958602355053393,2020-03-19,454.0,13.0,155.0,15.0
485.0,575.0,437.0,522.0,108.66694056233638,97.73008887442637,2.2820359616187575,2020/03/20,529.7804334307518,478.8085502057715,468.5679118890993,10.24063831667215,2020-03-20,501.0,13.0,47.0,16.0
618.0,719.0,556.0,652.0,138.13278560202832,124.32068735087972,2.870052463023617,2020/03/21,667.9132190327801,603.1292375566512,590.0185467769554,13.110690779695767,2020-03-21,730.0,13.0,229.0,16.0
787.0,900.0,707.0,816.0,175.20489174347404,157.83295056457337,3.61748010202451,2020/03/22,843.1181107762542,760.9621881212246,744.2340172395043,16.728170881720278,2020-03-22,776.0,13.0,46.0,18.0
1001.0,1129.0,817.0,934.0,221.61035528265154,114.03781187877541,2.2718291182797223,2020/03/23,1064.7284660589057,875.0,856.0,19.0,2020-03-23,875.0,13.0,99.0,19.0
1271.0,1415.0,1133.0,1269.0,277.5367111376438,325.991870100871,5.577631647063104,2020/03/24,1342.2651771965495,1200.991870100871,1176.414238453808,24.577631647063104,,,,,
1619.0,1781.0,1455.0,1608.0,357.2429748647262,330.137953464352,7.261507419156981,2020/03/25,1699.5081520612757,1531.129823565223,1499.290684499003,31.839139066220085,,,,,
2056.0,2237.0,1851.0,2023.0,446.45511385046666,405.67512750791366,9.208087046438166,2020/03/26,2145.9632659117424,1936.8049510731366,1895.7577249604783,41.04722611265825,,,,,
2598.0,2801.0,2344.0,2538.0,553.0568098120248,503.3659242027875,11.618864128250685,2020/03/27,2699.020075723767,2440.170875275924,2387.504785035015,52.666090240908936,,,,,
3264.0,3492.0,2952.0,3170.0,678.9956562214074,620.2795481763083,14.59936195152887,2020/03/28,3378.0157319451746,3060.4504234522324,2993.1849712597946,67.2654521924378,,,,,
4076.0,4330.0,3697.0,3939.0,824.5665004969496,756.8033084452682,18.25209598224643,2020/03/29,4202.582232442124,3817.2537318975005,3731.7361837228163,85.51754817468424,,,,,
5050.0,5332.0,4595.0,4864.0,988.115129290657,912.141145912648,22.678624514109103,2020/03/30,5190.697361732781,4729.3948778101485,4621.1987051213555,108.19617268879334,,,,,
6200.0,6513.0,5663.0,5963.0,1165.2718211374531,1083.1890786317817,27.96975416323089,2020/03/31,6355.969182870234,5812.58395644193,5676.418029589906,136.16592685202423,,,,,
7533.0,7877.0,6912.0,7242.0,1348.2730008992203,1263.755409490298,34.19083609205853,2020/04/01,7704.242183769455,7076.339365932228,6905.982602988145,170.35676294408276,,,,,
9042.0,9418.0,8340.0,8702.0,1525.7299764873733,1444.109429570417,41.36370118330359,2020/04/02,9229.972160256828,8520.448795502645,8308.72833137526,211.72046412738635,,,,,
10708.0,11118.0,9935.0,10329.0,1683.225856149842,1611.1870283162862,49.44783628836237,2020/04/03,10913.19801640667,10131.635823818931,9870.467523403182,261.1683004157487,,,,,
12498.0,12940.0,11669.0,12096.0,1805.0224218658095,1749.7888119037525,58.32537731743952,2020/04/04,12718.22043827248,11881.424635722684,11561.930957989496,319.49367773318824,,,,,
14359.0,14832.0,13497.0,13956.0,1876.8007484061527,1844.8616424502488,67.79567608259947,2020/04/05,14595.021186678632,13726.286278172933,13338.996924357145,387.2893538157877,,,,,
16233.0,16736.0,15366.0,15856.0,1888.8301053622217,1884.500272406569,77.5845401956887,2020/04/06,16483.851292040854,15610.786550579502,15145.912656568025,464.8738940114764,,,,,
18057.0,18588.0,17215.0,17733.0,1838.517965647894,1862.8106416192531,87.36982535418542,2020/04/07,18322.369257688748,17473.597192198755,16921.353472833092,552.2437193656618,,,,,
19776.0,20331.0,18984.0,19528.0,1731.3001674458537,1781.5730332112544,96.8196314528085,2020/04/08,20053.6694251346,19255.17022541001,18606.10687459154,649.0633508184703,,,,,
21346.0,21922.0,20623.0,21189.0,1579.4233438257288,1649.9756962152387,105.63426198842626,2020/04/09,21633.09276896033,20905.145921625248,20150.44830881835,754.6976128068966,,,,,
22735.0,23330.0,22095.0,22682.0,1399.0715614683759,1482.468359857823,113.5811708986239,2020/04/10,23032.164330428706,22387.61428148307,21519.33549777755,868.2787837055205,,,,,
23935.0,24545.0,23382.0,23985.0,1206.9442421902713,1295.5636471990692,120.5147044806663,2020/04/11,24239.108572618978,23683.17792868214,22694.384440495953,988.7934881861868,,,,,
24946.0,25569.0,24480.0,25097.0,1017.4286255576844,1104.726831963424,126.37809956413821,2020/04/12,25256.537198176662,24787.904760645564,23672.733172895238,1115.171587750325,,,,,
25782.0,26415.0,25395.0,26025.0,841.0184143042061,922.2304911792598,131.19092370711496,2020/04/13,26097.555612480868,25710.135251824824,24463.772740367385,1246.36251145744,,,,,
26462.0,27103.0,26147.0,26787.0,684.0047725951117,756.2764343523086,135.02836468778264,2020/04/14,26781.56038507598,26466.411686177133,25085.02081003191,1381.3908761452226,,,,,
27007.0,27655.0,26756.0,27401.0,549.051976344912,611.1762417787068,137.9989246609391,2020/04/15,27330.612361420892,27077.58792795584,25558.198127149677,1519.3898008061617,,,,,
27441.0,28093.0,27241.0,27891.0,436.1730971870493,488.14895736817925,140.22509418935692,2020/04/16,27766.78545860794,27565.73688532402,25906.121990328502,1659.6148949955186,,,,,
27782.0,28440.0,27625.0,28281.0,343.72598521327745,386.3069384416849,141.82915343329273,2020/04/17,28110.51144382122,27952.043823765704,26150.599775336894,1801.4440484288114,,,,,
28049.0,28711.0,27926.0,28586.0,269.2285026504105,303.55251621560456,142.92424304291717,2020/04/18,28379.73994647163,28255.596339981308,26311.22804850958,1944.3682914717285,,,,,
28258.0,28921.0,28163.0,28824.0,209.93098887949236,237.25954285488842,143.60980233777786,2020/04/19,28589.67093535112,28492.855882836197,26404.87778902669,2087.9780938095064,,,,,
28421.0,29086.0,28346.0,29010.0,163.1679460477062,184.725040227102,143.9700981232263,2020/04/20,28752.838881398828,28677.5809230633,26445.632731130565,2231.9481919327327,,,,,
28547.0,29213.0,28488.0,29154.0,126.54279472733833,143.42994591885144,144.07467207228592,2020/04/21,28879.381676126166,28821.01086898215,26444.98800497713,2376.0228640050186,,,,,
28644.0,29312.0,28600.0,29266.0,98.00125773117543,111.16341295883831,143.97980808318061,2020/04/22,28977.38293385734,28932.17428194099,26412.17160985279,2520.0026720881992,,,,,
28719.0,29388.0,28685.0,29353.0,75.83832664765578,86.06028562281426,143.73041112186502,2020/04/23,29053.221260504997,29018.234567563803,26354.50148435374,2663.7330832100643,,,,,
28778.0,29446.0,28751.0,29420.0,58.67046476765245,66.58942440163082,143.36192876610448,2020/04/24,29111.89172527265,29084.823991965433,26277.728979989264,2807.0950119761687,,,,,
28823.0,29492.0,28803.0,29471.0,45.39279415661804,51.51782525328599,142.90212852813784,2020/04/25,29157.284519429268,29136.34181721872,26186.344676714412,2949.9971405043066,,,,,
28858.0,29528.0,28842.0,29510.0,35.13309848933932,39.86621377373376,142.3726388700925,2020/04/26,29192.417617918607,29176.208030992453,26083.838251618054,3092.369779374399,,,,,
28885.0,29554.025000000023,28873.0,29543.0,27.208489725671825,30.86451842981114,141.79023920087775,2020/04/27,29219.62610764428,29207.072549422264,25972.91253084699,3234.160018575277,,,,,
28906.0,29577.0,28896.0,29566.0,21.08748356487922,23.911511843332846,141.16790997902262,2020/04/28,29240.713591209158,29230.984061265597,25855.656132711298,3375.3279285542994,,,,,
28922.0,29593.0,28915.0,29586.0,16.358132187266165,18.54014993857345,140.51567427637792,2020/04/29,29257.071723396424,29249.52421120417,25733.680608373492,3515.8436028306774,,,,,
28935.0,29605.0,28929.0,29600.0,12.702057077261998,14.38891724576024,139.84126205283155,2020/04/30,29269.773780473686,29263.91312844993,25608.228263566423,3655.684864883509,,,,,
28945.0,29614.0,28941.0,29611.0,9.873657262498455,11.17865342294317,139.15063058961823,2020/05/01,29279.647437736185,29275.091781872874,25480.25628639975,3794.835495473127,,,,,
