Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
227.0,290.0,31.0,56.0,0.0,0.0,0.0,2020/03/15,258.0,43.0,42.0,1.0,2020-03-15,43.0,0.0,0.0,1.0
234.0,297.0,57.0,90.0,7.031312726391775,29.941953823755043,0.23875638074527816,2020/03/16,265.0313127263918,72.94195382375504,71.70319744300977,1.2387563807452782,2020-03-16,55.0,0.0,12.0,1.0
252.0,318.0,81.0,121.0,19.863248991359512,27.705493599098673,0.35716233462300595,2020/03/17,284.8945617177513,100.64744742285372,99.05152870748543,1.5959187153682841,2020-03-17,69.0,0.0,14.0,1.0
282.0,352.0,106.0,151.0,32.03267221070371,27.486974463727492,0.47009721343447874,2020/03/18,316.927233928455,128.1344218865812,126.06840595777845,2.066015928802763,2020-03-18,86.0,0.0,17.0,1.0
324.0,399.0,133.0,182.0,44.321095532327206,28.97422856754264,0.5852900864361987,2020/03/19,361.2483294607822,157.10865045412385,154.4573444388849,2.6513060152389616,2020-03-19,109.0,0.0,23.0,1.0
379.0,459.0,163.0,216.0,57.38444682320164,31.996227177770066,0.7094443788953706,2020/03/20,418.63277628398384,189.1048776318939,185.74412723775959,3.360750394134332,2020-03-20,137.0,0.0,28.0,1.0
447.0,534.0,197.0,255.0,71.79535123743227,36.48952021027705,0.8487567017786968,2020/03/21,490.4281275214161,225.59439784217096,221.38489074625792,4.209507095913029,2020-03-21,200.0,0.0,63.0,1.0
532.0,626.0,237.0,301.0,88.07070932951052,42.47406278923506,1.0093144132641392,2020/03/22,578.4988368509266,268.068460631406,262.84963912222884,5.218821509177168,2020-03-22,313.0,0.0,113.0,3.0
634.0,737.0,284.0,353.0,106.68567908840419,50.0351984896206,1.1974046103368474,2020/03/23,685.1845159393308,318.1036591210266,311.6874330015126,6.416226119514016,2020-03-23,345.0,0.0,32.0,6.0
758.0,870.0,340.0,416.0,128.07423143664778,59.30910657437187,1.4197547839954874,2020/03/24,813.2587473759786,377.4127656953985,369.576784791889,7.835980903509503,2020-03-24,345.0,1.0,0.0,7.0
905.0,1027.0,407.0,490.0,152.61555208969912,70.46934264155453,1.683714872159717,2020/03/25,965.8742994656777,447.882108336953,438.3624125612838,9.51969577566922,2020-03-25,443.0,1.0,98.0,9.0
1081.0,1213.0,487.0,577.0,180.60494000299877,83.71228386174175,1.9973808868650966,2020/03/26,1146.4792394686765,531.5943921986948,520.0773155361604,11.517076662534317,2020-03-26,558.0,2.0,115.0,10.0
1287.0,1431.0,582.0,681.0,212.20780570813827,99.23939332762143,2.3696514153705017,2020/03/27,1358.6870451768148,630.8337855263162,616.9470574484114,13.886728077904818,2020-03-27,674.0,2.0,116.0,11.0
1528.0,1685.0,695.0,802.0,247.39628721790882,117.23436149035524,2.8101998776014536,2020/03/28,1606.0833323947236,748.0681470166714,731.3712190611652,16.696927955506272,2020-03-28,786.0,2.0,112.0,16.0
1807.0,1978.0,828.0,945.0,285.87038342492497,137.83353387601005,3.329338024582917,2020/03/29,1891.9537158196486,885.9016808926815,865.8754149125923,20.02626598008919,2020-03-29,901.0,4.0,115.0,21.0
2127.0,2312.0,928.0,1051.0,326.9698405257209,103.0983191073185,7.973734019910811,2020/03/30,2218.9235563453694,989.0,961.0,28.0,2020-03-30,989.0,4.0,88.0,28.0
2636.0,2841.0,1127.0,1262.0,519.3880054597339,205.22335089168496,4.41879435718829,2020/03/31,2738.3115618051033,1194.223350891685,1161.8045565344967,32.41879435718829,,,,,
3207.0,3433.0,1373.0,1522.0,581.1974897900682,252.9143830865446,5.3547982465178094,2020/04/01,3319.5090515951715,1447.1377339782296,1409.3641413745236,37.7735926037061,,,,,
3829.0,4075.0,1668.0,1832.0,632.5167317104188,301.89357277519207,6.489038666895006,2020/04/02,3952.0257833055903,1749.0313067534216,1704.7686754828205,44.262631270601105,,,,,
4486.0,4751.0,2010.0,2189.0,666.1630626827364,350.0263038237017,7.821867922960365,2020/04/03,4618.188845988327,2099.0576105771233,2046.973111383562,52.08449919356147,,,,,
5153.0,5437.0,2396.0,2592.0,676.327307058913,394.5609238805514,9.34334655920479,2020/04/04,5294.51615304724,2493.6185344576747,2432.1906887049086,61.42784575276626,,,,,
5804.0,6106.0,2820.0,3033.0,660.1340185346253,432.51596506986016,11.031460991440397,2020/04/05,5954.650171581865,2926.134499527535,2853.6751927833284,72.45930674420666,,,,,
6415.0,6733.0,3274.0,3502.0,618.6021433551159,461.19387839759065,12.852264009791682,2020/04/06,6573.252314936981,3387.3283779251256,3302.0168071711273,85.31157075399834,,,,,
6965.0,7296.0,3745.0,3988.0,556.5244110418407,478.68319894470005,14.762187754958802,2020/04/07,7129.776725978822,3866.0115768698256,3765.9378183608683,100.07375850895714,,,,,
7440.0,7782.0,4221.0,4480.0,481.2578153116556,484.1950664986639,16.712143788483857,2020/04/08,7611.034541290477,4350.2066433684895,4233.420741071049,116.785902297441,,,,,
7837.0,8188.0,4693.0,4965.0,400.9230426964268,478.1374117853111,18.65247863897949,2020/04/09,8011.957583986904,4828.344055153801,4692.90567421738,135.4383809364205,,,,,
8156.0,8514.0,5148.0,5433.0,322.7139195900754,461.93112870485675,20.537660429692323,2020/04/10,8334.67150357698,5290.275183858657,5134.299142492545,155.9760413661128,,,,,
8406.0,8769.0,5580.0,5877.0,251.83387939993736,437.65918990438513,22.329789880139572,2020/04/11,8586.505382976917,5727.9343737630425,5549.62854251679,178.30583124625238,,,,,
8594.0,8962.0,5982.0,6290.0,191.19724350917022,407.67214791499373,24.00050094711139,2020/04/12,8777.702626486087,6135.606521678036,5933.300189484672,202.30633219336377,,,,,
8735.0,9105.0,6352.0,6669.0,141.71808409156256,374.2514766441018,25.531301707578535,2020/04/13,8919.42071057765,6509.857998322138,6282.020364421196,227.8376339009423,,,,,
8837.0,9209.0,6688.0,7012.0,102.8874896554662,339.3827866321808,26.912730523287564,2020/04/14,9022.308200233116,6849.240784954319,6594.490420530089,254.75036442422987,,,,,
8909.0,9283.0,6988.0,7320.0,73.38174936712858,304.6442912132843,28.14281497456136,2020/04/15,9095.689949600244,7153.885076167603,6870.991896768812,282.89317939879123,,,,,
8960.0,9335.0,7257.0,7595.0,51.553525802955846,271.18714881695723,29.22527470612937,2020/04/16,9147.2434754032,7425.07222498456,7112.95377087964,312.1184541049206,,,,,
8996.0,9372.0,7494.0,7837.0,35.759473326495936,239.77468337863502,30.16778413950425,2020/04/17,9183.002948729696,7664.846908363195,7322.560670118771,342.28623824442485,,,,,
9020.0,9396.0,7702.0,8049.0,24.539865020269644,210.8504855697256,30.980475311399744,2020/04/18,9207.542813749966,7875.697393932921,7502.430680377096,373.2667135558246,,,,,
9036.0,9413.0,7885.0,8237.0,16.690423426647612,184.61376344901691,31.67475194117651,2020/04/19,9224.233237176613,8060.311157381938,7655.369691884936,404.9414654970011,,,,,
9047.0,9424.0,8044.0,8399.0,11.267712110551656,161.08908942319522,32.262414038735926,2020/04/20,9235.500949287165,8221.400246805133,7784.196367269396,437.20387953573703,,,,,
9055.0,9432.0,8183.0,8541.0,7.560369624703526,140.18457283082353,32.75505396866987,2020/04/21,9243.061318911869,8361.584819635957,7891.62588613155,469.9589335044069,,,,,
9060.0,9437.0,8303.0,8664.0,5.04747361119189,121.73696945631673,33.16367031012686,2020/04/22,9248.10879252306,8483.321789092273,7980.199185277739,503.12260381453376,,,,,
9064.0,9440.0,8408.0,8771.0,3.3561711685179034,105.54469987026823,33.49844559259947,2020/04/23,9251.464963691578,8588.866488962542,8052.245439555409,536.6210494071332,,,,,
9065.0,9443.0,8498.0,8863.0,2.2243789811400347,91.39080639673557,33.76864085489535,2020/04/24,9253.689342672718,8680.257295359277,8109.867605097248,570.3896902620286,,,,,
9067.0,9444.0,8577.0,8943.0,1.470525953318429,79.0581031256952,33.98256930744799,2020/04/25,9255.159868626037,8759.315398484972,8154.943138915496,604.3722595694766,,,,,
9068.0,9445.0,8644.0,9012.0,0.9702792631433113,68.33857429847376,34.1476206233674,2020/04/26,9256.13014788918,8827.653972783446,8189.134092590602,638.519880192844,,,,,
