Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/03/05,55.0,330.0,0.0,0.0,0.0,0.0,55.0,41.0,70.0,295.0,366.0,2020-03-05,55.0,0.0,0.0,0.0
2020/03/06,70.91876975664151,349.4785583987369,15.91876975664151,19.47855839873688,4.075091153642006,4.075091153642006,66.8436786029995,55.0,88.0,313.0,387.0,2020-03-06,60.0,5.0,4.0,4.0
2020/03/07,87.04221209854597,369.15921382954133,16.123442341904465,19.68065543080445,8.922592891928046,4.84750173828604,78.11961920661793,69.0,106.0,332.0,407.0,2020-03-07,85.0,25.0,4.0,4.0
2020/03/08,103.37012805909066,389.03999376770275,16.327915960544686,19.880779938161425,14.505793707970176,5.58320081604213,88.86433435112049,84.0,124.0,351.0,428.0,2020-03-08,85.0,0.0,4.0,4.0
2020/03/09,119.90221568182068,409.11878868807497,16.532087622730018,20.078794920372218,20.790339394993637,6.284545687023462,99.11187628682704,99.0,142.0,370.0,449.0,2020-03-09,95.0,10.0,14.0,14.0
2020/03/10,136.6380681077557,429.39335166395983,16.735852425935036,20.274562975884862,27.744073927785113,6.953734532791476,108.8939941799706,114.0,160.0,389.0,470.0,2020-03-10,110.0,15.0,22.0,22.0
2020/03/11,153.57717175144018,449.8612981550407,16.93910364368446,20.467946491080852,35.336890396996466,7.592816469211353,118.24028135444371,130.0,178.0,409.0,492.0,2020-03-11,195.0,85.0,35.0,35.0
2020/03/12,170.71890457371265,470.52010599340565,17.141732822272473,20.658807838364964,43.54059164669109,8.203701249694625,127.17831292702155,146.0,197.0,429.0,514.0,2020-03-12,195.0,0.0,35.0,35.0
2020/03/13,188.06253445537035,491.3671155683496,17.343629881657705,20.847009574943968,52.32875972126212,8.788168074571026,135.73377473410824,162.0,215.0,448.0,535.0,2020-03-13,195.0,0.0,44.0,44.0
2020/03/14,205.6072176785583,512.3995302156302,17.544683223187945,21.032414647280575,61.6766335975085,9.347873876246382,143.9305840810498,178.0,234.0,469.0,557.0,2020-03-14,210.0,15.0,44.0,44.0
2020/03/15,223.351997516876,533.6144168116347,17.744779838317697,21.214886596004476,71.56099509301984,9.884361495511342,151.79100242385616,195.0,253.0,489.0,579.0,2020-03-15,214.0,4.0,60.0,60.0
2020/03/16,241.29580295034003,555.0087065824292,17.943805433464036,21.394289770794558,81.96006139365771,10.39906630063787,159.3357415566823,211.0,272.0,509.0,602.0,2020-03-16,214.0,0.0,77.0,78.0
2020/03/17,259.4374474978729,576.5791961223497,18.14164454753285,21.57048953992046,92.85338495385221,10.893323560194503,166.58406254402067,228.0,291.0,530.0,624.0,2020-03-17,228.0,14.0,81.0,82.0
2020/03/18,277.77562817972347,598.3225486275358,18.338180681850588,21.743352505186067,104.22175970240458,11.36837474855237,173.55386847731887,246.0,311.0,551.0,647.0,2020-03-18,256.0,28.0,88.0,89.0
2020/03/19,296.3089246127121,620.2352953462105,18.533296432988607,21.912746718674725,116.04713321057932,11.825373508174735,180.26179140213276,263.0,331.0,572.0,669.0,2020-03-19,278.0,22.0,100.0,101.0
2020/03/20,315.0357982429915,642.3138372455293,18.726873630279442,22.078541899318793,128.31252453797592,12.2653913273966,186.7232737050156,281.0,350.0,593.0,692.0,2020-03-20,285.0,7.0,100.0,101.0
2020/03/21,333.95459172158604,664.5544468951665,18.918793478594523,22.240609649637236,141.00194724825022,12.6894227102743,192.95264447333582,299.0,370.0,614.0,715.0,2020-03-21,305.0,20.0,125.0,126.0
