Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/03/14,151.0,604.0,0.0,0.0,0.0,0.0,151.0,127.0,176.0,556.0,653.0,2020-03-14,151.0,0.0,0.0,0.0
2020/03/15,299.54655342190887,631.446540784345,148.54655342190887,27.44654078434496,1.2745472406463942,1.2745472406463942,298.2720061812625,266.0,334.0,583.0,681.0,2020-03-15,162.0,11.0,0.0,0.0
2020/03/16,417.34258881719273,704.4976749567552,117.79603539528387,73.05113417241023,3.268828832523438,1.9942815918770436,414.0737599846693,378.0,458.0,653.0,757.0,2020-03-16,200.0,38.0,1.0,1.0
2020/03/17,527.4771047107924,816.237796567408,110.13451589359971,111.74012161065286,5.877446852472434,2.608618019948996,521.59965785832,483.0,573.0,761.0,873.0,2020-03-17,321.0,121.0,2.0,3.0
2020/03/18,644.5838002068201,966.1079794472256,117.10669549602767,149.87018287981755,9.097809016432391,3.2203621639599573,635.4859911903877,595.0,695.0,905.0,1028.0,2020-03-18,372.0,51.0,2.0,5.0
2020/03/19,779.1692876521303,1157.667199534199,134.58548744531015,191.55922008697337,12.995755087129096,3.8979460706967046,766.1735325650012,725.0,834.0,1092.0,1225.0,2020-03-19,621.0,249.0,2.0,8.0
2020/03/20,940.0427123425492,1397.4633687875873,160.87342469041891,239.79616925338837,17.689622331720443,4.693867244591347,922.3530900108287,880.0,1001.0,1325.0,1471.0,2020-03-20,905.0,284.0,2.0,13.0
2020/03/21,1135.7166642133977,1694.5029768015784,195.67395187084855,297.039608013991,23.344757060336306,5.655134728615863,1112.3719071530613,1070.0,1202.0,1614.0,1776.0,2020-03-21,1128.0,223.0,2.0,20.0
2020/03/22,1375.2460642769745,2060.020085761158,239.52940006357676,365.5171089595797,30.17412913118679,6.829372070850482,1345.0719351457876,1303.0,1448.0,1972.0,2149.0,2020-03-22,1593.0,465.0,2.0,27.0
2020/03/23,1668.7469501784997,2507.3553950169053,293.5008859015252,447.33530925574723,38.442640331029594,8.268511199842806,1630.30430984747,1589.0,1749.0,2410.0,2606.0,2020-03-23,1924.0,331.0,2.0,36.0
2020/03/24,2027.7085318977,3051.8059716653124,358.96158171920024,544.4505766484072,48.47368670139167,10.031046370362077,1979.2348451963082,1940.0,2116.0,2944.0,3161.0,2020-03-24,2247.0,323.0,2.0,48.0
2020/03/25,2465.134145403862,3710.3217386611477,437.4256135061621,658.5157669958353,60.6569404170102,12.183253715618527,2404.477204986852,2368.0,2563.0,3591.0,3830.0,2020-03-25,2554.0,307.0,2.0,61.0
2020/03/26,2995.495558015072,4500.923177955491,530.3614126112102,790.6014392943434,75.45636925849998,14.799428841489778,2920.0391887565725,2889.0,3103.0,4370.0,4633.0,2020-03-26,2985.0,431.0,6.0,83.0
2020/03/27,3417.0,5441.711057530896,421.5044419849278,940.787879575405,98.0,22.543630741500024,3319.0,3303.0,3532.0,5298.0,5587.0,2020-03-27,3417.0,432.0,6.0,98.0
2020/03/28,4247.719249217044,6536.242447969691,830.7192492170443,1094.531390438795,118.71974509022495,20.719745090224947,4128.999504126819,4121.0,4376.0,6378.0,6695.0,,,,,
2020/03/29,5196.44348925361,7826.9591732507615,948.7242400365658,1290.7167252810705,144.25791641330179,25.53817132307684,5052.185572840308,5056.0,5338.0,7654.0,8001.0,,,,,
