Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/03/08,73.66839324495211,292.0,0.0,0.0,0.0,0.0,73.66839324495211,57.0,91.0,259.0,326.0,2020-03-08,73.0,0.0,0.0,0.0
2020/03/09,105.84599287118607,296.25440352324534,32.177599626233956,4.254403523245344,0.7376124665266928,0.7376124665266928,105.10838040465937,86.0,126.0,263.0,330.0,2020-03-09,73.0,0.0,0.0,0.0
2020/03/10,136.6012050627476,308.2366418921495,30.755212191561526,11.982238368904177,1.7300149187882756,0.9924024522615829,134.87119014395932,114.0,160.0,274.0,343.0,2020-03-10,89.0,16.0,0.0,0.0
2020/03/11,164.9718333734532,327.1204152489995,28.370628310705598,18.883773356849986,2.9498836676894546,1.219868748901179,162.02194970576375,140.0,191.0,292.0,363.0,2020-03-11,99.0,10.0,0.0,1.0
2020/03/12,192.37481589239883,352.4578080504976,27.402982518945635,25.337392801498083,4.382776724753394,1.4328930570639393,187.99203916764543,166.0,220.0,316.0,390.0,2020-03-12,99.0,0.0,0.0,1.0
2020/03/13,219.95931788418096,384.1008592087976,27.584501991782133,31.64305115830001,6.024498642491272,1.6417219177378781,213.9348192416897,191.0,249.0,346.0,423.0,2020-03-13,190.0,91.0,0.0,1.0
2020/03/14,248.69105150619728,422.1456924397547,28.73173362201632,38.044833230957124,7.879259106685634,1.8547604641943618,240.81179239951166,218.0,280.0,382.0,463.0,2020-03-14,228.0,38.0,8.0,11.0
2020/03/15,279.41602542143374,466.89361323638525,30.72497391523646,44.747920796630524,9.958428191251972,2.079169084566338,269.45759723018176,247.0,313.0,425.0,510.0,2020-03-15,331.0,103.0,8.0,12.0
2020/03/16,312.90925306205,518.8249423581383,33.49322764061628,51.93132912175304,12.279744050292262,2.32131585904029,300.62950901175776,279.0,348.0,475.0,564.0,2020-03-16,352.0,21.0,8.0,12.0
2020/03/17,349.91250411335716,578.5823799685643,37.00325105130713,59.757437610425995,14.866867545805054,2.5871234955127917,335.0456365675521,314.0,387.0,532.0,626.0,2020-03-17,387.0,35.0,8.0,13.0
2020/03/18,391.164106668155,646.9614609194726,41.25160255479784,68.37908095090836,17.749207093274425,2.882339547469371,373.41489957488056,353.0,430.0,598.0,697.0,2020-03-18,418.0,31.0,8.0,13.0
2020/03/19,437.422999147327,724.9062136642181,46.258892479172005,77.94475274474541,20.961958078409573,3.2127509851351483,416.46104106891744,397.0,479.0,672.0,778.0,2020-03-19,464.0,46.0,14.0,19.0
2020/03/20,489.4886220734204,813.5085176125817,52.0656229260934,88.60230394836367,24.546316472344753,3.5843583939351795,464.94230560107565,447.0,533.0,758.0,870.0,2020-03-20,495.0,31.0,19.0,25.0
2020/03/21,548.2177756321225,914.0099042957984,58.72915355870214,100.50138668321665,28.549837302594554,4.003520830249801,519.6679383295279,503.0,595.0,855.0,974.0,2020-03-21,530.0,35.0,19.0,27.0
2020/03/22,614.5392069972828,1027.804687618226,66.32143136516027,113.79478332242752,33.026916254388624,4.47707895179407,581.5122907428942,567.0,664.0,966.0,1091.0,2020-03-22,624.0,94.0,19.0,34.0
2020/03/23,680.3070446334636,1156.4433607893347,65.76783763618084,128.63867317110885,38.0393777155527,5.012461461164079,642.2676669179109,630.0,732.0,1090.0,1224.0,2020-03-23,695.0,71.0,29.0,46.0
2020/03/24,753.1358367896905,1301.6351744558096,72.82879215622688,145.1918136664749,49.0,10.960622284447297,704.1358367896905,700.0,807.0,1231.0,1373.0,2020-03-24,743.0,48.0,29.0,49.0
2020/03/25,826.7079388395963,1311.9863015522833,73.57210204990577,10.351127096473647,55.01861128100226,6.018611281002258,771.6893275585941,771.0,884.0,1241.0,1384.0,,,,,
2020/03/26,904.942397592647,1341.1047666930021,78.23445875305072,29.118465140718854,61.65270480591488,6.634093524912622,843.2896927867321,847.0,964.0,1270.0,1413.0,,,,,
2020/03/27,978.7102290401255,1386.8883224965225,73.76783144747844,45.78355580352036,68.83113393364555,7.178429127730666,909.8790951064799,918.0,1041.0,1314.0,1460.0,,,,,
2020/03/28,1045.821906522666,1448.11073346905,67.11167748254059,61.22241097252754,76.51469414529656,7.683560211651013,969.3072123773695,983.0,1110.0,1374.0,1523.0,,,,,
2020/03/29,1114.0618511547866,1524.2334271185523,68.23994463212057,76.12269364950225,84.68944662665686,8.1747524813603,1029.3724045281297,1049.0,1180.0,1448.0,1601.0,,,,,
2020/03/30,1184.708708928748,1615.2653905108832,70.6468577739613,91.03196339233091,93.36196164417167,8.672515017514812,1091.3467472845762,1118.0,1252.0,1537.0,1695.0,,,,,
2020/03/31,1259.7315788918393,1721.659510183569,75.02286996309135,106.39411967268575,102.55599916712772,9.194037522956052,1157.1755797247115,1191.0,1330.0,1641.0,1803.0,,,,,
2020/04/01,1340.8946157669245,1844.2358349914446,81.16303687508525,122.57632480787561,112.31026718749723,9.754268020369508,1228.5843485794273,1269.0,1413.0,1760.0,1929.0,,,,,
2020/04/02,1429.8409365604568,1984.1241242496342,88.94632079353232,139.88828925818962,122.67698860687427,10.366721419377043,1307.1639479535825,1356.0,1504.0,1897.0,2072.0,,,,,
2020/04/03,1528.1557328361182,2142.7195386646777,98.31479627566137,158.59541441504348,133.72107467668204,11.044086069807761,1394.4346581594361,1452.0,1605.0,2052.0,2234.0,,,,,
2020/04/04,1637.4134346249737,2321.646453294641,109.25770178885546,178.92691462996345,145.51975160748103,11.79867693079899,1491.8936830174925,1558.0,1717.0,2228.0,2417.0,,,,,
2020/04/05,1759.2123155154934,2522.7261825206197,121.79888089051974,201.07972922597855,158.16252134611014,12.642769738629113,1601.0497941693832,1677.0,1842.0,2425.0,2622.0,,,,,
2020/04/06,1895.1987952367972,2747.944983372005,135.9864797213038,225.21880085138537,171.75136139626417,13.588840050154033,1723.447433840533,1810.0,1981.0,2646.0,2851.0,,,,,
2020/04/07,2047.0828186331078,2999.4191053718805,151.88402339631057,251.47412199987548,186.40108392349785,14.649722527233678,1860.6817347096098,1959.0,2136.0,2893.0,3107.0,,,,,
2020/04/08,2216.6450001992007,3279.353958058211,169.56218156609293,279.9348526863305,202.2397833681999,15.838699444702058,2014.4052168310009,2125.0,2309.0,3168.0,3392.0,,,,,
2020/04/09,2405.7356823211708,3589.9947393687626,189.09068212197008,310.6407813105516,219.40930570036122,17.169522332161307,2186.3263766208097,2310.0,2502.0,3473.0,3708.0,,,,,
2020/04/10,2616.2656466074222,3933.5661829663413,210.52996428625147,343.57144359757876,238.06567240963588,18.656366709274664,2378.1999741977866,2516.0,2717.0,3811.0,4057.0,,,,,
