Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
19663.0,20217.0,12244.0,12681.0,0.0,0.0,0.0,2020/03/11,19939.2,12462.0,10590.0,1872.0,2020-03-11,12462.0,1045.0,0.0,1872.0
20484.0,21049.0,15640.0,16134.0,826.3282625059255,3424.881736947047,437.6886831512402,2020/03/12,20765.528262505926,15886.881736947047,13577.193053795807,2309.68868315124,2020-03-12,15115.0,1258.0,2653.0,2274.0
22515.0,23108.0,18216.0,18749.0,2045.2107586192833,2595.546711700483,524.7180515810692,2020/03/13,22810.73902112521,18482.42844864753,15648.021713915221,2834.4067347323094,2020-03-13,17660.0,1439.0,2545.0,2705.0
25454.0,26084.0,20778.0,21346.0,2957.8414242120234,2579.202003313945,595.7579715052716,2020/03/14,25768.580445337233,21061.630451961475,17631.465745723894,3430.164706237581,2020-03-14,21157.0,1966.0,3497.0,3407.0
29209.0,29883.0,23702.0,24310.0,3777.201272642098,2943.965361375125,671.2617715985739,2020/03/15,29545.78171797933,24005.5958133366,19904.169335500446,4101.426477836155,2020-03-15,24938.0,2335.0,3781.0,4144.0
33738.0,34463.0,27179.0,27830.0,4554.3514237066665,3498.102767907916,760.6866630422683,2020/03/16,34100.133141686,27503.698581244516,22641.585440366092,4862.113140878423,2020-03-16,27980.0,2749.0,3042.0,4907.0
38965.0,39744.0,31290.0,31987.0,5254.0441303587795,4133.81931493364,868.1795738497503,2020/03/17,39354.17727204478,31637.517896178157,25907.225181449983,5730.292714728173,2020-03-17,31506.0,2941.0,3526.0,5444.0
44733.0,45566.0,36026.0,36775.0,5795.106900278493,4762.8837458662165,994.4034226670829,2020/03/18,45149.28417232327,36400.40164204437,29675.705504649115,6724.696137395256,2020-03-18,35713.0,2941.0,4207.0,5919.0
50790.0,51678.0,41296.0,42096.0,6084.431807793029,5296.00456932083,1136.8914513077689,2020/03/19,51233.7159801163,41696.4062113652,33834.81862266218,7861.587588703025,2020-03-19,41035.0,4440.0,5322.0,7845.0
56819.0,57757.0,46917.0,47770.0,6053.685372978587,5646.8306822423765,1290.1355339178026,2020/03/20,57287.40135309489,47343.23689360758,38191.513770986756,9151.723122620828,2020-03-20,47021.0,5129.0,5986.0,9161.0
62489.0,63470.0,52643.0,53545.0,5691.20072380302,5749.650728312568,1446.0858773262207,2020/03/21,62978.60207689791,53092.88762192015,42495.0786219731,10597.808999947049,2020-03-21,53578.0,6072.0,6557.0,10897.0
67987.0,69011.0,58663.0,59614.0,5519.759978958304,6045.112378079852,1902.1910000529515,2020/03/22,68498.36205585621,59138.0,46638.0,12500.0,2020-03-22,59138.0,7024.0,5560.0,12500.0
73118.0,74181.0,64041.0,65035.0,5149.733643103711,5399.334066664072,1737.5218455832983,2020/03/23,73648.09569895992,64537.33406666407,50299.81222108078,14237.521845583298,,,,,
76863.0,77953.0,68968.0,70000.0,3759.4761343953724,4946.6070103720995,1859.965554574328,2020/03/24,77407.5718333553,69483.94107703617,53386.45367687855,16097.487400157626,,,,,
79493.0,80602.0,73100.0,74162.0,2639.397048942599,4146.197686897329,1954.9676546564497,2020/03/25,80046.9688822979,73630.1387639335,55577.683709119425,18052.455054814076,,,,,
81284.0,82406.0,76359.0,77446.0,1798.1925256164686,3273.226506226929,2016.5772206059264,2020/03/26,81845.16140791436,76903.36527016043,56834.33299474043,20069.032275420002,,,,,
82481.0,83610.0,78826.0,79930.0,1200.4689936015056,2474.5185533772164,2046.3231097274438,2020/03/27,83045.63040151587,79377.88382353765,57262.5284383902,22115.355385147446,,,,,
83271.0,84407.0,80632.0,81748.0,792.1453133405594,1811.55238167895,2049.224242798755,2020/03/28,83837.77571485643,81189.4362052166,57024.856577270395,24164.5796279462,,,,,
83788.0,84927.0,81922.0,83048.0,520.258803551289,1294.8682454123336,2031.2967146651317,2020/03/29,84358.03451840772,82484.30445062893,56288.4281080176,26195.876342611333,,,,,
84129.0,85271.0,82828.0,83960.0,341.88148863616516,909.4019714129972,1998.2022631413165,2020/03/30,84699.91600704388,83393.70642204193,55199.62781628928,28194.07860575265,,,,,
84355.0,85496.0,83456.0,84592.0,225.63901480434288,630.6697524777119,1954.671001075225,2020/03/31,84925.55502184822,84024.37617451964,53875.62656769177,30148.749606827874,,,,,
84505.0,85648.0,83890.0,85028.0,149.95706872791925,433.6093062755099,1904.3771300314147,2020/04/01,85075.51209057614,84457.98548079515,52404.85874393586,32053.12673685929,,,,,
84605.0,85750.0,84184.0,85326.0,100.52656255192414,296.52554807209526,1850.0365319144912,2020/04/02,85176.03865312807,84754.51102886724,50851.347760093464,33903.16326877378,,,,,
84672.0,85817.0,84387.0,85527.0,68.0491111404117,202.24017886823276,1793.585094325048,2020/04/03,85244.08776426848,84956.75120773548,49260.00284463665,35696.74836309883,,,,,
84719.0,85863.0,84524.0,85667.0,46.54353485511092,137.8805474760302,1736.363884234961,2020/04/04,85290.63129912359,85094.6317552115,47661.51950787772,37433.11224733379,,,,,
84750.0,85895.0,84618.0,85762.0,32.175163564796094,94.14776994771091,1679.2793967569814,2020/04/05,85322.80646268839,85188.77952515922,46076.38788106845,39112.39164409077,,,,,
84773.0,85920.0,84683.0,85827.0,22.48233694632654,64.49260832795699,1622.929949740399,2020/04/06,85345.28879963471,85253.27213348717,44517.950539656005,40735.32159383117,,,,,
84789.0,85935.0,84726.0,85870.0,15.877895283891121,44.38361757401435,1567.6999522126134,2020/04/07,85361.1666949186,85297.65575106119,42994.634205017406,42303.02154604378,,,,,
