Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
30809.0,31501.0,12243.0,12682.0,0.0,0.0,0.0,2020/03/11,31155.0,12462.0,10590.0,1872.0,2020-03-11,12462.0,1045.0,0.0,1872.0
31514.0,32213.0,15846.0,16343.0,708.3515176137298,3631.864486762206,414.61485587342577,2020/03/12,31863.35151761373,16093.864486762206,13807.24963088878,2286.6148558734258,2020-03-12,15115.0,1258.0,2653.0,2274.0
33394.0,34112.0,19014.0,19559.0,1889.5672540754458,3192.6025792884357,513.3062887822362,2020/03/13,33752.918771689176,19286.46706605064,16486.54592139498,2799.921144655662,2020-03-13,17660.0,1439.0,2545.0,2705.0
36256.0,37005.0,22038.0,22623.0,2877.0127914033,3043.2800498926117,599.2406693182879,2020/03/14,36629.931563092476,22329.747115943253,18930.585301969302,3399.16181397395,2020-03-14,21157.0,1966.0,3497.0,3407.0
39979.0,40765.0,25116.0,25742.0,3742.016129721589,3098.7771460187214,680.968789182024,2020/03/15,40371.947692814065,25428.524261961975,21348.393658806002,4080.130603155974,2020-03-15,24938.0,2335.0,3781.0,4144.0
44483.0,45314.0,28398.0,29063.0,4526.72942782833,3300.9820920144157,764.4111268128395,2020/03/16,44898.677120642395,28729.50635397639,23884.964624007578,4844.541729968813,2020-03-16,27980.0,2749.0,3042.0,4907.0
49710.0,50587.0,31986.0,32690.0,5249.304940203016,3608.534580331532,853.6629021695117,2020/03/17,50147.98206084541,32338.040934307923,26639.8363021696,5698.204632138325,2020-03-17,31506.0,2941.0,3526.0,5444.0
55592.0,56522.0,35954.0,36701.0,5908.8211757291065,3989.512290001956,951.4822864159651,2020/03/18,56056.80323657452,36327.55322430988,29677.86630575559,6649.68691855429,2020-03-18,35713.0,2941.0,4207.0,5919.0
62058.0,63037.0,40349.0,41139.0,6489.901637720162,4416.426325508401,1059.5594089219421,2020/03/19,62546.70487429468,40743.97954981828,33034.733222342045,7709.246327476232,2020-03-19,41035.0,4440.0,5322.0,7845.0
68997.0,70032.0,45188.0,46027.0,6967.505838073339,4863.069809695422,1178.6419317250875,2020/03/20,69514.21071236802,45607.0493595137,36719.16110031238,8887.88825920132,2020-03-20,47021.0,5129.0,5986.0,9161.0
76284.0,77369.0,50468.0,51352.0,7312.317061007241,5302.943411660635,1308.5785953554678,2020/03/21,76826.52777337526,50909.99277117434,40713.52591661755,10196.466854556787,2020-03-21,53578.0,6072.0,6557.0,10897.0
83755.0,84892.0,56154.0,57087.0,7496.757691287217,5709.081215559643,1448.3328207375944,2020/03/22,84323.28546466248,56619.07398673398,44974.2743114396,11644.799675294382,2020-03-22,59138.0,7024.0,5560.0,12500.0
91230.0,92418.0,62183.0,63166.0,7501.10691853115,6055.085865133944,1596.0109423419017,2020/03/23,91824.39238319363,62674.159851867924,49433.34923423164,13240.810617636283,2020-03-23,63927.0,7432.0,4789.0,13509.0
98526.0,99762.0,68478.0,69506.0,7318.693588691327,6317.065156379904,1748.940072053143,2020/03/24,99143.08597188495,68991.22500824783,54001.4743185584,14989.750689689427,2020-03-24,69176.0,8326.0,5249.0,15146.0
105463.0,106740.0,74930.0,76006.0,6958.94258583452,6475.998656033931,1903.8164845757674,2020/03/25,106102.02855771947,75467.22366428176,58573.65649001657,16893.567174265194,2020-03-25,74386.0,9362.0,5210.0,16865.0
111892.0,113207.0,81427.0,82550.0,6447.348343288424,6519.939112427106,2056.926747695499,2020/03/26,112549.3769010079,81987.16277670886,63036.668854748175,18950.493921960693,2020-03-26,80589.0,10361.0,6203.0,18576.0
117697.0,119047.0,85921.0,87075.0,5822.217169889409,4510.837223291135,1133.5060780393069,2020/03/27,118371.5940708973,86498.0,66414.0,20084.0,2020-03-27,86498.0,10950.0,5909.0,20084.0
123203.0,124582.0,92569.0,93768.0,5521.541114443171,6670.223013772571,2320.8055982600854,2020/03/28,123893.13518534048,93168.22301377257,70763.4174155125,22404.805598260085,,,,,
127850.0,129258.0,98915.0,100152.0,4660.003714722014,6364.136955457274,2460.6545148504993,2020/03/29,128553.13890006249,99532.35996922984,74666.89985611926,24865.460113110585,,,,,
131688.0,133113.0,104852.0,106126.0,3846.6408538711985,5955.79412670272,2583.875284214504,2020/03/30,132399.7797539337,105488.15409593256,78038.81869860747,27449.33539732509,,,,,
