Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/03/13,996.0,3984.0,0.0,0.0,1.0,0.0,995.0,935.0,1058.0,3861.0,4108.0,2020-03-13,996.0,0.0,1.0,1.0
2020/03/14,1091.8950356124567,4431.007954724441,95.8950356124567,447.00795472444133,1.8280549522091185,0.8280549522091185,1090.0669806602475,1028.0,1157.0,4301.0,4562.0,2020-03-14,1090.0,94.0,1.0,4.0
2020/03/15,1199.0338837614245,4928.401303742838,107.13884814896778,497.3933490183963,2.7360420550482836,0.9079871028391651,1196.2978417063762,1132.0,1268.0,4791.0,5066.0,2020-03-15,1221.0,131.0,1.0,4.0
2020/03/16,1318.622410723904,5478.410494922091,119.58852696247959,550.0091911792533,3.7333095126560423,0.9972674576077587,1314.889101211248,1248.0,1390.0,5334.0,5624.0,2020-03-16,1333.0,112.0,1.0,4.0
2020/03/17,1451.88008103249,6082.07413702472,133.25767030858583,603.6636421026287,4.83016417964869,1.0968546669926473,1447.0499168528413,1378.0,1527.0,5930.0,6236.0,2020-03-17,1463.0,130.0,1.0,4.0
2020/03/18,1599.9986619680953,6738.890734438659,148.11858093560545,656.8165974139392,6.0378657289741025,1.2077015493254128,1593.9607962391212,1522.0,1679.0,6579.0,6900.0,2020-03-18,1550.0,87.0,1.0,7.0
2020/03/19,1764.0922221084693,7446.508241691643,164.09356014037394,707.6175072529841,7.368584662700445,1.3307189337263425,1756.7236374457689,1682.0,1847.0,7278.0,7616.0,2020-03-19,1746.0,196.0,1.0,8.0
2020/03/20,1945.1404979015415,8200.50166209362,181.0482757930722,753.9934204019773,8.835317605610475,1.4667329429100304,1936.305180295931,1859.0,2032.0,8024.0,8379.0,2020-03-20,1939.0,193.0,1.0,8.0
2020/03/21,2143.929296208012,8994.28915418854,198.78879830647065,793.7874920949198,10.451756201475307,1.6164385958648317,2133.477540006537,2054.0,2235.0,8809.0,9181.0,2020-03-21,2164.0,225.0,1.0,8.0
2020/03/22,2360.992763900224,9819.225775939534,217.06346769221182,824.9366217509942,12.232109313326546,1.7803531118512392,2348.7606545868975,2266.0,2457.0,9626.0,10014.0,2020-03-22,2383.0,219.0,1.0,8.0
2020/03/23,2596.5631175742365,10664.893759753415,235.5703536740125,845.6679838138807,14.190881965464932,1.9587726521383857,2582.3722356087715,2497.0,2697.0,10463.0,10868.0,2020-03-23,2621.0,238.0,6.0,16.0
2020/03/24,2850.533373900854,11519.5761302155,253.97025632661735,854.6823704620856,16.342619309698968,2.1517373442340357,2834.190754591155,2746.0,2955.0,11310.0,11730.0,2020-03-24,2863.0,242.0,6.0,18.0
2020/03/25,3122.4375952932264,12370.866974404253,271.9042213923726,851.2908441887521,18.70162792828699,2.359008618588021,3103.7359673649394,3013.0,3232.0,12153.0,12589.0,2020-03-25,3084.0,221.0,6.0,20.0
2020/03/26,3411.4510490118128,13206.344716915315,289.01345371858633,835.4777425110624,21.28168955083946,2.5800616225524706,3390.1693594609733,3298.0,3526.0,12982.0,13433.0,2020-03-26,3369.0,285.0,6.0,20.0
2020/03/27,3755.0,14052.81298949416,343.54895098818724,846.4682725788443,25.0,3.7183104491605405,3730.0,3635.0,3876.0,13821.0,14286.0,2020-03-27,3755.0,386.0,6.0,25.0
2020/03/28,4074.3155232066288,14814.08321224346,319.31552320662877,761.270222749301,28.089959657074967,3.0899596570749672,4046.225563549554,3950.0,4200.0,14576.0,15053.0,,,,,
2020/03/29,4406.147744684724,15527.942900330007,331.8322214780951,713.8596880865462,31.436295284427626,3.3463356273526585,4374.711449400296,4276.0,4537.0,15285.0,15773.0,,,,,
2020/03/30,4748.59412859673,16187.261342568614,342.44638391200624,659.3184422386075,35.04800370445972,3.611708420032091,4713.54612489227,4614.0,4884.0,15938.0,16437.0,,,,,
2020/03/31,5099.622048955378,16786.635793146277,351.02792035864786,599.3744505776631,38.93250741471426,3.884503710254542,5060.689541540663,4960.0,5240.0,16533.0,17042.0,,,,,
2020/04/01,5457.122308264758,17322.235690918074,357.50025930938045,535.5998977717973,43.09557410398744,4.16306668927318,5414.026734160771,5313.0,5602.0,17064.0,17581.0,,,,,
2020/04/02,5818.954596299675,17791.53133503368,361.8322880349169,469.2956441156057,47.54127576787438,4.445701663886943,5771.413320531801,5670.0,5969.0,17530.0,18053.0,,,,,
2020/04/03,6182.98221829305,18192.94844267731,364.02762199337485,401.4171076436287,52.2719800098601,4.73070424198572,6130.71023828319,6030.0,6337.0,17930.0,18458.0,,,,,
2020/04/04,6547.094871755495,18525.484832040638,364.11265346244454,332.53638936332936,57.288364031940645,5.016384022080544,6489.806507723554,6389.0,6706.0,18259.0,18793.0,,,,,
