Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
1022.0,1151.0,155.0,208.0,0.0,0.0,0.0,2020/03/14,1086.0,181.0,180.0,1.0,2020-03-14,181.0,0.0,0.0,1.0
1084.0,1217.0,178.0,235.0,63.73244408071173,24.84878844787457,0.3321524335710291,2020/03/15,1149.7324440807117,205.84878844787457,204.51663601430354,1.332152433571029,2020-03-15,219.0,0.0,38.0,1.0
1148.0,1285.0,202.0,262.0,66.07118094121665,25.91122863559633,0.37540273672290514,2020/03/16,1215.8036250219284,231.7600170834709,230.05246191317696,1.7075551702939342,2020-03-16,253.0,0.0,34.0,1.0
1215.0,1355.0,228.0,291.0,68.45082939532449,27.00807473270882,0.42044279539708285,2020/03/17,1284.2544544172529,258.7680918161797,256.6400938504887,2.127997965691017,2020-03-17,275.0,0.0,22.0,1.0
1284.0,1428.0,254.0,321.0,70.86808344544465,28.139455521405466,0.4673290279543947,2020/03/18,1355.1225378626975,286.9075473375852,284.31222034393977,2.5953269936454118,2020-03-18,275.0,0.0,0.0,1.0
1355.0,1503.0,282.0,351.0,73.31925809492691,29.305403915428087,0.5161179197771895,2020/03/19,1428.4417959576244,316.2129512530133,313.1015063395907,3.111444913422601,2020-03-19,286.0,0.0,11.0,1.0
1429.0,1581.0,311.0,384.0,75.80028228955848,30.505849654445342,0.5668658406546454,2020/03/20,1504.242078247183,346.7188009074586,343.04049015338137,3.6783107540772466,2020-03-20,341.0,0.0,55.0,1.0
1505.0,1661.0,341.0,417.0,78.30669555176746,31.7406120846602,0.6196288662610634,2020/03/21,1582.5487737989504,378.4594129921188,374.1614733717805,4.29793962033831,2020-03-21,383.0,0.0,42.0,1.0
1584.0,1744.0,372.0,452.0,80.83364115692689,33.009388488899674,0.6744624943366766,2020/03/22,1663.3824149558773,411.4688014810185,406.4963993663435,4.972402114674987,2020-03-22,414.0,0.0,31.0,2.0
1665.0,1829.0,405.0,488.0,83.3758792348217,34.31175353443132,0.7314215575435643,2020/03/23,1746.758294190699,445.7805550154498,440.07673134323124,5.703823672218551,2020-03-23,442.0,0.0,28.0,3.0
