Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/02/26,189.0,567.0,0.0,0.0,24.0,0.0,165.0,162.0,216.0,521.0,614.0,2020-02-26,189.0,0.0,22.0,24.0
2020/02/27,224.35712098542564,598.9588015971962,35.35712098542564,31.958801597196157,27.7386935850612,3.738693585061199,196.61842740036445,196.0,254.0,551.0,647.0,2020-02-27,214.0,25.0,22.0,26.0
2020/02/28,258.2868880760287,609.1381657874188,33.929767090603036,10.1793641902226,32.11297621829409,4.3742826332328875,226.1739118577346,227.0,290.0,561.0,658.0,2020-02-28,228.0,14.0,22.0,26.0
2020/02/29,290.13395753734875,621.4761274812907,31.847069461320075,12.33796169387199,37.069661817467775,4.956685599173689,253.064295719881,257.0,324.0,573.0,671.0,2020-02-29,241.0,13.0,32.0,37.0
2020/03/01,320.40587804875236,637.4380117646965,30.271920511403607,15.961884283405766,42.55943474599396,5.489772928526186,277.8464433027584,286.0,356.0,589.0,687.0,2020-03-01,256.0,15.0,32.0,38.0
2020/03/02,349.5559250629228,656.7957021557323,29.150047014170468,19.357690391035817,48.54392853343233,5.9844937874383675,301.0119965294905,313.0,387.0,607.0,707.0,2020-03-02,274.0,18.0,32.0,38.0
2020/03/03,377.9790974045103,679.3758897991938,28.423172341587474,22.5801876434615,54.99421808742919,6.4502895539968605,322.9848793170811,340.0,417.0,629.0,731.0,2020-03-03,293.0,19.0,43.0,49.0
2020/03/04,406.0218679740595,705.0526687277998,28.04277056954919,25.676778928605927,61.88953692014335,6.89531883271416,344.1323310539161,367.0,446.0,653.0,758.0,2020-03-04,331.0,38.0,43.0,49.0
2020/03/05,433.99045561204315,733.7412935848862,27.96858763798366,28.688624857086438,69.21620472262623,7.326667802482881,364.7742508894169,394.0,475.0,681.0,787.0,2020-03-05,360.0,29.0,43.0,49.0
2020/03/06,462.15784651849935,765.3929280326304,28.167390906456205,31.651634447744186,76.96673305760213,7.750528334975897,385.1911134608972,420.0,505.0,712.0,820.0,2020-03-06,420.0,60.0,46.0,52.0
2020/03/07,490.7697583527733,799.9902363480204,28.61191183427394,34.59730831539002,85.13908198280392,8.172348925201788,405.63067636996936,448.0,535.0,745.0,856.0,2020-03-07,461.0,41.0,76.0,82.0
2020/03/08,520.0497158186321,837.5436870042047,29.279957465858786,37.55345065618428,93.73604390622008,8.59696192341616,426.313671912412,476.0,565.0,781.0,895.0,2020-03-08,502.0,41.0,76.0,82.0
2020/03/09,550.2033678712247,878.088465487883,30.153652052592633,40.54477848367833,102.76473642414034,9.028692517920263,447.4386314470844,505.0,597.0,820.0,937.0,2020-03-09,511.0,9.0,76.0,86.0
2020/03/10,581.4221694325093,921.6818980289304,31.218801561284636,43.59343254104738,112.23618691040735,9.471450486267017,469.185982522102,535.0,629.0,863.0,982.0,2020-03-10,581.0,70.0,101.0,113.0
