Dailynew_actual,Dailynew_confirm,Dailynew_cure,Dailynew_remove,Date,Predict_actual,Predict_confirm,Predict_cure,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up
0.0,0.0,0.0,0.0,2020/02/10,39102.0,22934.0,1812.8031420395505,20980.0,1954.0,2020-02-10,22934.0,1206.0,0.0,1954.0,22638.0,23232.0,38716.0,39490.0
193.38111956359353,7963.616549843187,455.0092099812405,489.3736455187941,2020/02/11,39295.38111956359,30897.616549843187,2267.812352020791,28454.242904324394,2443.373645518794,2020-02-11,28742.0,1377.0,5808.0,2197.0,30553.0,31244.0,38908.0,39684.0
446.0141799378398,4230.581571494207,551.6289911525982,592.9969102403034,2020/02/12,39741.39529950143,35128.198121337395,2819.441343173389,32091.827565578296,3036.3705557590974,2020-02-12,32981.0,1646.0,4239.0,2574.0,34761.0,35496.0,39351.0,40133.0
577.6566895536962,2414.7151279600366,598.9632843355007,643.4293001530887,2020/02/13,40319.05198905513,37542.91324929743,3418.40462750889,33863.11339338525,3679.799855912186,2020-02-13,35991.0,2016.0,3010.0,3032.0,37164.0,37922.0,39926.0,40713.0
650.3770430337536,1535.6844941661839,622.3551490745207,668.0332937027779,2020/02/14,40969.42903208888,39078.597743463615,4040.7597765834107,34730.76459384865,4347.833149614964,2020-02-14,37914.0,2502.0,1923.0,3625.0,38691.0,39467.0,40573.0,41367.0
694.5056410636826,1114.5426311667106,634.1924022326592,680.1776335109316,2020/02/15,41663.934673152566,40193.140374630326,4674.952178816071,35165.12959150443,5028.010783125896,2020-02-15,39462.0,2915.0,1548.0,4148.0,39801.0,40587.0,41265.0,42065.0
724.8650159559693,917.2998062846746,640.5307276585045,686.3943594980328,2020/02/16,42388.799689108535,41110.440180915,5315.482906474575,35396.03503829107,5714.405142623928,2020-02-16,41152.0,3458.0,1690.0,4767.0,40714.0,41509.0,41986.0,42793.0
748.7010732818308,829.6424138754519,644.3308895789169,689.8754475538472,2020/02/17,43137.500762390366,41940.08259479045,5959.813796053491,35535.80200461268,6404.280590177776,2020-02-17,42752.0,4219.0,1600.0,5600.0,41539.0,42341.0,42731.0,43545.0
769.5582719605954,795.7257389266597,647.0410001317641,692.1811237507109,2020/02/18,43907.05903435096,42735.80833371711,6606.854796185256,35639.34661978862,7096.4617139284865,2020-02-18,44412.0,4895.0,1660.0,6392.0,42331.0,43141.0,43497.0,44319.0
789.1728768996327,788.2707347976757,649.3698903777067,694.0744754813513,2020/02/19,44696.231911250594,43524.07906851479,7256.224686562961,35733.54287910495,7790.536189409838,2020-02-19,45027.0,5448.0,615.0,7033.0,43114.0,43934.0,44282.0,45111.0
