Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
2020/03/10,267.0,934.5,0.0,0.0,1.0,0.0,266.0,235.0,299.0,875.0,995.0,2020-03-10,267.0,1.0,0.0,1.0
2020/03/11,439.8420800592759,966.4501373297752,172.84208005927587,31.950137329775202,10.39760531357707,9.39760531357707,429.4444747456988,399.0,481.0,906.0,1028.0,2020-03-11,314.0,1.0,47.0,4.0
2020/03/12,584.3447942799846,1052.8327412004505,144.50271422070875,86.38260387067533,23.678258283836378,13.280652970259307,560.6665359961482,538.0,632.0,990.0,1117.0,2020-03-12,399.0,1.0,85.0,4.0
2020/03/13,720.3386120944886,1185.5310102157061,135.99381781450393,132.69826901525562,40.27260858141079,16.594350297574415,680.0660035130777,668.0,773.0,1119.0,1253.0,2020-03-13,556.0,1.0,157.0,4.0
2020/03/14,861.3693555749581,1362.2443693384428,141.0307434804696,176.71335912273662,60.05841808064287,19.78580949923208,801.3109374943152,804.0,919.0,1290.0,1435.0,2020-03-14,689.0,1.0,133.0,5.0
2020/03/15,1017.5027710314445,1584.583004318512,156.13341545648632,222.33863498006917,83.22315918005789,23.164741099415018,934.2796118513866,955.0,1081.0,1507.0,1663.0,2020-03-15,886.0,1.0,197.0,5.0
2020/03/16,1197.0414301824494,1856.9324610413173,179.53865915100494,272.34945672280537,110.18861942400235,26.965460243944463,1086.852810758447,1130.0,1265.0,1773.0,1942.0,2020-03-16,1085.0,1.0,199.0,5.0
2020/03/17,1407.5816063226487,2185.7712587130595,210.54017614019926,328.8387976717422,141.57332701146433,31.384707587461975,1266.0082793111844,1335.0,1482.0,2094.0,2278.0,2020-03-17,1243.0,1.0,158.0,11.0
2020/03/18,1656.6636849376168,2579.2324986419917,249.08207861496817,393.4612399289322,178.17804526996616,36.60471825850183,1478.4856396676507,1577.0,1737.0,2480.0,2679.0,2020-03-18,1486.0,1.0,243.0,15.0
2020/03/19,1952.1615265506377,3046.7666563565726,295.4978416130209,467.53415771458094,220.98511669048187,42.80707142051571,1731.176409860156,1866.0,2039.0,2939.0,3156.0,2020-03-19,1795.0,31.0,309.0,45.0
2020/03/20,2302.4884186220293,3598.8009948260487,350.3268920713915,552.0343384694761,271.16555019042823,50.18043349994636,2031.322868431601,2209.0,2397.0,3482.0,3717.0,2020-03-20,2257.0,31.0,462.0,68.0
2020/03/21,2716.6540175227688,4246.312705261378,414.1655989007395,647.5117104353294,330.0893402035772,58.92379001314896,2386.5646773191916,2615.0,2819.0,4119.0,4375.0,2020-03-21,2815.0,31.0,558.0,98.0
2020/03/22,3204.178816482587,5000.247202782743,487.5247989598183,753.9344975213653,399.3351364529408,69.2457962493636,2804.8436800296463,3093.0,3315.0,4862.0,5139.0,2020-03-22,3401.0,263.0,586.0,338.0
2020/03/23,3774.85547900027,5870.728170976534,570.6766625176829,870.4809681937904,480.6954099205598,81.36027346761904,3294.16006907971,3655.0,3896.0,5721.0,6022.0,2020-03-23,3743.0,401.0,342.0,489.0
2020/03/24,4438.338398761776,6866.029656341239,663.4829197615063,995.3014853647055,576.1729523367147,95.4775424161549,3862.1654464250614,4308.0,4570.0,6704.0,7029.0,2020-03-24,4269.0,461.0,526.0,583.0
2020/03/25,5203.544910436968,7991.319954215455,765.2065116751919,1125.2902978742159,687.964172753961,111.79122041724622,4515.580737683007,5063.0,5345.0,7817.0,8167.0,2020-03-25,4937.0,547.0,668.0,725.0
2020/03/26,6077.865758806785,9247.246496520722,874.3208483698172,1255.9265423052666,818.4244900893854,130.4603173354244,5259.4412687174,5926.0,6231.0,9059.0,9436.0,2020-03-26,6235.0,675.0,1298.0,895.0
2020/03/27,7284.0,10846.298285537987,1206.1342411932146,1599.051789017265,1147.0,328.57550991061464,6137.0,7117.0,7452.0,10643.0,11051.0,2020-03-27,7284.0,858.0,1049.0,1147.0
