Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
5320.0,5610.0,2771.0,2982.0,0.0,0.0,0.0,2020/03/12,5464.4,2876.0,2803.0,73.0,2020-03-12,2876.0,12.0,0.0,73.0
5570.0,5867.0,4058.0,4312.0,253.61492407466085,1308.7567202315486,129.82690774372574,2020/03/13,5718.0149240746605,4184.756720231549,3981.929812487823,202.82690774372574,2020-03-13,3661.0,12.0,785.0,91.0
6176.0,6488.0,4945.0,5225.0,613.8589306457043,899.6586163967795,164.17434648842303,2020/03/14,6331.873854720365,5084.415336628328,4717.414082396179,367.00125423214877,2020-03-14,4500.0,12.0,839.0,103.0
7039.0,7372.0,5767.0,6068.0,873.3755380219645,832.5939973089144,189.40363266884583,2020/03/15,7205.249392742329,5917.009333937242,5360.604447036248,556.4048869009946,2020-03-15,5423.0,31.0,923.0,158.0
8140.0,8498.0,6672.0,6997.0,1113.2954439276418,917.0965924217908,214.38637039832702,2020/03/16,8318.544836669971,6834.105926359033,6063.314669059711,770.7912572993216,2020-03-16,6633.0,31.0,1210.0,179.0
9491.0,9877.0,7740.0,8088.0,1364.9900818118422,1079.6543522103357,243.14736630746268,2020/03/17,9683.534918481813,7913.760278569369,6899.821654962585,1013.9386236067843,2020-03-17,7730.0,602.0,1097.0,777.0
11113.0,11531.0,9017.0,9393.0,1637.7342735160455,1291.1453375332203,277.80899654843176,2020/03/18,11321.269191997859,9204.90561610259,7913.157995947373,1291.747620155216,2020-03-18,9134.0,602.0,1404.0,866.0
13025.0,13476.0,10540.0,10946.0,1928.9278675001988,1537.690737082903,319.6786421348529,2020/03/19,13250.197059498058,10742.596353185492,9131.170090895423,1611.426262290069,2020-03-19,10995.0,1300.0,1861.0,1672.0
15234.0,15722.0,12332.0,12771.0,2227.476623689712,1808.5327433417042,369.5848496274177,2020/03/20,15477.67368318777,12551.129096527196,10570.11798460971,1981.0111119174867,2020-03-20,12612.0,1587.0,1617.0,2037.0
17731.0,18256.0,14406.0,14880.0,2515.1011478849778,2090.7646300638917,427.89904397112787,2020/03/21,17992.774831072747,14641.893726591088,12232.983570702474,2408.9101558886146,2020-03-21,14459.0,1587.0,1847.0,2149.0
20478.0,21044.0,16754.0,17266.0,2767.9116317891894,2367.265316170704,494.4273958431327,2020/03/22,20760.686462861937,17009.159042761792,14105.821491030045,2903.337551731747,2020-03-22,16044.0,2200.0,1585.0,2874.0
