Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
7024.0,7357.0,2771.0,2981.0,0.0,0.0,0.0,2020/03/12,7190.0,2876.0,2803.0,73.0,2020-03-12,2876.0,12.0,0.0,73.0
7256.0,7593.0,4057.0,4310.0,233.86048132977703,1307.3146317214932,139.69078064346186,2020/03/13,7423.860481329777,4183.314631721493,3970.6238510780313,212.69078064346186,2020-03-13,3661.0,12.0,785.0,91.0
7864.0,8215.0,5093.0,5377.0,614.9159995280261,1051.0536490267878,180.48948162058238,2020/03/14,8038.776480857803,5234.368280748281,4841.188018484237,393.18026226404425,2020-03-14,4500.0,12.0,839.0,103.0
8773.0,9145.0,6051.0,6360.0,919.5216791318544,970.5788947712235,213.24029030378495,2020/03/15,8958.298159989658,6204.9471755195045,5598.526622951676,606.4205525678292,2020-03-15,5423.0,31.0,923.0,158.0
9957.0,10351.0,7038.0,7371.0,1195.1306064513028,999.0478671917508,243.81688990417,2020/03/16,10153.42876644096,7203.995042711255,6353.757600239256,850.2374424719992,2020-03-16,6633.0,31.0,1210.0,179.0
11412.0,11835.0,8126.0,8483.0,1469.4708067562096,1100.2161597959666,275.85931890844427,2020/03/17,11622.89957319717,8304.211202507222,7178.114441126779,1126.0967613804435,2020-03-17,7730.0,602.0,1097.0,777.0
13155.0,13608.0,9368.0,9751.0,1758.397884528893,1254.8324976460935,311.78818775210857,2020/03/18,13381.297457726063,9559.043700153316,8121.158751020764,1437.884949132552,2020-03-18,9134.0,602.0,1404.0,866.0
15208.0,15696.0,10807.0,11218.0,2070.1978794038823,1452.8095430805643,353.3613260332377,2020/03/19,15451.495337129945,11011.85324323388,9220.60696806809,1791.2462751657897,2020-03-19,10995.0,1300.0,1861.0,1672.0
17598.0,18121.0,12480.0,12922.0,2407.7057696247102,1688.6273689080663,401.96644965256996,2020/03/20,17859.201106754655,12700.480612141946,10507.267887323585,2193.2127248183597,2020-03-20,12612.0,1587.0,1617.0,2037.0
20347.0,20910.0,14423.0,14897.0,2769.143658255998,1958.5125323268912,458.7575821457026,2020/03/21,20628.344765010654,14658.993144468837,12007.022837504775,2651.9703069640623,2020-03-21,14459.0,1587.0,1847.0,2149.0
23475.0,24079.0,16663.0,17173.0,3148.2798670067714,2258.584921988062,524.6945986360811,2020/03/22,23776.624632017425,16917.5780664569,13740.913160856755,3176.6649056001434,2020-03-22,16044.0,2200.0,1585.0,2874.0
26988.0,27636.0,19228.0,19776.0,3534.350681400152,2583.555236077136,600.5190695977954,2020/03/23,27310.975313417577,19501.133302534035,15723.949327336097,3777.1839751979387,2020-03-23,20123.0,2207.0,4079.0,3169.0
30878.0,31570.0,22133.0,22721.0,3912.1171525664104,2925.7985759365547,686.686833130163,2020/03/24,31223.092465983987,22426.93187847059,17963.06107014249,4463.870808328102,2020-03-24,22622.0,3288.0,2499.0,4390.0
35117.0,35855.0,25388.0,26016.0,4262.389926427939,3274.7862192023895,783.2732693548878,2020/03/25,35485.48239241193,25701.71809767298,20454.57401998999,5247.1440776829895,2020-03-25,25600.0,3907.0,2978.0,5240.0
39656.0,40441.0,28983.0,29654.0,4563.2868850033265,3616.9517447270737,889.8680474702505,2020/03/26,40048.76927741525,29318.669842400053,23181.657717246813,6137.01212515324,2020-03-26,29551.0,4955.0,3951.0,6653.0
44572.0,45405.0,33045.0,33761.0,4939.570642020582,4083.3301575999467,1566.98787484676,2020/03/27,44988.339919435835,33402.0,25698.0,7704.0,2020-03-27,33402.0,5707.0,3851.0,7704.0
49675.0,50552.0,37268.0,38029.0,5124.683068605889,4246.309410417511,1112.3505029309072,2020/03/28,50113.022988041725,37648.30941041751,28831.9589074866,8816.350502930907,,,,,
54766.0,55688.0,41754.0,42559.0,5113.146621252679,4507.991469616754,1243.2939027085176,2020/03/29,55226.169609294404,42156.300880034265,32096.65647439484,10059.644405639425,,,,,
59738.0,60702.0,46404.0,47253.0,4992.837156128757,4671.568455558438,1377.5041758467578,2020/03/30,60219.00676542316,46827.8693355927,35390.72075410652,11437.148581486183,,,,,
64485.0,65485.0,51115.0,52008.0,4764.481910479495,4733.648065253394,1510.8532521064462,2020/03/31,64983.488675902656,51561.517400846096,38613.51556725347,12948.001833592629,,,,,
68908.0,69942.0,55790.0,56721.0,4441.271950744325,4694.086274391433,1639.2971615381248,2020/04/01,69424.76062664698,56255.60367523753,41668.304680106776,14587.298995130754,,,,,
72940.0,74002.0,60332.0,61298.0,4045.6148750557913,4558.243861748757,1759.0544127436515,2020/04/02,73470.37550170277,60813.847536986286,44467.49412911188,16346.353407874405,,,,,
76531.0,77619.0,64652.0,65652.0,3604.9147628047504,4337.442263757432,1866.8303836362247,2020/04/03,77075.29026450752,65151.28980074372,46938.10600923309,18213.18379151063,,,,,
79667.0,80778.0,68684.0,69716.0,3147.158162769032,4047.9748924524756,1960.0203892488498,2020/04/04,80222.44842727655,69199.2646931962,49026.060512436714,20173.20418075948,,,,,
82355.0,83485.0,72379.0,73438.0,2697.1969515967794,3709.1930603212677,2036.8445017659942,2020/04/05,82919.64537887333,72908.45775351746,50698.409070991984,22210.048682525474,,,,,
84622.0,85767.0,75709.0,76792.0,2274.343479732852,3341.2516481844214,2096.3916695531952,2020/04/06,85193.98885860619,76249.70940170188,51943.26904962321,24306.44035207867,,,,,
86507.0,87664.0,78661.0,79766.0,1891.4446958050685,2963.044297282351,2138.5741768589687,2020/04/07,87085.43355441125,79212.75369898423,52767.739170046596,26445.014528937638,,,,,
88057.0,89224.0,81244.0,82365.0,1555.1990205221082,2590.6821908970305,2164.0114484045152,2020/04/08,88640.63257493336,81803.43588988126,53194.40991253911,28609.025977342153,,,,,
89320.0,90498.0,83472.0,84610.0,1267.2621303016786,2236.654192834176,2173.871305491022,2020/04/09,89907.89470523504,84040.09008271544,53257.192799882265,30782.897282833175,,,,,
90343.0,91526.0,85374.0,86524.0,1025.672135469853,1909.6266625156568,2169.6971646165694,2020/04/10,90933.5668407049,85949.7167452311,52997.12229778135,32952.594447449745,,,,,
91167.0,92355.0,86984.0,88145.0,826.2337217012682,1614.7261386651953,2153.244526822178,2020/04/11,91759.80056240616,87564.44288389629,52458.60390962437,35105.83897427192,,,,,
91829.0,93019.0,88334.0,89503.0,663.6573045074038,1354.113922616627,2126.3418193263715,2020/04/12,92423.45786691357,88918.55680651292,51686.376012914625,37232.180793598294,,,,,
92361.0,93554.0,89459.0,90634.0,532.3827330631175,1127.6791813435266,2090.782674109316,2020/04/13,92955.84059997668,90046.23598785645,50723.272520148836,39322.96346770761,,,,,
92783.0,93982.0,90390.0,91573.02500000002,427.10476293477404,933.7228347994824,2048.2504008857577,2020/04/14,93382.94536291146,90979.95882265593,49608.74495406256,41371.21386859337,,,,,
93126.0,94326.0,91156.0,92344.0,343.06008207004925,769.5551843800349,2000.2712698211544,2020/04/15,93726.0054449815,91749.51400703596,48378.02886862144,43371.48513841452,,,,,
93402.0,94605.0,91787.0,92977.0,276.14526989687874,631.9729979000113,1948.1912058791495,2020/04/16,94002.15071487839,92381.48700493597,47061.8106606423,45319.67634429367,,,,,
93624.0,94828.0,92301.0,93497.0,222.92754003954178,517.6117727848177,1893.169946084221,2020/04/17,94225.07825491793,92899.09877772079,45686.2524873429,47212.84629037789,,,,,
93803.0,95007.0,92723.0,93921.0,180.595136138596,423.1860727475432,1836.1872212135931,2020/04/18,94405.67339105652,93322.28485046834,44273.25133887685,49049.033511591486,,,,,
93951.0,95157.0,93069.0,94269.0,146.87984764462453,345.63867972303706,1778.0563904844967,2020/04/19,94552.55323870115,93667.92353019137,42840.83362811539,50827.08990207598,,,,,
94070.0,95275.0,93349.0,94551.0,119.97177394361643,282.2208932972426,1719.4420325809624,2020/04/20,94672.52501264476,93950.14442348861,41403.61248883167,52546.531934656945,,,,,
94168.0,95374.0,93580.0,94782.0,98.4376073020394,230.5240058930649,1660.8790034103076,2020/04/21,94770.9626199468,94180.66842938168,39973.25749131443,54207.41093806725,,,,,
94248.0,95455.0,93769.0,94971.0,81.1479193388077,188.47847997590725,1602.791291988564,2020/04/22,94852.11053928561,94369.14690935759,38558.94467930177,55810.20223005582,,,,,
94316.0,95524.0,93920.0,95125.0,67.21537669858662,154.33346954103035,1545.5096579560122,2020/04/23,94919.3259159842,94523.48037889862,37167.76849088679,57355.71188801183,,,,,
94372.0,95579.0,94047.0,95255.0,55.94381562717899,126.62581209281052,1489.2875057682613,2020/04/24,94975.26973161138,94650.10619099143,35805.10679721134,58844.99939378009,,,,,
94417.0,95626.0,94153.0,95359.0,46.78713046993653,104.14466409901797,1434.3147809419825,2020/04/25,95022.05686208131,94754.25085509045,34474.93668036837,60279.31417472207,,,,,
94457.0,95667.0,94235.0,95444.0,39.31656443294196,85.89580038868007,1380.7298776330863,2020/04/26,95061.37342651426,94840.14665547913,33180.10260312397,61660.04405235516,,,,,
94491.0,95699.0,94307.0,95515.0,33.19494615063013,71.06791972223436,1328.629677532197,2020/04/27,95094.56837266489,94911.21457520136,31922.540845314004,62988.673729887356,,,,,
94519.0,95729.0,94368.0,95575.0,28.15653409458173,59.00222183458391,1278.0779023455907,2020/04/28,95122.72490675947,94970.21679703594,30703.465164802998,64266.75163223295,,,,,
94542.0,95752.0,94416.0,95623.0,23.991317467050976,49.16576163061836,1229.1119904504158,2020/04/29,95146.71622422652,95019.38255866656,29523.5189359832,65495.86362268336,,,,,
94566.0,95772.0,94457.0,95665.0,20.53281999960018,41.128626404417446,1181.7487099845312,2020/04/30,95167.24904422612,95060.51118507098,28382.898852403086,66677.6123326679,,,,,
