Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/03/12,70.0,210.0,0.0,0.0,35.0,0.0,35.0,54.0,87.0,182.0,239.0,2020-03-12,70.0,0.0,34.0,35.0
2020/03/13,82.22354290678774,265.31896150905413,12.223542906787742,55.318961509054134,35.3582992662999,0.35829926629990183,46.86524364048784,65.0,100.0,234.0,298.0,2020-03-13,75.0,5.0,34.0,35.0
2020/03/14,98.18484713780784,336.89596797918455,15.961304231020094,71.57700647013041,35.836396639657856,0.4780973733579543,62.34845049814998,79.0,118.0,301.0,373.0,2020-03-14,82.0,7.0,35.0,36.0
2020/03/15,118.95254944577005,428.92357341400714,20.76770230796221,92.02760543482259,36.47054727234009,0.6341506326822355,82.48200217342995,98.0,141.0,389.0,470.0,2020-03-15,114.0,32.0,35.0,36.0
2020/03/16,145.85028206733475,546.2860558835673,26.8977326215647,117.36248246956018,37.307157546733904,0.8366102743938129,108.54312452060084,123.0,170.0,501.0,593.0,2020-03-16,147.0,33.0,37.0,38.0
2020/03/17,180.48437914640857,694.4178927181529,34.634097079073825,148.13183683458556,38.40506379616326,1.0979062494293572,142.0793153502453,155.0,207.0,643.0,746.0,2020-03-17,177.0,30.0,41.0,42.0
2020/03/18,224.7525032434603,878.9706118168814,44.268124097051725,184.55271909872852,39.83795987173719,1.4328960755739288,184.9145433717231,196.0,255.0,821.0,938.0,2020-03-18,212.0,35.0,42.0,43.0
2020/03/19,280.8180350784166,1105.2227024680926,56.06553183495629,226.25209065121123,41.6967411634162,1.8587812916790085,239.1212939150004,248.0,314.0,1041.0,1171.0,2020-03-19,272.0,60.0,42.0,43.0
2020/03/20,351.03244415816994,1377.203210621381,70.21440907975335,271.9805081532884,44.091387933355655,2.394646769939456,306.9410562248143,315.0,388.0,1305.0,1450.0,2020-03-20,322.0,50.0,43.0,44.0
2020/03/21,437.7899492931085,1696.5876173766706,86.75750513493858,319.38440675528955,47.15186300700755,3.0604750736518938,390.638086286101,397.0,479.0,1616.0,1778.0,2020-03-21,411.0,89.0,44.0,45.0
2020/03/22,543.3091157942625,2061.5639782273824,105.51916650115402,364.9763608507119,51.02740337773578,3.875540370728231,492.2817124165268,498.0,589.0,1973.0,2151.0,2020-03-22,599.0,188.0,44.0,45.0
2020/03/23,669.3566248472791,2466.01443328634,126.0475090530166,404.4504550589577,55.883627637212435,4.8562242594766545,613.4729972100668,619.0,721.0,2369.0,2564.0,2020-03-23,721.0,122.0,52.0,53.0
2020/03/24,816.9556670086274,2899.4155063060352,147.59904216134828,433.4010730196951,61.89713725349785,6.013509616285418,755.0585297551296,762.0,874.0,2794.0,3005.0,2020-03-24,827.0,106.0,52.0,56.0
2020/03/25,934.0,3347.726625907302,117.04433299137258,448.3111196012669,74.0,12.102862746502147,860.0,875.0,994.0,3235.0,3461.0,2020-03-25,934.0,107.0,70.0,74.0
2020/03/26,1127.8810399847378,3804.434630632106,193.88103998473775,456.7080047248037,82.38050302473047,8.380503024730473,1045.5005369600074,1063.0,1194.0,3684.0,3926.0,,,,,
2020/03/27,1340.4504809098041,4243.3432458379975,212.56944092506637,438.9086152058917,92.47225737782725,10.091754353096775,1247.978223531977,1269.0,1413.0,4116.0,4372.0,,,,,
2020/03/28,1568.5341476190326,4651.578907552229,228.0836667092285,408.23566171423136,104.41077842156915,11.9385210437419,1464.1233691974635,1491.0,1647.0,4518.0,4786.0,,,,,
2020/03/29,1808.397487541697,5020.443683332849,239.8633399226644,368.8647757806202,118.29982393619343,13.889045514624286,1690.0976636055036,1725.0,1892.0,4882.0,5160.0,,,,,
2020/03/30,2056.1072905749443,5345.646102953668,247.70980303324723,325.20241962081855,134.2083550086321,15.908531072438677,1921.898935566312,1968.0,2145.0,5203.0,5489.0,,,,,
2020/03/31,2307.850711727309,5626.698804230215,251.7434211523646,281.05270127654694,152.17055021667818,17.96219520804607,2155.6801615106306,2214.0,2402.0,5480.0,5774.0,,,,,
2020/04/01,2560.168175443271,5865.8834706017615,252.31746371596228,239.18466637154688,172.18826129100356,20.017711074325376,2387.9799141522676,2462.0,2660.0,5716.0,6016.0,,,,,
2020/04/02,2810.089344693939,6067.159044053787,249.92116925066784,201.27557345202513,194.2350603587476,22.046799067744047,2615.8542843351916,2707.0,2914.0,5915.0,6220.0,,,,,
2020/04/03,3055.1847157694183,6235.245994794752,245.0953710754793,168.08695074096522,218.261060533001,24.026000174253397,2836.9236552364173,2947.0,3164.0,6081.0,6391.0,,,,,
2020/04/04,3293.555948335714,6374.9744775483705,238.37123256629593,139.72848275361866,244.19785862978068,25.936798096779683,3049.3580897059337,3182.0,3407.0,6219.0,6532.0,,,,,
2020/04/05,3523.7887528591514,6490.88451884285,230.23280452343715,115.91004129447992,271.9631693565622,27.765310726781536,3251.8255835025893,3408.0,3641.0,6333.0,6649.0,,,,,
2020/04/06,3744.8876133085255,6587.022561025928,221.09886044937411,96.13804218307723,301.46491383018486,29.501744473622637,3443.4226994783407,3625.0,3865.0,6428.0,6747.0,,,,,
2020/04/07,3956.2056864529077,6666.870813431708,211.3180731443822,79.84825240577993,332.60467078011976,31.139756949934906,3623.601015672788,3834.0,4080.0,6508.0,6827.0,,,,,
2020/04/08,4157.377867281342,6733.356113856349,201.17218082843465,66.48530042464154,365.2804926886606,32.675821908540854,3792.0973745926817,4031.0,4284.0,6573.0,6894.0,,,,,
2020/04/09,4348.261153346458,6788.899957114114,190.8832860651155,55.54384325776482,399.3891395597719,34.10864687111126,3948.872013786686,4220.0,4478.0,6628.0,6951.0,,,,,
2020/04/10,4528.883760940702,6835.485219633738,180.62260759424407,46.58526251962394,434.827808644059,35.43866908428714,4094.0559522966428,4397.0,4661.0,6674.0,6998.0,,,,,
2020/04/11,4699.40302093541,6874.725359225264,170.51925999470768,39.240139591525804,471.495441224557,36.66763258049798,4227.907579710853,4565.0,4834.0,6713.0,7037.0,,,,,
2020/04/12,4860.071276413539,6907.928757115456,160.66825547812914,33.20339789019272,509.2936846190857,37.7982433945287,4350.777591794453,4724.0,4997.0,6746.0,7071.0,,,,,
