Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
1266.0,1409.0,247.0,313.0,0.0,0.0,0.0,2020/03/15,1336.5,279.4055365798282,253.4055365798282,26.0,2020-03-15,297.0,23.0,0.0,26.0
1524.0,1680.0,367.0,446.0,265.14894167690295,126.73412671884262,3.623729766259835,2020/03/16,1601.648941676903,406.1396632986708,376.515933532411,29.623729766259835,2020-03-16,377.0,23.0,80.0,26.0
1820.0,1992.0,488.0,579.0,303.9142326691101,126.73412671884273,4.813007824153047,2020/03/17,1905.563174346013,532.8737900175136,498.4370524271007,34.43673759041288,2020-03-17,449.0,27.0,72.0,33.0
2160.0,2346.0,620.0,721.0,346.96145526939245,137.17201711989924,6.179924860613852,2020/03/18,2252.5246296154055,670.0458071374128,629.429144686386,40.616662451026734,2020-03-18,596.0,43.0,147.0,49.0
2547.0,2748.0,772.0,885.0,394.30636244284415,157.67268060629158,7.74802654788094,2020/03/19,2646.8309920582496,827.7184877437044,779.3537987447967,48.364688998907674,2020-03-19,636.0,43.0,40.0,49.0
2984.0,3202.0,947.0,1071.0,445.80054022604645,180.6499718938694,9.542566394769878,2020/03/20,3092.631532284296,1008.3684596375738,950.4612042438962,57.90725539367755,2020-03-20,877.0,46.0,241.0,53.0
3476.0,3712.0,1147.0,1283.0,501.08752273204163,206.21451971002784,11.590167501520021,2020/03/21,3593.7190550163377,1214.5829793476016,1145.085556452404,69.49742289519757,2020-03-21,1051.0,46.0,174.0,53.0
4027.0,4280.0,1375.0,1524.0,559.5614142714585,234.42288777841918,13.918310613253524,2020/03/22,4153.280469287796,1449.0058671260208,1365.5901336175698,83.4157335084511,2020-03-22,1314.0,88.0,263.0,95.0
4639.0,4910.0,1634.0,1796.0,620.3341309975958,265.2603047667567,16.554629366437126,2020/03/23,4773.614600285392,1714.2661718927775,1614.2958090178893,99.97036287488822,2020-03-23,1682.0,119.0,368.0,126.0
5311.0,5601.0,1925.0,2101.0,682.2188789075808,298.6233789763792,19.525995162479603,2020/03/24,5455.833479192973,2012.8895508691567,1893.3931928317888,119.49635803736783,2020-03-24,2044.0,119.0,362.0,127.0
6046.0,6355.0,2253.0,2443.0,743.7386749479656,334.3045768109241,22.85740966107653,2020/03/25,6199.572154140938,2347.194127680081,2204.8403599816365,142.35376769844436,2020-03-25,2364.0,119.0,320.0,127.0
6839.0,7167.0,2617.0,2822.0,803.1666965441782,371.9806173555371,26.57071701235094,2020/03/26,7002.738850685117,2719.174745035618,2550.2502603248226,168.9244847107953,2020-03-26,2810.0,172.0,446.0,185.0
7688.0,8036.0,3021.0,3240.0,858.6032973008369,411.2070758278269,30.683209022224474,2020/03/27,7861.3421479859535,3130.381820863445,2930.774127130425,199.60769373301977,2020-03-27,3143.0,194.0,333.0,207.0
8586.0,8953.0,3424.0,3657.0,908.0891794428535,410.3676781133436,35.206201957434814,2020/03/28,8769.431327428807,3540.7494989767883,3305.935603286334,234.8138956904546,2020-03-28,3640.0,244.0,497.0,258.0
9527.0,9913.0,3872.0,4120.0,949.7456788185664,454.6675532273739,40.14370276059029,2020/03/29,9719.177006247373,3995.4170522041622,3720.4594537531175,274.9575984510449,2020-03-29,3984.0,244.0,344.0,260.0
10499.0,10904.0,4363.0,4626.0,981.9286702885802,498.6337351593502,-0.9575984510448734,2020/03/30,10701.105676535954,4494.050787363512,4220.050787363512,274.0,2020-03-30,4361.0,257.0,377.0,274.0
11518.0,11943.0,4897.0,5175.0,1028.780584379998,541.4192930021118,49.545063903649236,2020/03/31,11729.886260915951,5035.470080365624,4711.925016461975,323.54506390364924,,,,,
12546.0,12989.0,5455.0,5748.0,1036.8030836301368,565.1298200498932,55.89754510436342,2020/04/01,12766.689344546088,5600.599900415517,5221.157291407505,379.44260900801265,,,,,
13569.0,14030.0,6012.0,6320.0,1032.6340035083886,565.1298200498941,62.59249375384786,2020/04/02,13799.323348054477,6165.729720465411,5723.694617703551,442.0351027618605,,,,,
14578.0,15054.0,6781.0,7108.0,1016.773063112234,778.0741968170014,69.58617173572026,2020/04/03,14816.09641116671,6943.803917282413,6432.182642784832,511.62127449758077,,,,,
15560.0,16053.0,7495.0,7839.0,990.2606732692457,722.634786104858,76.8274168636566,2020/04/04,15806.357084435956,7666.438703387271,7077.990012026034,588.4486913612374,,,,,
16508.0,17016.0,8232.0,8591.0,954.560403737516,744.2171010190605,84.25941822945958,2020/04/05,16760.917488173473,8410.655804406331,7737.947694815634,672.708109590697,,,,,
17413.0,17933.0,8984.0,9359.0,911.4106826869393,760.5190380075983,91.82174084329199,2020/04/06,17672.32817086041,9171.17484241393,8406.644991979942,764.5298504339889,,,,,
18269.0,18803.0,9747.0,10138.0,862.6705157750475,771.4345268164125,99.45241499585018,2020/04/07,18534.99868663546,9942.609369230342,9078.627103800503,863.9822654298391,,,,,
19073.0,19618.0,10517.0,10923.0,810.1781802169207,777.0270475103425,107.08994825319849,2020/04/08,19345.17686685238,10719.636416740685,9748.564203057647,971.0722136830376,,,,,
