Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/03/08,19.0,114.0,0.0,0.0,0.0,0.0,19.0,11.0,28.0,94.0,135.0,2020-03-08,19.0,0.0,0.0,0.0
2020/03/09,41.96480898489317,132.57499852351006,22.964808984893168,18.57499852351006,0.06280846666674585,0.06280846666674585,41.90200051822642,30.0,55.0,110.0,156.0,2020-03-09,21.0,2.0,0.0,0.0
2020/03/10,64.52953473147835,156.22454548363743,22.564725746585182,23.649546960127367,0.1720160994393346,0.10920763277258876,64.35751863203902,49.0,81.0,132.0,181.0,2020-03-10,34.0,13.0,0.0,0.0
2020/03/11,88.00421842296731,185.8975792590623,23.474683691488963,29.67303377542487,0.3280670573532905,0.1560509579139559,87.67615136561402,70.0,107.0,160.0,213.0,2020-03-11,43.0,9.0,0.0,1.0
2020/03/12,113.64805419992581,222.79876161817526,25.643835776958497,36.901182359112966,0.5340302672692314,0.20596320991594091,113.11402393265658,93.0,135.0,194.0,253.0,2020-03-12,43.0,0.0,0.0,1.0
2020/03/13,142.74130159012216,268.428246210649,29.093247390196353,45.629484592473716,0.7955648306927556,0.2615345634235242,141.9457367594294,120.0,167.0,237.0,301.0,2020-03-13,90.0,47.0,0.0,1.0
2020/03/14,176.65111592983362,324.6301224897504,33.90981433971146,56.20187627910144,1.1210263530253854,0.3254615223326298,175.53008957680822,151.0,203.0,290.0,360.0,2020-03-14,129.0,39.0,0.0,2.0
2020/03/15,216.8945084686305,393.6490925032027,40.24339253879688,69.0189700134523,1.5217048465539353,0.4006784935285499,215.37280362207656,189.0,246.0,355.0,433.0,2020-03-15,129.0,0.0,0.0,2.0
2020/03/16,265.2007697961623,478.19427324935873,48.306261327531814,84.545180746156,2.012190588660452,0.4904857421065165,263.18857920750185,234.0,298.0,436.0,522.0,2020-03-16,169.0,40.0,0.0,2.0
2020/03/17,323.5748077932482,581.5078580362617,58.37403799708591,103.313584786903,2.6108682360686872,0.5986776474082354,320.9639395571795,289.0,359.0,535.0,629.0,2020-03-17,223.0,54.0,5.0,7.0
2020/03/18,394.36184518689583,707.4345717677629,70.78703739364761,125.9267137315012,3.3405414404652682,0.729673204396581,391.0213037464306,356.0,434.0,656.0,760.0,2020-03-18,292.0,69.0,5.0,7.0
2020/03/19,480.3126427928232,860.4852196423928,85.95079760592739,153.05064787462993,4.229189889386747,0.888648448921479,476.08345290343647,438.0,524.0,803.0,919.0,2020-03-19,557.0,265.0,5.0,8.0
2020/03/20,584.6467123440191,1045.8839503817085,104.33406955119585,185.39873073931562,5.310857301871178,1.081667412484431,579.335855042148,538.0,633.0,983.0,1110.0,2020-03-20,683.0,126.0,5.0,8.0
2020/03/21,711.1087543070018,1269.584159727087,126.46204196298277,223.70020934537843,6.626661549839156,1.3158042479679777,704.4820927571627,659.0,764.0,1200.0,1340.0,2020-03-21,785.0,102.0,5.0,8.0
2020/03/22,864.0106162460586,1538.2322360857006,152.90186193905674,268.6480763586137,8.225905322326318,1.5992437724871618,855.7847109237323,807.0,922.0,1462.0,1616.0,2020-03-22,906.0,121.0,5.0,9.0
2020/03/23,1048.2475387456643,1859.0524641878465,184.23692249960573,320.82022810214585,10.16724659454572,1.9413412722194021,1038.0802921511186,985.0,1112.0,1775.0,1944.0,2020-03-23,1125.0,219.0,5.0,11.0
2020/03/24,1269.273409450633,2239.6214447368975,221.0258707049686,380.56898054905105,12.51986086003651,2.352614265490791,1256.7535485905964,1200.0,1340.0,2147.0,2333.0,2020-03-24,1329.0,204.0,5.0,12.0
2020/03/25,1533.0159242121888,2687.499072121368,263.74251476155587,447.87762738447054,15.36449197914383,2.8446311191073193,1517.651432233045,1457.0,1610.0,2586.0,2790.0,2020-03-25,1564.0,235.0,5.0,14.0
2020/03/26,1845.7099915595086,3209.6888343443447,312.6940673473198,522.1897622229767,18.794246379730655,3.429754400586825,1826.915745179778,1762.0,1930.0,3099.0,3321.0,2020-03-26,1819.0,255.0,5.0,24.0
2020/03/27,2121.0,3811.9174634452793,275.2900084404914,602.2286291009345,27.0,8.205753620269345,2094.0,2031.0,2212.0,3691.0,3933.0,2020-03-27,2121.0,302.0,5.0,27.0
2020/03/28,2570.298071402734,4496.4752644233395,449.29807140273397,684.5578009780602,31.752879867137235,4.752879867137235,2538.5451915355966,2471.0,2670.0,4366.0,4629.0,,,,,
2020/03/29,3081.174157122438,5265.971730157343,510.87608571970395,769.4964657340033,37.48117030836074,5.728290441223503,3043.6929868140774,2973.0,3191.0,5124.0,5409.0,,,,,
2020/03/30,3658.41936606388,6116.618855819921,577.2452089414419,850.6471256625782,44.31464298984257,6.83347268148183,3614.1047230740373,3540.0,3777.0,5964.0,6270.0,,,,,
2020/03/31,4304.405031528706,7039.919017501932,645.9856654648261,923.3001616820111,52.39025612510223,8.075613135259665,4252.014775403603,4176.0,4433.0,6876.0,7205.0,,,,,
2020/04/01,5018.538417672552,8022.403239865695,714.1333861438461,982.4842223637625,61.84659796439337,9.456341839291134,4956.691819708159,4880.0,5158.0,7847.0,8198.0,,,,,
2020/04/02,5796.849309990583,9045.989588034205,778.3108923180307,1023.5863481685101,72.81733745295686,10.970739488563495,5724.031972537626,5648.0,5947.0,8860.0,9233.0,,,,,
2020/04/03,6631.826052527008,10089.035660801226,834.9767425364253,1043.0460727670215,85.42407622775764,12.606738774800775,6546.40197629925,6473.0,6792.0,9892.0,10287.0,,,,,
2020/04/04,7512.5927405243365,11128.002074647431,880.7666879973285,1038.966413846205,99.76921754640905,14.345141318651415,7412.8235229779275,7343.0,7683.0,10922.0,11335.0,,,,,
2020/04/05,8425.46115518164,12139.47968412709,912.8684146573032,1011.4776094796598,115.92959927575376,16.160381729344707,8309.531555905885,8246.0,8606.0,11924.0,12356.0,,,,,
2020/04/06,9354.815463104218,13102.223973312031,929.3543079225783,962.7442891849405,133.9516292505366,18.02202997478284,9220.863833853682,9165.0,9545.0,12878.0,13327.0,,,,,
2020/04/07,10284.215262478672,13998.83299455214,929.3997993744542,896.6090212401086,153.84849711066522,19.896867860128623,10130.366765368008,10086.0,10483.0,13767.0,14232.0,,,,,
2020/04/08,11197.557527876812,14816.805022490462,913.3422653981397,817.9720279383218,175.59974703595063,21.751249925285407,11021.957780840861,10991.0,11405.0,14579.0,15056.0,,,,,
2020/04/09,12080.133318154714,15548.87728646542,882.5757902779023,732.0722639749583,199.153156234341,23.55340919839037,11880.980161920374,11865.0,12296.0,15305.0,15794.0,,,,,
2020/04/10,12919.44921483989,16192.714082290753,839.3158966851752,643.836795825333,224.42855617752326,25.275399943182265,12695.020658662366,12697.0,13143.0,15943.0,16443.0,,,,,
2020/04/11,13705.741624716351,16750.12780614143,786.2924098764615,557.4137238506773,251.3230245464674,26.894468368944132,13454.418600169884,13477.0,13935.0,16498.0,17004.0,,,,,
2020/04/12,14432.174456063112,17226.058203001812,726.4328313467613,475.93039686038173,279.7167944017072,28.39376985523981,14152.457661661405,14198.0,14668.0,16969.0,17484.0,,,,,
2020/04/13,15094.760820486592,17627.513316041935,662.5863644234796,401.45511304012325,309.47926354579715,29.76246914408995,14785.281556940794,14854.0,15336.0,17368.0,17888.0,,,,,
2020/04/14,15692.078990781702,17962.617460170677,597.3181702951097,335.1041441287416,340.47460594726346,30.995342401466303,15351.604384834438,15447.0,15938.0,17701.0,18226.0,,,,,
2020/04/15,16224.861697425555,18239.845016441934,532.7827066438531,277.2275562712566,372.5666447100227,32.092038762759216,15852.295052715532,15976.0,16475.0,17976.0,18505.0,,,,,
2020/04/16,16695.531056873468,18467.462926403372,470.66935944791294,227.61790996143827,405.6228043501401,33.056159640117414,16289.908252523328,16443.0,16949.0,18201.0,18734.0,,,,,
2020/04/17,17107.735900676165,18653.167226259342,412.2048438026977,185.70429985597002,439.51709394062897,33.89428959048888,16668.218806735535,16852.0,17365.0,18386.0,18922.0,,,,,
2020/04/18,17465.930003777954,18803.87948763203,358.19410310178864,150.71226137268968,474.1321707114711,34.61507677084211,16991.797833066485,17208.0,17726.0,18535.0,19073.0,,,,,
2020/04/19,17775.012853417033,18925.6631788241,309.08284963907863,121.78369119206764,509.3605948779515,35.22842416648041,17265.65225853908,17514.0,18036.0,18656.0,19195.0,,,,,
2020/04/20,18040.041182727393,19023.722488569074,265.0283293103603,98.0593097449746,545.1054162324285,35.74482135447704,17494.935766494964,17778.0,18304.0,18754.0,19294.0,,,,,
2020/04/21,18266.01018818266,19102.45267016419,225.9690054552666,78.73018159511776,581.2802393336912,36.17482310126263,17684.72994884897,18001.975000000002,18531.0,18832.0,19374.0,,,,,
2020/04/22,18457.697599525312,19165.518539041124,191.68741134265292,63.065868876932655,617.8089052359976,36.52866590230644,17839.888694289315,18193.0,18725.0,18895.0,19437.0,,,,,
2020/04/23,18619.560966842928,19215.94477835311,161.86336731761548,50.42623931198614,654.624910015884,36.816004779886384,17964.936056827042,18353.0,18888.0,18944.0,19488.0,,,,,
2020/04/24,18755.677740662144,19256.207401181808,136.11677381921618,40.262622828697204,691.6706592519982,37.04574923611426,18064.007081410145,18488.0,19025.0,18984.0,19528.0,,,,,
2020/04/25,18869.71817659582,19288.320035315497,114.04043593367533,32.112634133689426,728.896636306502,37.2259770545038,18140.82154028932,18602.0,19140.0,19017.0,19560.0,,,,,
2020/04/26,18964.94227447591,19313.911704868904,95.224097880091,25.591669553406973,766.2605427259211,37.363906419419095,18198.681731749988,18695.0,19235.0,19041.0,19587.0,,,,,
2020/04/27,19044.213404068752,19334.294783912654,79.27112959284204,20.383079043749603,803.7264523924623,37.465909666541165,18240.486951676292,18774.0,19316.0,19062.0,19608.0,,,,,
2020/04/28,19110.022749265157,19350.523033217127,65.80934519640505,16.228249304473138,841.2640074167514,37.53755502428908,18268.758741848407,18839.0,19382.0,19078.0,19624.0,,,,,
2020/04/29,19164.520071213687,19363.440340334477,54.497321948529134,12.917307117349992,878.8476730214519,37.58366560470051,18285.672398192233,18894.0,19437.0,19091.0,19636.0,,,,,
2020/04/30,19209.54745357491,19373.721127057954,45.02738236122241,10.280786723476922,916.4560607116762,37.608387690224276,18293.091392863233,18938.0,19481.0,19102.0,19647.0,,,,,
2020/05/01,19246.67366485657,19381.903520633125,37.12621128166211,8.182393575170863,954.071323114107,37.61526240243086,18292.602341742466,18975.0,19519.0,19109.0,19655.0,,,,,
2020/05/02,19277.227534780865,19388.416374565928,30.553869924293394,6.512853932803409,991.6786198456938,37.60729673158676,18285.54891493517,19005.0,19549.0,19116.0,19662.0,,,,,
2020/05/03,19302.329322243982,19393.601147585963,25.101787463117944,5.184773020035209,1029.2656511163004,37.587031270606644,18273.063671127682,19031.0,19576.0,19121.0,19667.0,,,,,
2020/05/04,19322.919493596357,19397.729534833554,20.590171352374455,4.128387247590581,1066.8222541195178,37.55660300321733,18256.09723947684,19051.0,19595.0,19126.0,19672.0,,,,,
2020/05/05,19339.784632500538,19401.01762408376,16.86513890418064,3.288089250207122,1104.3400564567921,37.51780233727436,18235.444576043745,19068.0,19612.0,19129.0,19675.0,,,,,
