Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/03/07,161.0,644.0,0.0,0.0,0.0,0.0,161.0,137.0,186.0,595.0,694.0,2020-03-07,161.0,0.0,0.0,0.0
2020/03/08,298.96658907028683,673.3205277563625,137.96658907028683,29.32052775636248,0.6014682566285069,0.6014682566285069,298.36512081365834,266.0,333.0,623.0,725.0,2020-03-08,203.0,42.0,0.0,0.0
2020/03/09,408.618085916482,714.8654726978348,109.65149684619519,41.544944941472295,1.5182157179883633,0.9167474613598564,407.09987019849365,369.0,449.0,663.0,768.0,2020-03-09,248.0,45.0,1.0,1.0
2020/03/10,501.01741793203325,767.5146818457404,92.39933201555124,52.649209147905594,2.6914566636740576,1.1732409456856943,498.3259612683592,457.0,545.0,714.0,822.0,2020-03-10,355.0,107.0,1.0,1.0
2020/03/11,583.975927529038,831.2180864501406,82.95850959700476,63.70340460440025,4.086625449604019,1.395168785929961,579.889302079434,537.0,632.0,775.0,888.0,2020-03-11,500.0,145.0,1.0,2.0
2020/03/12,663.4377717626095,907.6421022921422,79.46184423357147,76.42401584200161,5.6867370411666025,1.6001115915625839,657.7510347214429,613.0,714.0,849.0,967.0,2020-03-12,599.0,99.0,1.0,2.0
2020/03/13,743.9168336191271,996.7915148711376,80.47906185651766,89.14941257899534,7.488385247242563,1.8016482060759609,736.4284483718845,691.0,798.0,935.0,1059.0,2020-03-13,814.0,215.0,1.0,2.0
2020/03/14,828.6908753411082,1098.9523823264558,84.774041721981,102.16086745531823,9.498117931086774,2.009732683844211,819.1927574100214,773.0,886.0,1034.0,1164.0,2020-03-14,961.0,147.0,1.0,3.0
2020/03/15,920.2753697786649,1214.851395416059,91.58449443755671,115.89901308960316,11.729860913965608,2.231742982878833,908.5455088646993,861.0,980.0,1147.0,1284.0,2020-03-15,1023.0,62.0,1.0,3.0
2020/03/16,1020.7397917585611,1345.5448959246276,100.4644219798962,130.6935005085686,14.203368918961601,2.4735080049959937,1006.5364228395995,959.0,1084.0,1274.0,1418.0,2020-03-16,1103.0,80.0,1.0,3.0
