Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/02/28,62.0,248.0,0.0,0.0,7.0,0.0,55.0,47.0,78.0,218.0,279.0,2020-02-28,62.0,0.0,7.0,7.0
2020/02/29,136.6904545574808,261.3405061139274,74.69045455748079,13.340506113927404,7.503901856741954,0.5039018567419538,129.18655270073884,114.0,160.0,230.0,294.0,2020-02-29,70.0,8.0,7.0,8.0
2020/03/01,191.94431605243577,295.13490434055603,55.253861494954975,33.79439822662863,8.341454337285633,0.8375524805436791,183.60286171515014,165.0,220.0,262.0,329.0,2020-03-01,76.0,6.0,7.0,8.0
2020/03/02,242.39787887385944,345.63605317789876,50.453562821423674,50.501148837342726,9.450556490746282,1.1091021534606487,232.94732238311315,212.0,273.0,310.0,383.0,2020-03-02,102.0,26.0,7.0,13.0
2020/03/03,296.33073714595463,412.6799661848844,53.93285827209519,67.04391300698563,10.828111290057018,1.3775547993107367,285.50262585589763,263.0,331.0,373.0,453.0,2020-03-03,122.0,20.0,8.0,17.0
2020/03/04,359.2088113910693,498.2546247036732,62.87807424511465,85.5746585187888,12.506451062199561,1.678339772142543,346.7023603288697,322.0,397.0,455.0,543.0,2020-03-04,157.0,35.0,8.0,19.0
2020/03/05,435.47852981058446,605.9005289376239,76.26971841951519,107.64590423395072,14.543495263765124,2.0370442015655623,420.93503454681934,395.0,477.0,558.0,655.0,2020-03-05,230.0,73.0,8.0,20.0
2020/03/06,529.5253015941588,740.539302821035,94.04677178357434,134.6387738834111,17.019993153585688,2.476497889820564,512.5053084405731,485.0,575.0,688.0,794.0,2020-03-06,317.0,87.0,8.0,22.0
2020/03/07,646.2446592081075,908.5383332903261,116.71935761394866,167.99903046929114,20.040706343800696,3.020713190215009,626.2039528643068,597.0,697.0,850.0,968.0,2020-03-07,424.0,107.0,8.0,25.0
2020/03/08,791.4486485565524,1117.9234045041487,145.2039893484449,209.38507121382258,23.738112370919414,3.697406027118717,767.7105361856329,737.0,847.0,1053.0,1184.0,2020-03-08,547.0,123.0,8.0,29.0
