Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
72.0,109.0,12.0,30.0,0.0,0.0,0.0,2020/03/06,90.0,20.433468589458382,19.433468589458382,1.0,2020-03-06,15.0,1.0,0.0,1.0
75.0,113.0,29.0,54.0,3.4345714298964367,20.447572946392885,0.08035365290529883,2020/03/07,93.43457142989644,40.88104153585127,39.800687882945965,1.0803536529052988,2020-03-07,15.0,1.0,0.0,1.0
83.0,122.0,46.0,77.0,8.679201349257028,20.44757294639288,0.14623907111251033,2020/03/08,102.11377277915346,61.32861448224415,60.10202175822634,1.2265927240178092,2020-03-08,23.0,1.0,8.0,1.0
94.0,136.0,64.0,99.0,12.57766304769963,20.018158440042868,0.19518290860725762,2020/03/09,114.6914358268531,81.34677292228702,79.92499728966195,1.4217756326250668,2020-03-09,30.0,1.0,7.0,1.0
109.0,154.0,80.0,119.0,15.974613405099134,17.71816714194763,0.2379333105780308,2020/03/10,130.66604923195223,99.06494006423465,97.40523112103155,1.6597089432030976,2020-03-10,40.0,1.0,10.0,1.0
126.0,175.0,96.0,138.0,19.345075682555347,17.788988584456092,0.28047839832945654,2020/03/11,150.01112491450758,116.85392864869074,114.91374130715819,1.9401873415325541,2020-03-11,59.0,1.0,19.0,1.0
148.0,199.0,114.0,159.0,22.97241456977622,19.296849791265444,0.32641823802685055,2020/03/12,172.9835394842838,136.15077843995618,133.88417286039677,2.2666055795594047,2020-03-12,59.0,1.0,0.0,1.0
173.0,228.0,134.0,183.0,27.046557930637448,21.793609413843484,0.3782018210660767,2020/03/13,200.03009741492124,157.94438785379967,155.2995804531742,2.6448074006254814,2020-03-13,155.0,1.0,96.0,1.0
202.0,262.0,157.0,210.0,31.715472239374463,25.087275821402187,0.4377788957740911,2020/03/14,231.7455696542957,183.03166367520186,179.9490773788023,3.0825862963995725,2020-03-14,225.0,1.0,70.0,1.0
237.0,301.0,184.0,241.0,37.1124387220558,29.123961252382088,0.5069509991352392,2020/03/15,268.8580083763515,212.15562492758394,208.56608763204912,3.5895372955348117,2020-03-15,244.0,10.0,19.0,10.0
278.0,347.0,216.0,277.0,43.37078308281133,33.92748547711571,0.5875687039605815,2020/03/16,312.22879145916284,246.08311040469965,241.90600440520427,4.177105999495393,2020-03-16,277.0,10.0,33.0,10.0
326.0,401.0,253.0,319.0,50.63203608151912,39.56874231722492,0.6816510413981502,2020/03/17,362.86082754068195,285.65185272192457,280.79309568103105,4.858757040893543,2020-03-17,321.0,10.0,44.0,10.0
382.0,463.0,297.0,368.0,59.05053951615463,46.15036886451077,0.7914662425224703,2020/03/18,421.9113670568366,331.80222158643534,326.1519983030193,5.650223283416014,2020-03-18,336.0,10.0,15.0,10.0
448.0,535.0,348.0,425.0,68.795952903147,53.799178322836894,0.9195938038001161,2020/03/19,490.7073199599836,385.60139990927223,379.0315828220561,6.56981708721613,2020-03-19,400.0,10.0,64.0,10.0
524.0,618.0,407.0,490.0,80.05427107831406,62.66237054066721,1.0689777688252144,2020/03/20,570.7615910382976,448.26377044993944,440.6249755938981,7.638794856041344,2020-03-20,450.0,10.0,50.0,10.0
614.0,715.0,477.0,566.0,93.02748526382948,72.90533737930173,1.2429756714648965,2020/03/21,663.7890763021271,521.1691078292412,512.287337301735,8.88177052750624,2020-03-21,523.0,10.0,73.0,11.0
718.0,827.0,558.0,655.0,107.93172865246834,84.70977739697878,1.4454042775402307,2020/03/22,771.7208049545955,605.87888522622,595.5517104211734,10.327174805046472,2020-03-22,626.0,10.0,103.0,11.0
838.0,956.0,643.0,746.0,124.99352382213624,88.366529111241,1.6805814341179168,2020/03/23,896.7143287767317,694.2454143374609,682.2376580982966,12.007756239164388,2020-03-23,700.0,10.0,74.0,11.0
978.0,1105.0,747.0,858.0,144.4436120704322,107.56430248325364,1.9533613860192673,2020/03/24,1041.157940847164,801.8097168207146,787.8485991955309,13.961117625183656,2020-03-24,792.0,10.0,92.0,11.0
1140.0,1276.0,870.0,989.0,166.50770784790961,127.27247233670187,-0.9611176251836557,2020/03/25,1207.6656486950735,929.0821891574165,916.0821891574165,13.0,2020-03-25,880.0,10.0,88.0,13.0
1322.0,1468.0,1014.0,1142.0,186.92505547538667,148.51077474506155,2.5373584414974175,2020/03/26,1394.5907041704602,1077.592963902478,1062.0556054609806,15.537358441497418,,,,,
1534.0,1691.0,1181.0,1319.0,217.59734283800094,171.89488068267656,2.994688406348068,2020/03/27,1612.1880470084611,1249.4878445851546,1230.955797737309,18.532046847845486,,,,,
1778.0,1947.0,1383.0,1532.0,250.11400779289488,207.71330672070894,3.498312043155355,2020/03/28,1862.302054801356,1457.2011513058635,1435.1707924148627,22.03035889100084,,,,,
2057.0,2239.0,1595.0,1755.0,285.1168358823993,217.3491114473843,4.063699659269069,2020/03/29,2147.4188906837553,1674.5502627532478,1648.456204202978,26.09405855026991,,,,,
2374.0,2568.0,1807.0,1978.0,322.82905169738297,217.34911144738498,4.702748379607478,2020/03/30,2470.2479423811383,1891.8993742006328,1861.1025672707553,30.796806929877388,,,,,
2729.0,2938.0,2119.0,2304.0,363.16208619480494,319.00937434853904,5.425405435997202,2020/03/31,2833.410028575943,2210.908748549172,2174.6865361832974,36.22221236587459,,,,,
3128.0,3351.0,2442.0,2639.0,405.75198214332386,329.1234604199244,6.240323862684228,2020/04/01,3239.162010719267,2540.0322089690962,2497.5696727405375,42.46253622855882,,,,,
3570.0,3808.0,2803.0,3015.0,449.9631159937976,368.554310298814,7.154970248458618,2020/04/02,3689.1251267130647,2908.5865192679103,2858.969012790893,49.617506477017436,,,,,
4058.0,4311.0,3206.0,3432.0,494.8827079908251,410.0462721701706,8.175405597361788,2020/04/03,4184.00783470389,3318.632791438081,3260.8398793637016,57.792912074379224,,,,,
4589.0,4859.0,3652.0,3892.0,539.3227824417245,452.82476433587135,9.30586393836338,2020/04/04,4723.330617145614,3771.457555773952,3704.3587797612095,67.0987760127426,,,,,
5163.0,5448.0,4140.0,4396.0,581.8426668722777,495.89806986372196,10.548212742076373,2020/04/05,5305.173284017892,4267.355625637674,4189.708636882855,77.64698875481898,,,,,
5775.0,6077.0,4670.0,4942.0,620.8020955594602,538.0535352545785,11.901367905128026,2020/04/06,5925.975379577352,4805.409160892253,4715.860804232306,89.548356659947,,,,,
6422.0,6740.0,5240.0,5528.0,654.4507255344433,577.8837190307986,13.360739407899104,2020/04/07,6580.426105111796,5383.292879923051,5280.383783855205,102.90909606784611,,,,,
7095.0,7429.0,5846.0,6149.0,681.0539733921305,613.845371090435,14.917791000001415,2020/04/08,7261.480078503926,5997.138251013486,5879.311363945639,117.82688706784752,,,,,
7786.0,8136.0,6482.0,6801.0,699.0460161273904,644.3506511788064,16.559804354629463,2020/04/09,7960.5260946313165,6641.488902192293,6507.102210769815,134.38669142247699,,,,,
8486.0,8851.0,7143.0,7477.0,707.1937141505432,667.885815973139,18.269923553593458,2020/04/10,8667.71980878186,7309.374718165432,7156.7181031893615,152.65661497607044,,,,,
9183.0,9563.0,7818.0,8168.0,704.7463969113451,683.1454015896725,20.0275420402279,2020/04/11,9372.466205693205,7992.520119755104,7819.835962738805,172.68415701629834,,,,,
9868.0,10261.0,8499.0,8865.0,691.5450794244152,689.1648062114464,21.80904867255086,2020/04/12,10064.01128511762,8681.68492596655,8487.191720277702,194.4932056888492,,,,,
10530.0,10936.0,9178.0,9557.0,668.0678695013503,685.4307447980918,23.588901162388765,2020/04/13,10732.07915461897,9367.115670764642,9149.033563913405,218.08210685123797,,,,,
11159.0,11577.0,9843.0,10236.0,635.3989851414335,671.9501312967677,25.340939835062557,2020/04/14,11367.478139760404,10039.06580206141,9795.64275537511,243.42304668630052,,,,,
11749.0,12178.0,10486.0,10891.0,595.1234327905931,649.2636493360133,27.039810244292227,2020/04/15,11962.601572550997,10688.329451397423,10417.86659446683,270.46285693059275,,,,,
12293.0,12731.0,11099.0,11516.0,549.1646691956412,618.3997355814427,28.662338304472428,2020/04/16,12511.766241746638,11306.729186978866,11007.603991743801,299.1251952350652,,,,,
12788.0,13235.0,11674.0,12102.0,499.5934145764204,580.7757749225093,30.188705603309415,2020/04/17,13011.359656323059,11887.504961901375,11558.191061063,329.3139008383746,,,,,
13233.0,13687.0,12207.0,12644.0,448.4393496573157,538.0626317298429,31.60330426510876,2020/04/18,13459.799005980374,12425.567593631218,12064.650388527734,360.91720510348335,,,,,
13627.0,14089.0,12695.0,13141.0,397.53323137055486,492.03415007770855,32.895202548487134,2020/04/19,13857.332237350929,12917.601743708927,12523.789336056956,393.8124076519705,,,,,
13973.0,14440.0,13136.0,13589.0,348.3971089080933,444.4236031867367,34.05821177422865,2020/04/20,14205.729346259022,13362.025346895663,12934.154727469464,427.87061942619914,,,,,
14272.0,14744.0,13529.0,13989.0,302.1883668364353,396.8048300559003,35.09059951802789,2020/04/21,14507.917713095458,13758.830176951564,13295.868958007337,462.961218944227,,,,,
14530.0,15006.0,13877.0,14342.0,259.69292088352995,350.5088049176811,35.9945317797563,2020/04/22,14767.610633978988,14109.338981869245,13610.38323114526,498.95575072398333,,,,,
14750.0,15230.0,14181.0,14652.0,221.35601395803133,306.57869675101756,36.77534538901455,2020/04/23,14988.966647937019,14415.917678620262,13880.186582507264,535.7310961129979,,,,,
14935.0,15418.0,14445.0,14920.0,187.33652639607863,265.76014633378145,37.440750583956174,2020/04/24,15176.303174333098,14681.677824954044,14108.50597825709,573.171846696954,,,,,
15091.0,15577.0,14671.0,15150.0,157.57144108676403,228.51919423921026,38.0000487493171,2020/04/25,15333.874615419862,14910.197019193254,14299.025123746984,611.1718954462712,,,,,
15223.0,15710.0,14865.0,15346.0,131.84011320850732,195.07872916828273,38.463426899495175,2020/04/26,15465.714728628369,15105.275748361537,14455.64042601577,649.6353223457663,,,,,
15331.0,15820.0,15029.0,15514.0,109.82154358314801,165.4645277816453,38.84136608228209,2020/04/27,15575.536272211517,15270.740276143182,14582.263587715133,688.4766884280484,,,,,
15422.0,15913.0,15167.0,15654.0,91.14122391679848,139.55355176338162,39.144178767974495,2020/04/28,15666.677496128315,15410.293827906564,14682.67296071054,727.6208671960229,,,,,
15496.0,15989.0,15283.0,15772.0,75.40668068936611,117.1192698197774,39.381673431165495,2020/04/29,15742.084176817682,15527.413097726341,14760.410557099152,767.0025406271884,,,,,
15559.0,16051.0,15381.0,15870.0,62.23250070334325,97.87086256804469,39.56293341386845,2020/04/30,15804.316677521025,15625.283960294386,14818.718486253329,806.5654740410569,,,,,
15609.0,16103.0,15462.0,15953.0,51.256488975886896,81.48491696079873,39.6961912085859,2020/05/01,15855.573166496912,15706.768877255185,14860.507212005541,846.2616652496428,,,,,
15651.0,16145.0,15529.0,16022.0,42.14889183429841,67.62948654047796,39.78877746324076,2020/05/02,15897.72205833121,15774.398363795663,14888.347921082779,886.0504427128835,,,,,
15686.0,16180.0,15584.0,16078.0,34.61653728001693,55.981184591970305,39.847124919076236,2020/05/03,15932.338595611227,15830.379548387633,14904.481980755672,925.8975676319598,,,,,
15714.0,16209.0,15630.0,16124.0,28.40350146781566,46.23642711433058,39.876809761433265,2020/05/04,15960.742097079043,15876.615975501963,14910.84159810857,965.774377393393,,,,,
15737.0,16233.0,15667.0,16163.0,23.28953036938765,38.1179889025334,39.88261657397652,2020/05/05,15984.03162744843,15914.733964404497,14909.076970437127,1005.6569939673695,,,,,
15755.0,16252.0,15700.0,16194.0,19.087191111011634,31.378086313192398,39.86861559483327,2020/05/06,16003.118818559442,15946.11205071769,14900.586441155487,1045.5256095622028,,,,,
15771.0,16268.0,15725.0,16220.0,15.638397892051216,25.798977052685586,39.838244525837126,2020/05/07,16018.757216451493,15971.911027770375,14886.547173682335,1085.36385408804,,,,,
15784.0,16280.0,15746.0,16241.0,12.810760925502109,21.191911816347783,39.79438935977623,2020/05/08,16031.567977376995,15993.102939586723,14867.944696138906,1125.1582434478162,,,,,
15794.0,16290.0,15762.0,16259.0,10.494035585954407,17.39507958557624,39.73946071831824,2020/05/09,16042.06201296295,16010.498019172299,14845.600315006164,1164.8977041661344,,,,,
15802.0,16299.0,15777.0,16274.0,8.596830842850977,14.27101683471301,39.675463695165035,2020/05/10,16050.6588438058,16024.769036007012,14820.195868145713,1204.5731678612995,,,,,
15810.0,16306.025000000023,15789.0,16285.0,7.043655310741087,11.703811715397023,39.604060259219295,2020/05/11,16057.702499116542,16036.472847722409,14792.29561960189,1244.1772281205187,,,,,
15815.0,16312.0,15799.0,16295.0,5.772326821115712,9.596323453137302,39.526624002192875,2020/05/12,16063.474825937657,16046.069171175546,14762.365319052835,1283.7038521227116,,,,,
15820.0,16317.0,15806.0,16303.0,4.731738872431379,7.867552772229828,39.444287495098706,2020/05/13,16068.206564810089,16053.936723947776,14730.788584329966,1323.1481396178103,,,,,
15824.0,16321.0,15812.0,16309.0,3.879959854793924,6.450239290630634,39.357982780906696,2020/05/14,16072.086524664883,16060.386963238407,14697.880840839689,1362.506122398717,,,,,
15828.0,16324.0,15817.0,16314.0,3.182630779536339,5.288720734271919,39.26847568913854,2020/05/15,16075.269155444419,16065.675683972679,14663.901085884823,1401.7745980878556,,,,,
15831.0,16327.0,15822.0,16319.0,2.611625115823699,4.337060214913436,39.17639470055633,2020/05/16,16077.880780560243,16070.012744187592,14629.06175139918,1440.950992788412,,,,,
15831.0,16328.0,15826.0,16323.0,2.143934476387585,3.557431695442574,39.08225508006717,2020/05/17,16080.02471503663,16073.570175883035,14593.536928014555,1480.033247868479,,,,,
15833.0,16331.0,15829.0,16326.0,1.7607464460234041,2.918743781398007,38.98647895407453,2020/05/18,16081.785461482654,16076.488919664433,14557.46919284188,1519.0197268225536,,,,,
15835.0,16332.0,15831.0,16328.0,1.4466837865129492,2.395476533645706,38.889411956322874,2020/05/19,16083.232145269167,16078.884396198078,14520.975257419203,1557.9091387788765,,,,,
15836.0,16333.0,15833.0,16330.0,1.189179766106463,1.9667070071773196,38.7913369584885,2020/05/20,16084.421325035273,16080.851103205256,14484.15062746789,1596.700475737365,,,,,
15838.0,16335.0,15834.0,16332.0,0.9779641161803738,1.6152947337141086,38.69248541372622,2020/05/21,16085.399289151454,16082.46639793897,14447.07343678788,1635.3929611510912,,,,,
15838.0,16335.0,15836.0,16332.0,0.8046432064784312,1.3272067384114052,38.59304665964055,2020/05/22,16086.203932357932,16083.793604677381,14409.807596866649,1673.9860078107317,,,,,
15838.0,16336.0,15837.0,16334.0,0.6623561949600116,1.0909594510503666,38.49317555947255,2020/05/23,16086.866288552892,16084.884564128432,14372.405380758228,1712.4791833702043,,,,,
15840.0,16336.0,15837.0,16335.0,0.545493857418478,0.8971577545580658,38.39299877241092,2020/05/24,16087.41178241031,16085.78172188299,14334.909539740374,1750.8721821426152,,,,,
15840.0,16337.0,15839.0,16336.0,0.449469077084359,0.7381164247381093,38.29261988370013,2020/05/25,16087.861251487395,16086.519838307728,14297.355036281413,1789.1648020263153,,,,,
15840.0,16338.0,15839.0,16336.0,0.3705294538540329,0.6075490588209504,38.1921236048172,2020/05/26,16088.231780941249,16087.127387366549,14259.770461735416,1827.3569256311325,,,,,
15841.0,16337.0,15840.0,16337.0,0.3056043737906293,0.500313190259476,38.091579208236226,2020/05/27,16088.53738531504,16087.627700556808,14222.17919571744,1865.4485048393688,,,,,
15841.0,16338.0,15840.0,16337.0,0.2521802002866025,0.4122015497432585,37.99104333624541,2020/05/28,16088.789565515326,16088.039902106551,14184.600353930937,1903.4395481756142,,,,,
15841.0,16338.0,15840.0,16337.0,0.2081984254564304,0.33977128798505873,37.89056229720768,2020/05/29,16088.997763940783,16088.379673394536,14147.049562921715,1941.3301104728218,,,,,
15841.0,16338.0,15841.0,16337.0,0.1719725803068286,0.28020439629472094,37.79017394198627,2020/05/30,16089.16973652109,16088.659877790831,14109.539593376023,1979.120284414808,,,,,
15840.0,16338.0,15841.0,16338.0,0.1421203727586544,0.23119356955066905,37.68990919877706,2020/05/31,16089.311856893848,16088.891071360382,14072.080877746797,2016.8101936135852,,,,,
15841.0,16339.0,15840.0,16338.0,0.11750840926106321,0.19084916439533117,37.58979332512058,2020/06/01,16089.429365303109,16089.081920524777,14034.681933586071,2054.3999869387058,,,,,
15841.0,16338.0,15841.0,16338.0,0.09720684107378474,0.1576228318062931,37.48984693647617,2020/06/02,16089.526572144183,16089.239543356583,13997.349709481401,2091.889833875182,,,,,
15841.0,16338.0,15842.0,16339.0,0.08045255251272465,0.13024555025913287,37.39008684202145,2020/06/03,16089.607024696696,16089.369788906843,13960.08986818964,2129.2799207172034,,,,,
15841.0,16339.0,15842.0,16338.0,0.06661893269847496,0.10767673308509984,37.29052673192291,2020/06/04,16089.673643629394,16089.477465639928,13922.907018190801,2166.5704474491263,,,,,
15841.0,16339.0,15842.0,16339.0,0.0551912288992753,0.08906277879941626,37.19117773817561,2020/06/05,16089.728834858293,16089.566528418727,13885.804903231425,2203.761625187302,,,,,
15842.0,16339.0,15841.0,16339.0,0.045746370749839116,0.07370314260697342,37.09204889434886,2020/06/06,16089.774581229043,16089.640231561334,13848.786557479683,2240.8536740816508,,,,,
15841.0,16339.0,15842.0,16339.0,0.03793647850579873,0.0610226561948366,36.993147511592724,2020/06/07,16089.812517707549,16089.701254217529,13811.854432624285,2277.8468215932435,,,,,
15842.0,16339.0,15842.0,16339.0,0.03147536315918842,0.050548857270769076,36.89447948695897,2020/06/08,16089.843993070708,16089.7518030748,13775.010501994597,2314.7413010802024,,,,,
15842.0,16339.0,15842.0,16339.0,0.02612747305101948,0.041893487694323994,36.79604955586865,2020/06/09,16089.87012054376,16089.793696562494,13738.256345926424,2351.537350636071,,,,,
15842.0,16340.0,15842.0,16339.0,0.021698839824239258,0.034737316316750366,36.69786149933725,2020/06/10,16089.891819383583,16089.82843387881,13701.593221743402,2388.2352121354083,,,,,
15842.0,16339.0,15841.975000000002,16339.0,0.01802966191098676,0.028817765101848636,36.59991831365687,2020/06/11,16089.909849045494,16089.857251643913,13665.022121194848,2424.835130449065,,,,,
15842.0,16339.0,15842.0,16339.0,0.014988222150350339,0.023918732167658163,36.50222234991679,2020/06/12,16089.924837267645,16089.88117037608,13628.543817577098,2461.337352798982,,,,,
15842.0,16340.0,15842.0,16339.0,0.012465899741073372,0.019862298540829215,36.404775428302855,2020/06/13,16089.937303167386,16089.901032674621,13592.158904447337,2497.742128227285,,,,,
15842.0,16339.0,15841.0,16339.0,0.010373076471296372,0.01650189462088747,36.307578932205615,2020/06/14,16089.947676243857,16089.917534569242,13555.867827409751,2534.0497071594905,,,,,
15841.0,16339.0,15842.0,16339.0,0.008635777510789922,0.01371673188987188,36.21063388532639,2020/06/15,16089.956312021368,16089.931251301132,13519.670910256315,2570.260341044817,,,,,
15842.0,16339.0,15842.0,16339.0,0.007192911059973994,0.011407211222831393,36.11394101523865,2020/06/16,16089.963504932428,16089.942658512355,13483.568376452298,2606.3742820600555,,,,,
15841.0,16339.0,15842.0,16339.0,0.005994000888676965,0.009491172382695368,36.01750080555939,2020/06/17,16089.969498933317,16089.952149684737,13447.560366819122,2642.391782865615,,,,,
15842.0,16339.0,15842.0,16339.0,0.0049973193199548405,0.007900800585048273,35.921313538989125,2020/06/18,16089.974496252637,16089.960050485322,13411.64695408072,2678.313096404604,,,,,
15842.0,16339.0,15842.0,16340.0,0.004168360890616896,0.006580107135960134,35.825379332515695,2020/06/19,16089.978664613527,16089.966630592458,13375.828154855339,2714.1384757371197,,,,,
15841.0,16339.0,15842.0,16339.0,0.003478570228253375,0.005482830041728448,35.72969816679097,2020/06/20,16089.982143183755,16089.9721134225,13340.103939518589,2749.8681739039107,,,,,
15841.0,16340.0,15842.0,16339.0,0.00290430697168631,0.004570730177874793,35.634269910039166,2020/06/21,16089.985047490727,16089.976684152678,13304.474240338728,2785.50244381395,,,,,
15842.0,16339.0,15842.0,16339.0,0.002426001454296056,0.0038122024252515985,35.53909433759418,2020/06/22,16089.987473492181,16089.980496355103,13268.938958203558,2821.041538151544,,,,,
15842.0,16339.0,15842.0,16339.0,0.002027426027780166,0.0031810785385459894,35.44417114877342,2020/06/23,16089.98950091821,16089.983677433642,13233.497968133324,2856.4857093003175,,,,,
15842.0,16339.0,15841.0,16339.0,0.0016951345187408151,0.002655710553881363,35.349499979851316,2020/06/24,16089.991196052728,16089.986333144196,13198.151123864027,2891.835209280169,,,,,
15842.0,16339.0,15842.0,16340.0,0.0014179730951582314,0.002218168188846903,35.25508041541707,2020/06/25,16089.992614025823,16089.988551312385,13162.8982616168,2927.090289695586,,,,,
15841.0,16339.0,15842.0,16339.0,0.0011866850127262296,0.0018535936433181632,35.160911997545554,2020/06/26,16089.993800710836,16089.990404906028,13127.739203212896,2962.2512016931314,,,,,
15841.0,16339.0,15842.0,16339.0,0.0009935957241395954,0.0015496879423153587,35.06699423311329,2020/06/27,16089.99479430656,16089.99195459397,13092.673758667726,2997.3181959262447,,,,,
