Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove,Official_cure
2020/03/06,163.0,489.0,0.0,0.0,10.0,0.0,153.0,138.0,188.0,446.0,533.0,2020-03-06,163.0,0.0,10.0,8.0
2020/03/07,241.0008114770132,675.971862941427,78.0008114770132,186.97186294142705,10.259031078028338,0.2590310780283378,230.74178039898487,211.0,272.0,626.0,727.0,2020-03-07,206.0,43.0,20.0,18.0
2020/03/08,330.61140488518697,761.9134125643129,89.61059340817377,85.94154962288587,10.634767879654351,0.3757368016260134,319.9766370055326,295.0,367.0,708.0,817.0,2020-03-08,273.0,67.0,21.0,18.0
2020/03/09,420.78999820452486,871.6300859778834,90.17859331933789,109.71667341357045,11.131731424829152,0.49696354517480046,409.65826677969574,381.0,461.0,814.0,930.0,2020-03-09,321.0,48.0,22.0,18.0
2020/03/10,518.3267066223327,1020.7671930994709,97.53670841780786,149.13710712158752,11.755153416497118,0.623421991667966,506.5715532058356,474.0,563.0,959.0,1084.0,2020-03-10,382.0,61.0,24.0,18.0
2020/03/11,629.6722927533507,1214.7818213493001,111.34558613101797,194.01462824982923,12.519305759763308,0.7641523432661899,617.1529869935874,581.0,679.0,1147.0,1284.0,2020-03-11,450.0,68.0,24.0,18.0
2020/03/12,761.3189961900384,1461.4849058848586,131.64670343668774,246.70308453555845,13.447204415226311,0.9278986554630038,747.8717917748121,708.0,816.0,1387.0,1537.0,2020-03-12,590.0,140.0,24.0,18.0
2020/03/13,920.2344398168462,1771.0961577921075,158.91544362680781,309.61125190724897,14.570958593087095,1.1237541778607838,905.6634812237592,861.0,980.0,1689.0,1854.0,2020-03-13,798.0,208.0,28.0,18.0
2020/03/14,1114.2320070720273,2156.362676299528,193.99756725518102,385.26651850742064,15.932664276540102,1.3617056834530068,1098.299342795487,1049.0,1180.0,2066.0,2248.0,2020-03-14,1140.0,342.0,39.0,18.0
2020/03/15,1352.2961350813503,2632.685964986278,238.06412800932299,476.32328868674995,17.585769252372287,1.6531049758321856,1334.710365828978,1281.0,1425.0,2533.0,2734.0,2020-03-15,1372.0,232.0,53.0,18.0
2020/03/16,1644.8661239810378,3218.188170478539,292.5699888996876,585.502205492261,19.596851654061865,2.0110824016895776,1625.269272326976,1566.0,1725.0,3107.0,3330.0,2020-03-16,1543.0,171.0,75.0,20.0
2020/03/17,2004.066459295354,3933.6262197467636,359.20033531431613,715.4380492682244,22.04774864000634,2.4508969859444747,1982.0187106553476,1917.0,2092.0,3811.0,4057.0,2020-03-17,1950.0,407.0,109.0,53.0
