Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove,Official_cure
2020/03/08,265.0,795.0,0.0,0.0,3.0,0.0,262.0,234.0,297.0,740.0,851.0,2020-03-08,265.0,0.0,3.0,0.0
2020/03/09,488.8603808512431,826.0656248491682,223.86038085124312,31.065624849168216,7.736666862218942,4.736666862218942,481.12371398902417,446.0,533.0,770.0,883.0,2020-03-09,321.0,56.0,3.0,0.0
2020/03/10,644.2981772567455,904.1116562873992,155.43779640550235,78.04603143823101,14.698642290287715,6.961975428068773,629.5995349664578,595.0,695.0,846.0,963.0,2020-03-10,382.0,61.0,4.0,0.0
2020/03/11,775.849491999493,1017.0292918430133,131.55131474274754,112.91763555561408,23.318441666403697,8.619799376115981,752.5310503330893,722.0,831.0,955.0,1080.0,2020-03-11,503.0,121.0,5.0,0.0
2020/03/12,906.7518098236991,1161.1621948739366,130.90231782420608,144.13290303092333,33.43861761331252,10.120175946908827,873.3131922103865,848.0,966.0,1095.0,1229.0,2020-03-12,614.0,111.0,5.0,0.0
2020/03/13,1050.2283054913232,1337.2965102407718,143.47649566762414,176.13431536683515,45.12134537332861,11.682727760016085,1005.1069601179946,987.0,1114.0,1266.0,1410.0,2020-03-13,804.0,190.0,10.0,0.0
2020/03/14,1214.977036954167,1548.7391617811368,164.7487314628438,211.44265154036498,58.55981763897104,13.438472265642432,1156.417219315196,1147.0,1284.0,1472.0,1626.0,2020-03-14,959.0,155.0,12.0,0.0
2020/03/15,1407.8523495489985,1800.4062619635033,192.87531259483148,251.66710018236654,74.03919342549024,15.4793757865192,1333.8131561235082,1335.0,1482.0,1718.0,1884.0,2020-03-15,1135.0,176.0,22.0,2.0
2020/03/16,1635.1818423966902,2098.385743564964,227.32949284769165,297.9794816014605,91.92175976177498,17.88256633628474,1543.2600826349153,1556.0,1715.0,2009.0,2189.0,2020-03-16,1413.0,278.0,26.0,2.0
2020/03/17,1903.4114148541794,2449.7047944271108,268.2295724574892,351.3190508621469,112.64393511727202,20.722175355497043,1790.7674797369073,1818.0,1990.0,2353.0,2547.0,2020-03-17,1705.0,292.0,45.0,2.0
2020/03/18,2219.4056876508266,2862.160539934285,315.99427279664724,412.45574550717447,136.7189355040703,24.075000386798266,2082.686752146756,2127.0,2312.0,2758.0,2967.0,2020-03-18,2051.0,346.0,45.0,2.0
2020/03/19,2590.5525286070183,3344.132367533284,371.1468409561917,481.97182759899897,164.74181507681246,28.02287957274217,2425.8107135302057,2491.0,2691.0,3231.0,3458.0,2020-03-19,2460.0,409.0,78.0,2.0
2020/03/20,3024.732247554355,3904.3220044726154,434.1797189473368,560.1896369393312,197.39486435777712,32.653049280964666,2827.3373831965782,2917.0,3133.0,3783.0,4027.0,2020-03-20,2994.0,534.0,108.0,2.0
2020/03/21,3530.1682288563666,4551.381557271591,505.43598130201144,647.0595527989758,235.45182246775047,38.05695810997335,3294.716406388616,3414.0,3647.0,4420.0,4684.0,2020-03-21,3631.0,637.0,138.0,2.0
2020/03/22,4115.154668626315,5293.400178846676,584.986439769948,742.0186215750846,279.77943585158056,44.327613383830084,3835.375232774734,3990.0,4241.0,5151.0,5437.0,2020-03-22,4216.0,585.0,182.0,2.0
2020/03/23,4787.649734822868,6137.233941233235,672.4950661965531,843.8337623865591,331.3348047322423,51.55536888066172,4456.314930090625,4653.0,4924.0,5984.0,6291.0,2020-03-23,4749.0,533.0,215.0,2.0
2020/03/24,5554.725518050161,7087.685196831307,767.075783227293,950.4512555980718,391.1568407046549,59.82203597241261,5163.568677345505,5409.0,5701.0,6923.0,7253.0,2020-03-24,5560.0,811.0,278.0,2.0
2020/03/25,6421.8791146087815,8146.5698128861195,867.1535965586208,1058.8846160548128,460.3501494789881,69.19330877433322,5961.5289651297935,6265.0,6580.0,7970.0,8324.0,2020-03-25,6440.0,880.0,363.0,6.0
2020/03/26,7392.23222575834,9311.752457625376,970.3531111495586,1165.1826447392568,540.0598450658367,79.70969558684862,6852.172380692504,7224.0,7561.0,9123.0,9501.0,2020-03-26,7469.0,1029.0,441.0,6.0
2020/03/27,8465.679196707093,10576.277069612619,1073.446970948753,1264.5246119872427,631.4363698238415,91.37652475800473,7834.242826883252,8286.0,8646.0,10375.0,10778.0,2020-03-27,8647.0,1178.0,553.0,6.0
2020/03/28,9638.080481140347,11927.759510417245,1172.4012844332537,1351.482440804626,735.5903654716335,104.15399564779204,8902.490115668714,9446.0,9831.0,11714.0,12142.0,2020-03-28,9819.0,1172.0,646.0,6.0
2020/03/29,10900.632268146433,13348.225536019518,1262.5517870060867,1420.4660256022726,853.5390627835626,117.9486973119291,10047.093205362871,10697.0,11106.0,13123.0,13575.0,2020-03-29,10930.0,1111.0,1025.0,253.0
2020/03/30,11817.0,14814.551681200744,916.3677318535665,1466.3261451812268,1118.0,264.4609372164374,10699.0,11604.0,12031.0,14576.0,15054.0,2020-03-30,11817.0,887.0,1118.0,253.0
2020/03/31,13380.124581549899,16268.00227785149,1563.1245815498987,1453.4505966507459,1260.1983095363116,142.19830953631163,12119.926272013587,13154.0,13607.0,16018.0,16518.0,,,,,
2020/04/01,14901.671386335836,17731.195207514782,1521.5468047859376,1463.1929296632916,1419.700751718527,159.50244218221542,13481.97063461731,14663.0,15141.0,17471.0,17993.0,,,,,
2020/04/02,16393.556720878583,19164.1302035043,1491.885334542747,1432.934995989519,1595.8806563676512,176.17990464912418,14797.676064510932,16144.0,16645.0,18893.0,19436.0,,,,,
2020/04/03,17847.99063059998,20534.283904005246,1454.433909721396,1370.153700500945,1788.129557670765,192.24890130311383,16059.861072929214,17587.0,18110.0,20254.0,20816.0,,,,,
2020/04/04,19248.513001333762,21816.001336868594,1400.5223707337827,1281.7174328633482,1995.6878253339707,207.5582676632057,17252.82517599979,18977.0,19521.0,21526.0,22105.0,,,,,
2020/04/05,20576.447262012494,22990.699373848955,1327.9342606787322,1174.6980369803605,2217.5826426409785,221.89481730700777,18358.864619371518,20295.0,20857.0,22694.0,23289.0,,,,,
2020/04/06,21814.77095136945,24046.968275858166,1238.3236893569556,1056.2689020092112,2452.629274749551,235.04663210857234,19362.1416766199,21526.0,22104.0,23744.0,24351.0,,,,,
2020/04/07,22950.328394248914,24980.19392374805,1135.5574428794644,933.2256478898853,2699.4693102531983,246.8400355036474,20250.859083995718,22654.0,23248.0,24670.0,25291.0,,,,,
2020/04/08,23974.854868554692,25791.663660314498,1024.5264743057778,811.469736566447,2956.6280840682934,257.1587738150952,21018.2267844864,23672.0,24279.0,25478.0,26107.0,,,,,
2020/04/09,24885.11986618971,26487.308113289193,910.2649976350185,695.644452974695,3222.578319971054,265.9502359027606,21662.541546218657,24577.0,25195.0,26169.0,26807.0,,,,,
2020/04/10,25682.451908496092,27076.299964634356,797.3320423063815,588.991851345163,3495.800661501678,273.2223415306239,22186.651246994414,25369.0,25998.0,26755.0,27400.0,,,,,
2020/04/11,26371.88855978378,27569.713504876683,689.4366512876877,493.41354024232714,3774.8350078397966,279.03434633811867,22597.053551943984,26053.0,26690.0,27245.0,27895.0,,,,,
2020/04/12,26961.165938494985,27979.386283936514,589.2773787112055,409.67277905983065,4058.319495383293,283.48448754349647,22902.84644311169,26640.0,27283.0,27652.0,28308.0,,,,,
2020/04/13,27459.714658596615,28317.05025501024,498.54872010162944,337.6639710737254,4345.01638649428,286.6968911109866,23114.698272102334,27135.0,27785.0,27988.0,28648.0,,,,,
2020/04/14,27877.774410720074,28593.73897775969,418.0597521234595,276.6887227494517,4633.825854667991,288.80946817371114,23243.948556052084,27551.0,28205.0,28263.0,28926.0,,,,,
2020/04/15,28225.68533046526,28819.43708462882,347.91091974518713,225.6981068691275,4923.789700573829,289.96384590583784,23301.895629891435,27898.0,28555.0,28487.0,29153.0,,,,,
2020/04/16,28513.371862069154,29002.91989840402,287.68653160389294,183.48281377520107,5214.087445201908,290.2977446280793,23299.284416867245,28183.0,28845.0,28669.0,29337.0,,,,,
2020/04/17,28750.00569091807,29151.728213461676,236.6338288489169,148.80831505765673,5504.027216998209,289.9397717963011,23245.978473919862,28418.0,29082.0,28817.0,29487.0,,,,,
2020/04/18,28943.818398440722,29272.229753828913,193.81270752265118,120.50154036723688,5793.033542707062,289.0063257088532,23150.784855733662,28611.0,29278.0,28938.0,29608.0,,,,,
2020/04/19,29102.028880209473,29369.72924491821,158.21048176875047,97.4994910892965,6080.63371829325,287.600175586188,23021.39516191622,28768.0,29437.0,29034.0,29706.0,,,,,
2020/04/20,29230.851733485404,29448.599833747605,128.82285327593127,78.87058882939527,6366.443985208193,285.810266914943,22864.40774827721,28897.0,29566.0,29112.0,29785.0,,,,,
2020/04/21,29335.557686009568,29512.417938013718,104.70595252416388,63.81810426611264,6650.1563311461305,283.71234593793724,22685.40135486344,29000.0,29672.0,29177.0,29851.0,,,,,
2020/04/22,29420.56338811966,29564.090831589623,85.00570211009108,51.67289357590562,6931.52640434367,281.37007319753957,22489.03698377599,29084.0,29757.0,29227.0,29901.0,,,,,
2020/04/23,29489.534046760986,29605.97139889828,68.97065864132674,41.88056730865719,7210.362782814104,278.8363784704343,22279.171263946882,29153.0,29827.0,29270.0,29944.0,,,,,
2020/04/24,29545.487726104548,29639.957883450126,55.95367934356182,33.98648455184593,7486.517666455971,276.15488364186695,22058.970059648578,29209.0,29883.0,29302.0,29979.0,,,,,
2020/04/25,29590.894347982423,29667.57852570126,45.406621877875295,27.620642251134996,7759.878947984534,273.36128152856236,21831.01539999789,29255.0,29928.0,29331.0,30005.0,,,,,
2020/04/26,29627.76555746332,29690.06213434838,36.87120948089796,22.483608647118672,8030.363553594718,270.4846056101842,21597.402003868603,29290.0,29966.0,29353.0,30028.0,,,,,
2020/04/27,29657.733757649854,29708.396177747938,29.968200186533068,18.33404339955814,8297.911912197973,267.5483586032551,21359.82184545188,29321.0,29996.0,29371.0,30047.0,,,,,
2020/04/28,29682.120027060337,29723.374150337444,24.386269410482782,14.977972589505953,8562.483402391674,264.5714901937008,21119.636624668663,29345.0,30020.0,29386.0,30062.0,,,,,
2020/04/29,29701.99147020954,29735.63392686316,19.871443149204424,12.259776525716006,8824.052630126716,261.56922773504266,20877.938840082825,29365.0,30040.0,29398.0,30074.0,,,,,
