Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/03/12,52.0,156.0,0.0,0.0,4.0,0.0,48.0,38.0,67.0,132.0,181.0,2020-03-12,52.0,0.0,2.0,4.0
2020/03/13,75.5881800969734,161.1011559053391,23.588180096973403,5.1011559053391125,5.3021431393921095,1.3021431393921095,70.28603695758129,59.0,93.0,137.0,187.0,2020-03-13,64.0,12.0,2.0,7.0
2020/03/14,96.12578725843332,175.17283113745918,20.537607161459917,14.071675232120072,7.047610806508039,1.7454676671159293,89.07817645192529,77.0,116.0,150.0,202.0,2020-03-14,111.0,47.0,2.0,10.0
2020/03/15,116.16156956214938,197.26280184192063,20.03578230371606,22.08997070446145,9.190096585990903,2.142485779482864,106.97147297615848,96.0,138.0,170.0,225.0,2020-03-15,140.0,29.0,2.0,13.0
2020/03/16,137.57441945380305,227.32053780564877,21.412849891653664,30.057735963728135,11.731424611773095,2.5413280257821924,125.84299484202995,115.0,161.0,198.0,257.0,2020-03-16,142.0,2.0,2.0,14.0
2020/03/17,161.89350770892304,265.95849721024507,24.319088255119993,38.6379594045963,14.70975178542173,2.978327173648635,147.1837559235013,137.0,187.0,235.0,298.0,2020-03-17,187.0,45.0,4.0,18.0
2020/03/18,190.50679044188064,314.3169248297406,28.6132827329576,48.35842761949556,18.19363841859716,3.4838866331754303,172.31315202328346,164.0,218.0,280.0,349.0,2020-03-18,202.0,15.0,7.0,24.0
2020/03/19,224.80086350384408,373.99183187460227,34.294073061963445,59.67490704486164,22.279950845000826,4.086312426403666,202.52091265884326,196.0,255.0,336.9750000000022,412.0,2020-03-19,217.0,15.0,8.0,25.0
2020/03/20,266.25812075894765,446.998136036464,41.45725725510357,73.00630416186175,27.094334775305605,4.814383930304778,239.16378598364204,235.0,299.0,406.0,489.0,2020-03-20,230.0,13.0,8.0,26.0
2020/03/21,316.52602509101666,535.7468154634236,50.26790433206901,88.74867942695954,32.7934576399038,5.699122864598195,283.73256745111286,282.0,352.0,491.0,582.0,2020-03-21,307.0,77.0,13.0,32.0
2020/03/22,377.4656938408992,643.0179009684921,60.939668749882514,107.27108550506853,39.56846831109832,6.775010671194522,337.89722552980083,340.0,416.0,594.0,693.0,2020-03-22,380.0,73.0,17.0,42.0
2020/03/23,451.1814198816456,771.9114483993293,73.7157260407464,128.8935474308372,47.649227028762866,8.080758717664544,403.5321928528827,410.0,493.0,718.0,827.0,2020-03-23,462.0,82.0,18.0,51.0
2020/03/24,540.0282892186515,925.7574660995915,88.8468693370059,153.84601770026222,57.30885327471227,9.659626245949404,482.71943594393923,495.0,586.0,867.0,986.0,2020-03-24,552.0,90.0,20.0,55.0
2020/03/25,636.0,1107.9644882045086,95.97171078134852,182.2070221049171,64.0,6.69114672528773,572.0,587.0,686.0,1043.0,1174.0,2020-03-25,636.0,84.0,26.0,64.0
2020/03/26,766.6865367610982,1332.9382280104983,130.68653676109818,224.97373980598968,77.74288898390581,13.742888983905814,688.9436477771924,713.0,821.0,1262.0,1405.0,,,,,
2020/03/27,922.3663255691529,1592.6050721159245,155.6797888080547,259.6668441054262,94.28109017375282,16.538201189847,828.0852353954001,863.0,982.0,1515.0,1671.0,,,,,
2020/03/28,1105.4498477960717,1888.87951066112,183.08352222691883,296.2744385451956,114.12094459665853,19.839854422905717,991.3289031994132,1041.0,1171.0,1804.0,1975.0,,,,,
2020/03/29,1318.052299369019,2222.005087030585,212.6024515729473,333.12557636946485,137.80738472804788,23.686440131389347,1180.244914640971,1248.0,1389.0,2130.0,2315.0,,,,,
2020/03/30,1561.6288650710794,2590.056649685942,243.5765657020604,368.051562655357,165.91282115728924,28.105436429241365,1395.7160439137901,1485.0,1640.0,2491.0,2690.0,,,,,
2020/03/31,1836.5875034247772,2988.5257572196906,274.9586383536978,398.4691075337487,199.01808812461448,33.105266967325235,1637.5694153001627,1753.0,1921.0,2882.0,3096.0,,,,,
2020/04/01,2141.919293109312,3410.133701947554,305.3317896845349,421.60794472786347,237.68552425860642,38.66743613399194,1904.2337688507057,2052.0,2233.0,3296.0,3525.0,,,,,
2020/04/02,2474.9100038211254,3845.014242317513,332.99071071181334,434.8805403699589,282.4253957527354,44.739871494129005,2192.48460806839,2378.0,2573.0,3724.0,3967.0,,,,,
2020/04/03,2831.0093485678394,4281.35579213986,356.099344746714,436.3415498223467,333.6583767890585,51.232981036323054,2497.350971778781,2727.0,2936.0,4154.0,4410.0,,,,,
2020/04/04,3203.924914068706,4706.482332777313,372.9155655008667,425.1265406374532,391.6783596201278,58.01998283106934,2812.2465544485785,3093.0,3315.0,4572.0,4842.0,,,,,
2020/04/05,3585.9729599894126,5108.214862023007,382.0480459207065,401.7325292456944,456.62087161740703,64.94251199727921,3129.3520883720057,3469.0,3704.0,4968.0,5249.0,,,,,
2020/04/06,3968.6608055064034,5476.238259930983,382.6878455169908,368.0233979079758,528.4423779502039,71.82150633279684,3440.2184275561995,3845.0,4092.0,5331.0,5622.0,,,,,
2020/04/07,4343.414415179724,5803.167061562318,374.75360967332017,326.92880163133486,606.9144022080608,78.4720242578569,3736.5000129716627,4214.0,4473.0,5654.0,5953.0,,,,,
2020/04/08,4702.322739917005,6085.081037808679,358.90832473728096,281.913976246361,691.6339378329163,84.71953562485555,4010.6888020840884,4568.0,4837.0,5933.0,6238.0,,,,,
2020/04/09,5038.765480203095,6321.461033728071,336.44274028609016,236.37999591939206,782.0486845399943,90.41474670707794,4256.7167956631,4900.0,5178.0,6166.0,6478.0,,,,,
2020/04/10,5347.825520053482,6514.625829706982,309.0600398503875,193.16479597891066,877.4931048582878,95.44442031829351,4470.332415195195,5205.0,5492.0,6357.0,6673.0,,,,,
2020/04/11,5626.446154983375,6668.881730277943,278.62063492989273,154.25590057096088,977.2298640157566,99.73675915746878,4649.216290967618,5480.0,5774.0,6509.0,6830.0,,,,,
2020/04/12,5873.353366539653,6789.61704051749,246.90721155627762,120.73531023954729,1080.4911415429385,103.26127752718196,4792.862224996714,5724.0,6024.0,6629.0,6952.0,,,,,
2020/04/13,6088.805361261458,6882.519527523856,215.45199472180502,92.90248700636585,1186.5153597160697,106.0242181731312,4902.290001545388,5936.0,6242.0,6720.0,7046.0,,,,,
2020/04/14,6274.2475878157375,6953.008779199271,185.44222655427984,70.48925167541529,1294.5765356116538,108.06117589558403,4979.671052204084,6119.0,6430.0,6790.0,7117.0,,,,,
2020/04/15,6431.944960460262,7005.896759725885,157.69737264452488,52.88798052661423,1404.0051778260693,109.4286422144155,5027.939782634193,6275.0,6590.0,6842.0,7171.0,,,,,
2020/04/16,6564.643583279339,7045.239776860023,132.69862281907626,39.34301713413788,1514.2010258117982,110.19584798572896,5050.442557467541,6406.0,6724.0,6881.0,7210.0,,,,,
2020/04/17,6675.291610245606,7074.32526077583,110.64802696626703,29.085483915807345,1624.6388072618474,110.43778145004921,5050.652802983758,6516.0,6836.0,6910.0,7239.0,,,,,
2020/04/18,6766.829564809291,7095.738371549064,91.53795456368516,21.41311077323371,1734.8685844470485,110.2297771852011,5031.9609803622425,6606.0,6929.0,6931.0,7261.0,,,,,
2020/04/19,6842.0471830049855,7111.465556071545,75.21761819569474,15.727184522480457,1844.512294827974,109.64371038092554,4997.534888177011,6680.0,7005.0,6946.0,7277.0,,,,,
2020/04/20,6903.496627180955,7123.006600825105,61.4494441759698,11.541044753560527,1953.2579046669896,108.74560983901551,4950.2387225139655,6741.0,7067.0,6958.0,7289.0,,,,,
2020/04/21,6953.449332422855,7131.479058206533,49.95270524189982,8.472457381428285,2060.852309340034,107.59440467304444,4892.597023082821,6790.0,7117.0,6966.0,7297.0,,,,,
2020/04/22,6993.884081423409,7137.707717316346,40.43474900055389,6.228659109812725,2167.0938139420314,106.24150460199735,4826.790267481378,6831.0,7158.0,6973.0,7304.0,,,,,
2020/04/23,7026.495722188274,7142.297235368779,32.611640764865115,4.58951805243305,2271.8247596427877,104.73094570075637,4754.670962545486,6863.0,7191.0,6977.0,7309.0,,,,,
2020/04/24,7052.716259176949,7145.6889621946575,26.22053698867512,3.3917268258783224,2374.9246450160927,103.09988537330491,4677.791614160857,6889.0,7218.0,6980.0,7312.0,,,,,
2020/04/25,7073.74229173043,7148.204253433037,21.026032553480945,2.5152912383791772,2476.303929997504,101.37928498141127,4597.438361732926,6909.0,7239.0,6983.0,7314.0,,,,,
2020/04/26,7090.564675302901,7150.076875202421,16.822383572471153,1.8726217693847502,2575.8985972021474,99.59466720464343,4514.666078100754,6926.0,7256.0,6985.0,7316.0,,,,,
2020/04/27,7103.997768913754,7151.476926821615,13.433093610852666,1.4000516191936185,2673.665471234393,97.7668740322456,4430.332297679361,6939.0,7269.0,6986.0,7318.0,,,,,
2020/04/28,7114.706714196616,7152.528338208056,10.70894528286226,1.051411386441032,2769.578252347872,95.91278111347901,4345.128461848744,6950.0,7280.0,6987.0,7319.0,,,,,
2020/04/29,7123.231953364154,7153.321587079021,8.52523916753762,0.7932488709648169,2863.6241965825275,94.04594423465551,4259.607756781626,6958.0,7289.0,6988.0,7319.0,,,,,
2020/04/30,7130.0106890169845,7153.922905258003,6.778735652830619,0.6013181789821829,2955.8013648494953,92.17716826696778,4174.209324167489,6965.0,7296.0,6989.0,7320.0,,,,,
2020/05/01,7135.395301070355,7154.380929270039,5.384612053370802,0.4580240120358212,3046.116362253385,90.31499740388972,4089.2789388169704,6970.0,7302.0,6989.0,7320.0,,,,,
2020/05/02,7139.668915651764,7154.73150098363,4.273614581408765,0.35057171359130734,3134.5824931393886,88.46613088600361,4005.0864225123755,6974.0,7306.0,6989.0,7321.0,,,,,
2020/05/03,7143.058411091812,7155.001134344918,3.38949544004754,0.26963336128756055,3221.2182643021742,86.63577116278566,3921.8401467896374,6978.0,7310.0,6990.0,7322.0,,,,,
2020/05/04,7145.745180657621,7155.209522151411,2.6867695658093,0.20838780649319233,3306.046176841688,84.82791253951382,3839.699003815933,6981.0,7312.0,6990.0,7321.0,,,,,
2020/05/05,7147.873970971078,7155.3713521633645,2.1287903134571025,0.1618300119534979,3389.091755413515,83.04557857182681,3758.782215557563,6982.0,7314.0,6990.0,7321.0,,,,,
2020/05/06,7149.560094660154,7155.497626203009,1.6861236890763394,0.12627403964415862,3470.3827714225627,81.29101600904778,3679.1773232375917,6984.0,7316.0,6991.0,7322.0,,,,,
2020/05/07,7150.895285831011,7155.5966211269315,1.3351911708568878,0.09899492392287357,3549.948623779185,79.56585235662214,3600.9466620518265,6986.0,7317.0,6991.0,7322.0,,,,,
2020/05/08,7151.952433151443,7155.674591156222,1.0571473204317954,0.07797002929055452,3627.8198470825278,77.87122330334296,3524.1325860689153,6987.0,7318.0,6990.0,7322.0,,,,,
2020/05/09,7152.789391764865,7155.736283004324,0.8369586134222118,0.06169184810187289,3704.027722449614,76.20787536708622,3448.7616693152513,6988.0,7319.0,6990.0,7322.0,,,,,
2020/05/10,7153.452043914234,7155.785315122969,0.6626521493690234,0.049032118645300216,3778.6039707454975,74.57624829588349,3374.848073168737,6988.0,7320.0,6991.0,7322.0,,,,,
2020/05/11,7153.9767499118325,7155.824457972732,0.5247059975981756,0.03914284976235649,3851.5805117771306,72.97654103163313,3302.396238134702,6989.0,7320.0,6990.0,7322.0,,,,,
2020/05/12,7154.392306518518,7155.855841971728,0.4155566066856409,0.0313839989967164,3922.9892761540477,71.40876437691713,3231.4030303644704,6989.0,7320.0,6990.0,7322.0,,,,,
2020/05/13,7154.721508742819,7155.881112402354,0.329202224301298,0.025270430625823792,3992.862059103475,69.87278294942735,3161.8594496393443,6990.0,7321.0,6991.0,7322.0,,,,,
2020/05/14,7154.982393395028,7155.901545295997,0.2608846522089152,0.020432893642464478,4061.230407628669,68.36834852519405,3093.751985766359,6990.0,7321.0,6991.0,7322.0,,,,,
2020/05/15,7155.189227768447,7155.918134447503,0.2068343734190421,0.016589151506195776,4128.125534133384,66.89512650471443,3027.063693635064,6990.0,7322.0,6991.0,7322.0,,,,,
