Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/03/08,30.0,180.0,0.0,0.0,0.0,0.0,30.0,20.0,41.0,154.0,207.0,2020-03-08,30.0,0.0,0.0
2020/03/09,102.9330673235109,190.91265510257165,72.9330673235109,10.912655102571648,0.033721953421837994,0.033721953421837994,102.89934537008907,83.0,123.0,164.0,218.0,2020-03-09,30.0,0.0,0.0
2020/03/10,151.01112736349825,217.82678867352277,48.07806003998735,26.914133570951122,0.09564687988062533,0.06192492645878733,150.9154804836176,127.0,175.0,189.0,247.0,2020-03-10,41.0,11.0,0.0
2020/03/11,192.278898190215,256.6658814593654,41.26777082671674,38.83909278584261,0.17866798740238232,0.083021107521757,192.1002302028126,166.0,220.0,226.0,289.0,2020-03-11,59.0,18.0,0.0
2020/03/12,235.33539459666775,306.81438315473406,43.056496406452766,50.14850169536868,0.2817955331225704,0.10312754572018806,235.0535990635452,206.0,266.0,273.0,342.0,2020-03-12,59.0,0.0,0.0
2020/03/13,284.91909281831335,369.3834108027671,49.58369822164559,62.56902764803306,0.4071228963504911,0.1253273632279207,284.5119699219629,252.0,319.0,332.0,408.0,2020-03-13,112.0,53.0,1.0
2020/03/14,344.3393076194627,446.5123378656457,59.42021480114937,77.12892706287857,0.5586257727126515,0.15150287636216037,343.78068184675004,309.0,381.0,406.0,488.0,2020-03-14,169.0,57.0,2.0
2020/03/15,416.5612367909668,541.1213348519997,72.22192917150409,94.60899698635399,0.7417664296352322,0.18314065692258075,415.8194703613316,377.0,457.0,496.0,587.0,2020-03-15,245.0,76.0,2.0
2020/03/16,504.71958532139286,656.8623105329585,88.15834853042605,115.74097568095885,0.963465098877709,0.22169866924247683,503.75612022251516,461.0,549.0,607.0,708.0,2020-03-16,331.0,86.0,3.0
2020/03/17,612.3921462159728,798.1578616711481,107.67256089457999,141.29555113818958,1.2322533718638324,0.2687882729861234,611.159892844109,564.0,661.0,743.0,854.0,2020-03-17,448.0,117.0,4.0
2020/03/18,743.7735721497378,970.2771646597313,131.38142593376494,172.11930298858317,1.5585322089775564,0.32627883711372396,742.2150399407602,691.0,798.0,910.0,1032.0,2020-03-18,448.0,0.0,5.0
2020/03/19,903.8061085807042,1179.4206766708598,160.0325364309664,209.14351201112856,1.9549021303759164,0.39636992139836,901.8512064503283,845.0,963.0,1113.0,1247.0,2020-03-19,785.0,337.0,6.0
2020/03/20,1098.2860392558623,1432.7918709290498,194.47993067515813,253.37119425818992,2.4365503158314032,0.4816481854554868,1095.8494889400308,1034.0,1164.0,1359.0,1508.0,2020-03-20,1020.0,235.0,10.0
2020/03/21,1333.9452318686233,1738.632471807647,235.659192612761,305.84060087859734,3.021683265705789,0.5851329498743856,1330.9235486029174,1263.0,1406.0,1657.0,1821.0,2020-03-21,1280.0,260.0,16.0
