Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/03/05,259.0,1036.0,0.0,0.0,5.0,0.0,254.0,228.0,291.0,973.0,1100.0,2020-03-05,259.0,0.0,2.0,5.0
2020/03/06,1029.1500671980205,1181.2753477571357,770.1500671980205,145.2753477571357,23.80042047254159,18.80042047254159,1005.3496467254788,967.0,1093.0,1114.0,1249.0,2020-03-06,400.0,141.0,2.0,7.0
2020/03/07,1319.0037912692158,1444.5871827158223,289.8537240711953,263.31183495868663,52.87005692744149,29.0696364548999,1266.1337343417742,1248.0,1391.0,1371.0,1520.0,2020-03-07,500.0,100.0,30.0,40.0
2020/03/08,1630.675410401782,1784.1325222904982,311.6716191325663,339.54533957467584,88.5425771319596,35.672520204518115,1542.1328332698224,1552.0,1710.0,1702.0,1867.0,2020-03-08,673.0,173.0,30.0,47.0
2020/03/09,2020.0410175777388,2213.2812602420718,389.3656071759567,429.1487379515736,132.0889516116571,43.546374479697505,1887.9520659660816,1932.0,2108.0,2121.0,2306.0,2020-03-09,1073.0,400.0,32.0,60.0
2020/03/10,2510.355993082397,2753.472901179547,490.3149755046584,540.1916409374753,185.5674151144996,53.47846350284249,2324.7885779678977,2413.0,2609.0,2651.0,2857.0,2020-03-10,1695.0,622.0,32.0,67.0
2020/03/11,3126.1136070359516,3430.8613237169375,615.7576139535545,677.3884225373904,251.57033411725814,66.00291900275855,2874.5432729186937,3017.0,3236.0,3316.0,3546.0,2020-03-11,2277.0,582.0,183.0,238.0
2020/03/12,3896.1338366226173,4276.321247564423,770.0202295866657,845.4599238474857,333.29422212997747,81.72388801271933,3562.83961449264,3774.0,4019.0,4148.0,4405.0,2020-03-12,3004.0,727.0,189.0,273.0
2020/03/13,4853.914418146934,5325.398941451532,957.7805815243164,1049.0776938871086,434.63965584492615,101.34543371494868,4419.274762302008,4718.0,4992.0,5183.0,5469.0,2020-03-13,4209.0,1205.0,193.0,326.0
2020/03/14,6037.30813202605,6617.702350366594,1183.3937138791161,1292.3034089150624,560.3085590183716,125.66890317344547,5476.999573007678,5885.0,6190.0,6459.0,6777.0,2020-03-14,6043.0,1834.0,517.0,708.0
2020/03/15,7487.427462749795,8195.39715862616,1450.1193307237454,1577.6948082595654,715.881738085927,155.57317906755543,6771.545724663868,7318.0,7657.0,8019.0,8373.0,2020-03-15,7753.0,1710.0,571.0,859.0
2020/03/16,9246.45724831427,10100.460328879646,1759.029785564474,1905.0631702534865,907.8538090510524,191.97207096512534,8338.603439263217,9059.0,9435.0,9904.0,10297.0,2020-03-16,9407.0,1654.0,571.0,880.0
2020/03/17,11354.056257918832,12370.399625808757,2107.5990096045625,2269.939296929111,1143.594944656462,235.74113560540968,10210.461313262369,11146.0,11563.0,12153.0,12589.0,2020-03-17,11297.0,1890.0,530.0,1021.0
