Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
4905.0,5183.0,1192.0,1331.0,0.0,0.0,0.0,2020/02/26,5044.0,1261.0,1226.0,35.0,2020-02-26,1261.0,22.0,0.0,35.0
4955.0,5235.0,2212.0,2401.0,50.75737257963647,1044.7585495975572,4.743962541622359,2020/02/27,5094.7573725796365,2305.7585495975572,2266.014587055935,39.74396254162236,2020-02-27,2022.0,22.0,761.0,35.0
5087.0,5371.0,2981.0,3199.0,134.04844011957448,784.2163414693896,7.150484678299009,2020/02/28,5228.805812699211,3089.974891066947,3043.0804438470254,46.89444721992137,2020-02-28,2337.0,22.0,315.0,35.0
5282.0,5570.0,3586.0,3825.0,197.01915000735153,615.0312264899476,8.984394624382979,2020/02/29,5425.8249627065625,3705.0061175568944,3649.1272757125903,55.87884184430435,2020-02-29,3526.0,27.0,1189.0,44.0
5525.0,5820.0,4086.0,4340.0,246.6389027083851,507.5822074780999,10.449157892127204,2020/03/01,5672.463865414948,4212.588325034994,4146.260325298563,66.32799973643155,2020-03-01,3736.0,30.0,210.0,47.0
5809.0,6112.0,4522.0,4789.0,287.656759759313,441.9637670041193,11.682376479924073,2020/03/02,5960.120625174261,4654.552092039114,4576.541715822758,78.01037621635562,2020-03-02,4335.0,30.0,599.0,58.0
6128.0,6439.0,4920.0,5199.0,323.2911353119471,404.81106216045373,12.777408180284013,2020/03/03,6283.411760486208,5059.363154199567,4968.5753698029275,90.78778439663964,2020-03-03,5186.0,30.0,851.0,58.0
6480.0,6799.0,5302.0,5592.0,355.71405759324443,387.15588980459506,13.797910973783843,2020/03/04,6639.125818079452,5446.519044004162,5341.933348633739,104.58569537042348,2020-03-04,5621.0,41.0,435.0,76.0
6862.0,7190.0,5680.0,5980.0,386.3852613230347,382.98215895011344,14.787613739262468,2020/03/05,7025.511079402487,5829.501202954276,5710.12789384459,119.37330910968595,2020-03-05,6088.0,41.0,467.0,81.0
7273.0,7611.0,6063.0,6373.0,416.28002130257755,388.2538445525388,15.776873857417343,2020/03/06,7441.791100705064,6217.755047506815,6082.604864539711,135.1501829671033,2020-03-06,6593.0,108.0,505.0,150.0
7714.0,8063.0,6459.0,6778.0,446.0432262083841,400.2614060273536,16.78707307535933,2020/03/07,7887.834326913448,6618.016453534168,6466.079197491706,151.93725604246262,2020-03-07,7041.0,118.0,448.0,162.0
8185.0,8544.0,6871.0,7200.0,476.09290215476267,417.18237594640505,17.833560375726307,2020/03/08,8363.927229068211,7035.198829480573,6865.428013062385,169.77081641818893,2020-03-08,7314.0,118.0,273.0,168.0
8686.0,9056.0,7304.0,7643.0,506.68935498711835,437.7858981038189,18.92761764182697,2020/03/09,8870.61658405533,7472.984727584392,7284.286293524377,188.6984340600159,2020-03-09,7478.0,118.0,164.0,171.0
9219.0,9600.0,7761.0,8109.0,537.9810789243311,461.2338757737298,20.077768297670843,2020/03/10,9408.59766297966,7934.218603358122,7725.442401000435,208.77620235768674,2020-03-10,7513.0,247.0,35.0,301.0
9219.0,9599.0,7883.0,8235.0,0.0,124.77432914878682,228.71370420335475,2020/03/11,9408.59766297966,8058.992932506909,7621.503025945867,437.4899065610415,2020-03-11,7755.0,288.0,242.0,348.0
9219.0,9599.0,7996.0,8351.0,0.0,114.2148906992661,225.5035953602544,2020/03/12,9408.59766297966,8173.207823206175,7510.214321284879,662.9935019212959,2020-03-12,7979.0,333.0,224.0,400.0
9219.0,9599.0,8100.0,8456.0,-1.8189894035458565e-12,104.54907264562553,222.09106469374444,2020/03/13,9408.597662979659,8277.7568958518,7392.672329236761,885.0845666150403,2020-03-13,8086.0,510.0,107.0,582.0
9219.0,9600.0,8195.0,8553.0,1.8189894035458565e-12,95.70122803138656,218.50717611242476,2020/03/14,9408.59766297966,8373.458123883187,7269.866381155722,1103.591742727465,2020-03-14,8162.0,714.0,76.0,786.0
9219.0,9599.0,8282.0,8642.0,0.0,87.60219820591556,214.77991242455596,2020/03/15,9408.59766297966,8461.060322089103,7142.6886669370815,1318.371655152021,2020-03-15,8236.0,834.0,74.0,909.0
9219.0,9599.0,8361.0,8723.0,0.0,80.18856544841583,210.93454499374366,2020/03/16,9408.59766297966,8541.248887537518,7011.942687391754,1529.3062001457647,2020-03-16,8320.0,1137.0,84.0,1219.0
9219.0,9599.0,8433.0,8797.0,0.0,73.40233533095488,206.99379439192444,2020/03/17,9408.59766297966,8614.651222868473,6878.351228330785,1736.2999945376891,2020-03-17,8413.0,1401.0,93.0,1484.0
9219.0,9599.0,8499.0,8865.0,0.0,67.1904041238904,202.9780930102529,2020/03/18,9408.59766297966,8681.841626992364,6742.563539444422,1939.278087547942,2020-03-18,8565.0,1540.0,152.0,1631.0
9218.0,9599.0,8561.0,8927.0,0.0,61.50421492196256,198.90575513995736,2020/03/19,9408.59766297966,8743.345841914326,6605.161999226427,2138.1838426878994,2020-03-19,8652.0,1947.0,87.0,2040.0
9219.0,9599.0,8616.0,8983.0,0.0,56.299192686412425,194.79325612797493,2020/03/20,9408.59766297966,8799.645034600739,6466.667935784864,2332.9770988158743,2020-03-20,8799.0,2233.0,147.0,2333.0
9219.0,9600.0,8667.0,9036.0,0.0,51.53468911246091,190.65525856460454,2020/03/21,9408.59766297966,8851.1797237132,6327.547366332721,2523.632357380479,2020-03-21,8897.0,2612.0,98.0,2714.0
9281.0,9662.0,8776.0,9147.0,62.646888848699746,109.82027628680044,489.3676426195211,2020/03/22,9471.24455182836,8961.0,5948.0,3013.0,2020-03-22,8961.0,2909.0,64.0,3013.0
9281.0,9662.0,8819.0,9190.0,0.0,43.18116765539344,175.30030950584023,2020/03/23,9471.24455182836,9004.181167655393,5815.880858149553,3188.3003095058402,2020-03-23,9037.0,3507.0,76.0,3627.0
9281.0,9663.0,8858.0,9231.0,0.0,39.52682739805823,171.3661309461845,2020/03/24,9471.24455182836,9043.707995053452,5684.0415546014265,3359.6664404520247,,,,,
9281.0,9663.0,8893.0,9267.0,0.0,36.181739313989965,167.4447918647179,2020/03/25,9471.24455182836,9079.889734367442,5552.778502050699,3527.1112323167426,,,,,
9281.0,9663.0,8927.0,9300.0,0.0,33.11972536175563,163.5446185168389,2020/03/26,9471.24455182836,9113.009459729197,5422.353608895615,3690.6558508335816,,,,,
9281.0,9663.0,8956.0,9332.0,0.0,30.3168606878844,159.6729287803114,2020/03/27,9471.24455182836,9143.326320417082,5292.997540803189,3850.328779613893,,,,,
9281.0,9662.0,8984.0,9359.0,1.8189894035458565e-12,27.751193809550387,155.83617646230778,2020/03/28,9471.244551828362,9171.077514226632,5164.912558150431,4006.1649560762007,,,,,
9281.0,9663.0,9009.0,9385.0,-1.8189894035458565e-12,25.402655012047035,152.03999830209614,2020/03/29,9471.24455182836,9196.480169238679,5038.275214860382,4158.204954378297,,,,,
9281.0,9662.0,9032.0,9408.0,0.0,23.252865601330996,148.28930514165222,2020/03/30,9471.24455182836,9219.73303484001,4913.238775320061,4306.494259519949,,,,,
9281.0,9662.0,9053.0,9430.0,1.8189894035458565e-12,21.285020715477003,144.58833833503286,2020/03/31,9471.244551828362,9241.018055555487,4789.935457700505,4451.082597854982,,,,,
9281.0,9662.0,9072.0,9450.0,0.0,19.483700279191908,140.9407605622264,2020/04/01,9471.244551828362,9260.501755834679,4668.478397417471,4592.023358417208,,,,,
9281.0,9662.0,9091.0,9467.0,0.0,17.834825588524836,137.349676106689,2020/04/02,9471.244551828362,9278.336581423204,4548.9635468993065,4729.373034523897,,,,,
9281.0,9663.0,9106.0,9484.0,-1.8189894035458565e-12,16.325492965175727,133.81771050560474,2020/04/03,9471.24455182836,9294.66207438838,4431.4713293588775,4863.190745029502,,,,,
9281.0,9662.0,9121.0,9500.0,0.0,14.94389236486677,130.34704887416592,2020/04/04,9471.24455182836,9309.605966753246,4316.068172849578,4993.537793903668,,,,,
9281.0,9663.0,9135.0,9513.0,1.8189894035458565e-12,13.679214841857174,126.939479532537,2020/04/05,9471.244551828362,9323.285181595103,4202.8079081588985,5120.477273436205,,,,,
9281.0,9663.0,9148.0,9526.0,-1.8189894035458565e-12,12.521564700778981,123.59643534152474,2020/04/06,9471.24455182836,9335.806746295882,4091.7330375181527,5244.07370877773,,,,,
9281.0,9663.0,9158.0,9537.0,0.0,11.461884750435274,120.3190285297569,2020/04/07,9471.24455182836,9347.268631046318,3982.875893738831,5364.392737307487,,,,,
9281.0,9662.0,9169.0,9548.0,0.0,10.4918841600429,117.10808426332915,2020/04/08,9471.24455182836,9357.76051520636,3876.259693635545,5481.500821570816,,,,,
9281.0,9663.0,9179.0,9557.0,0.0,9.603972718145087,113.96417103785188,2020/04/09,9471.24455182836,9367.364487924506,3771.899495315838,5595.464992608668,,,,,
9281.0,9662.0,9187.0,9566.0,0.0,8.791203898448657,110.88762673655583,2020/04/10,9471.24455182836,9376.155691822954,3669.803072477731,5706.3526193452235,,,,,
9281.0,9662.0,9195.0,9575.0,0.0,8.047218438294294,107.87858444852554,2020/04/11,9471.24455182836,9384.202910261249,3569.9717064674996,5814.231203793749,,,,,
9281.0,9662.0,9202.0,9582.0,-1.8189894035458565e-12,7.36619504565715,104.93699478329654,2020/04/12,9471.244551828358,9391.569105306906,3472.4009067298603,5919.168198577046,,,,,
9281.0,9662.0,9209.0,9588.0,1.8189894035458565e-12,6.742805731128101,102.06264592077696,2020/04/13,9471.24455182836,9398.311911038034,3377.0810665402114,6021.2308444978225,,,,,
9281.0,9663.0,9215.0,9595.0,0.0,6.172172925589621,99.2551827976522,2020/04/14,9471.24455182836,9404.484083963624,3283.998056668149,6120.486027295475,,,,,
9280.0,9662.0,9221.0,9601.0,0.0,5.649831819979227,96.51412374332722,2020/04/15,9471.24455182836,9410.133915783603,3193.133764744801,6217.000151038802,,,,,
9281.0,9662.0,9226.0,9607.0,0.0,5.171695472030478,93.83887577710266,2020/04/16,9471.24455182836,9415.305611255633,3104.4665844397286,6310.839026815905,,,,,
9281.0,9663.0,9231.0,9611.0,0.0,4.734023164721293,91.22874832949492,2020/04/17,9471.24455182836,9420.039634420355,3017.971859274955,6402.0677751453995,,,,,
9281.0,9662.0,9235.0,9615.0,-1.8189894035458565e-12,4.333390403116937,88.68296617732813,2020/04/18,9471.244551828358,9424.373024823471,2933.622283500744,6490.750741322728,,,,,
9281.0,9663.0,9238.0,9619.0,1.8189894035458565e-12,3.9666624955771113,86.2006806467034,2020/04/19,9471.24455182836,9428.339687319049,2851.3882653496175,6576.951421969431,,,,,
9281.0,9663.0,9242.0,9623.0,0.0,3.6309701176669478,83.78097986933608,2020/04/20,9471.24455182836,9431.970657436716,2771.2382555979484,6660.732401838767,,,,,
9281.0,9663.0,9245.0,9627.0,1.8189894035458565e-12,3.323686937619641,81.42289805548626,2020/04/21,9471.244551828362,9435.294344374335,2693.139044480082,6742.155299894253,,,,,
9281.0,9663.0,9248.0,9629.0,-1.8189894035458565e-12,3.0424086612965766,79.12542409136859,2020/04/22,9471.24455182836,9438.336753035632,2617.05602905001,6821.280723985622,,,,,
9281.0,9663.0,9251.0,9632.0,0.0,2.7849344640726486,76.88750900111518,2020/04/23,9471.24455182836,9441.121687499704,2542.9534545129673,6898.168232986737,,,,,
9281.0,9662.0,9254.0,9635.0,1.8189894035458565e-12,2.5492498684707243,74.70807272965521,2020/04/24,9471.244551828362,9443.670937368175,2470.7946316517828,6972.876305716392,,,,,
9281.0,9662.0,9256.0,9637.0,-1.8189894035458565e-12,2.3335109431154706,72.58601030676527,2020/04/25,9471.24455182836,9446.00444831129,2400.542132288133,7045.462316023158,,,,,
9281.0,9663.0,9258.0,9639.0,1.8189894035458565e-12,2.136029667322873,70.52019746512451,2020/04/26,9471.244551828362,9448.140477978613,2332.1579644903313,7115.982513488282,,,,,
9281.0,9663.0,9260.0,9641.0,0.0,1.9552608711564972,68.50949552345537,2020/04/27,9471.244551828362,9450.09573884977,2265.6037298380325,7184.4920090117375,,,,,
9281.0,9662.0,9262.0,9642.0,-1.8189894035458565e-12,1.7897902443819476,66.55275577818065,2020/04/28,9471.24455182836,9451.885529094152,2200.8407643042337,7251.044764789918,,,,,
9281.0,9663.0,9263.0,9645.0,0.0,1.638323170640433,64.64882351772667,2020/04/29,9471.24455182836,9453.523852264792,2137.8302639571475,7315.693588307645,,,,,
9281.0,9662.0,9264.0,9646.0,0.0,1.4996745168955385,62.79654159853453,2020/04/30,9471.24455182836,9455.023526781688,2076.5333968755085,7378.490129906179,,,,,
9281.0,9663.0,9266.0,9647.0,0.0,1.3727594391984894,60.994753559252786,2020/05/01,9471.24455182836,9456.396286220886,2016.9114027554542,7439.484883465432,,,,,
9281.0,9663.0,9267.0,9649.0,0.0,1.2565849897819135,59.24230637619621,2020/05/02,9471.24455182836,9457.652871210668,1958.92568136904,7498.727189841628,,,,,
9281.0,9662.0,9269.0,9650.0,0.0,1.1502422216908599,57.538052998545936,2020/05/03,9471.24455182836,9458.80311343236,1902.5378705921848,7556.265242840174,,,,,
9281.0,9663.0,9269.0,9651.0,1.8189894035458565e-12,1.052899072323271,55.88085453568783,2020/05/04,9471.244551828362,9459.856012504682,1847.7099151288203,7612.146097375862,,,,,
9281.0,9663.0,9271.0,9652.0,-1.8189894035458565e-12,0.9637938887826749,54.269582163080486,2020/05/05,9471.24455182836,9460.819806393465,1794.4041268545225,7666.415679538943,,,,,
9281.0,9662.0,9271.0,9653.0,0.0,0.8822295472527912,52.70311877124732,2020/05/06,9471.24455182836,9461.702035940718,1742.583237630528,7719.11879831019,,,,,
9281.0,9663.0,9272.0,9654.0,0.0,0.8075678793338739,51.18036048456361,2020/05/07,9471.24455182836,9462.509603820052,1692.2104450252982,7770.299158794754,,,,,
9281.0,9663.0,9273.0,9654.0,0.0,0.7392247071002203,49.70021791770341,2020/05/08,9471.24455182836,9463.248828527152,1643.249451814695,7819.999376712457,,,,,
9281.0,9663.0,9274.0,9655.0,0.0,0.6766652875830914,48.261617261016,2020/05/09,9471.24455182836,9463.925493814735,1595.664499841262,7868.260993973473,,,,,
9281.0,9663.0,9274.0,9656.0,0.0,0.6194001842759462,46.86350118948849,2020/05/10,9471.24455182836,9464.544893999011,1549.4203988360496,7915.1244951629615,,,,,
9281.0,9662.0,9275.0,9656.0,0.0,0.5669813430831709,45.50482968952838,2020/05/11,9471.24455182836,9465.111875342094,1504.4825504896044,7960.62932485249,,,,,
9280.0,9663.0,9275.0,9657.0,0.0,0.518998621540959,44.18458069959979,2020/05/12,9471.24455182836,9465.630873963635,1460.8169684115455,8004.81390555209,,,,,
9281.0,9662.0,9276.0,9658.0,0.0,0.4750765874705394,42.901750645284665,2020/05/13,9471.24455182836,9466.105950551106,1418.3902943537314,8047.715656197374,,,,,
9281.0,9663.0,9276.0,9658.0,0.0,0.4348716153854184,41.655354858774444,2020/05/14,9471.24455182836,9466.540822166491,1377.1698111103424,8089.371011056149,,,,,
9281.0,9663.0,9277.0,9658.0,1.8189894035458565e-12,0.3980691303167987,40.44442794288534,2020/05/15,9471.244551828362,9466.938891296808,1337.1234522977738,8129.815438999034,,,,,
9281.0,9662.0,9277.0,9658.0,0.0,0.36438117718716967,39.26802400991892,2020/05/16,9471.244551828362,9467.303272473995,1298.219809465042,8169.083463008953,,,,,
9281.0,9663.0,9278.0,9659.0,-1.8189894035458565e-12,0.3335441735071072,38.12521685463162,2020/05/17,9471.24455182836,9467.636816647502,1260.4281367839176,8207.208679863585,,,,,
9281.0,9662.0,9277.0,9659.0,0.0,0.3053168641181401,37.01510005524324,2020/05/18,9471.24455182836,9467.94213351162,1223.7183535927925,8244.223779918828,,,,,
9281.0,9662.0,9278.0,9660.0,0.0,0.27947838925683754,35.93678703523801,2020/05/19,9471.24455182836,9468.221611900877,1188.0610449468113,8280.160566954066,,,,,
9281.0,9662.0,9278.0,9660.0,3.637978807091713e-12,0.25582657969061984,34.889411045583984,2020/05/20,9471.244551828364,9468.477438480568,1153.427460480918,8315.04997799965,,,,,
9281.0,9662.0,9279.0,9659.0,-1.8189894035458565e-12,0.23417638054525014,33.87212510580321,2020/05/21,9471.244551828362,9468.711614861113,1119.78951175566,8348.922103105453,,,,,
9281.0,9662.0,9278.0,9660.0,0.0,0.21435840883350465,32.88410190295144,2020/05/22,9471.244551828362,9468.925973269947,1087.119768261542,8381.806205008405,,,,,
9281.0,9663.0,9278.0,9661.0,1.8189894035458565e-12,0.19621760169138724,31.92453366256086,2020/05/23,9471.244551828364,9469.122190871638,1055.3914522006726,8413.730738670965,,,,,
9281.0,9663.0,9279.0,9661.0,-1.8189894035458565e-12,0.17961201593971055,30.992631973211246,2020/05/24,9471.244551828362,9469.301802887578,1024.578432243401,8444.723370644177,,,,,
9281.0,9662.0,9279.0,9661.0,0.0,0.164411730484062,30.087627582726782,2020/05/25,9471.244551828362,9469.466214618062,994.6552163911583,8474.810998226903,,,,,
9281.0,9662.0,9279.0,9661.0,1.8189894035458565e-12,0.15049781788911787,29.20877017730163,2020/05/26,9471.244551828364,9469.61671243595,965.5969440317458,8504.019768404205,,,,,
9281.0,9662.0,9279.0,9661.0,0.0,0.1377614344091853,28.355328127037865,2020/05/27,9471.244551828364,9469.75447387036,937.3793773391171,8532.375096531243,,,,,
9281.0,9662.0,9280.0,9661.0,1.8189894035458565e-12,0.12610290979137062,27.526588239759803,2020/05/28,9471.244551828366,9469.880576780151,909.9788920091487,8559.901684771003,,,,,
9281.0,9662.0,9279.0,9661.0,-1.8189894035458565e-12,0.11543102267933136,26.721855459905782,2020/05/29,9471.244551828364,9469.99600780283,883.3724675719222,8586.623540230908,,,,,
9281.0,9662.0,9280.0,9661.0,0.0,0.10566228146308276,25.940452574677693,2020/05/30,9471.244551828364,9470.101670084294,857.5376772787076,8612.563992805586,,,,,
