Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/03/10,119.94749822560809,720.0,0.0,0.0,68.0,0.0,51.947498225608086,2020-03-10,120.0,0.0,68.0
2020/03/11,123.4250180356858,750.4191090071074,3.477519810077709,30.41910900710741,69.78043108966719,1.7804310896671893,53.644586946018606,2020-03-11,126.0,6.0,68.0
2020/03/12,127.17668805361059,842.9108213010535,3.751670017924795,92.49171229394608,71.61627351895052,1.835842429283332,55.56041453466007,2020-03-12,129.0,3.0,70.0
2020/03/13,131.60869345050776,1003.5053786134437,4.432005396897168,160.59455731239018,73.52189387365935,1.9056203547088302,58.086799576848406,2020-03-13,134.0,5.0,81.0
2020/03/14,137.12743023594578,1243.8611512181005,5.518736785438023,240.35577260465686,75.52347959419443,2.0015857205350756,61.603950641751354,2020-03-14,140.0,6.0,82.0
2020/03/15,144.2166475792934,1581.4630790860515,7.089217343347627,337.60192786795096,77.6606913357925,2.1372117415980796,66.5559562435009,2020-03-15,145.0,5.0,85.0
2020/03/16,153.46887924505313,2039.7817621632312,9.252231665759723,458.3186830771797,79.98930068218765,2.3286093463951403,73.47957856286548,2020-03-16,155.0,10.0,88.0
2020/03/17,165.61586860457723,2648.036050620865,12.146989359524099,608.2542884576337,82.58479900918735,2.595498326999703,83.03106959538988,2020-03-17,162.0,7.0,92.0
2020/03/18,181.55400657478344,3439.997872662921,15.938137970206213,791.9618220420562,85.54688684665336,2.962087837466015,96.00711972813008,2020-03-18,181.0,19.0,96.0
2020/03/19,202.35717898850947,4451.046963222125,20.80317241372603,1011.0490905592037,89.00458111295261,3.4576942662992423,113.35259787555687,2020-03-19,208.0,27.0,99.0
2020/03/20,229.26508696344774,5712.548492917205,26.90790797493827,1261.5015296950805,93.12136824052601,4.116787127573403,136.14371872292173,2020-03-20,256.0,48.0,102.0
2020/03/21,263.6315634514686,7242.862509909906,34.36647648802085,1530.314016992701,98.09937215429441,4.978003913768404,165.53219129717417,2020-03-21,273.0,17.0,102.0
2020/03/22,306.8178771046855,9035.328166942405,43.18631365321693,1792.4656570324987,104.18095382341437,6.081581669119956,202.63692328127115,2020-03-22,317.0,44.0,104.0
2020/03/23,348.59256311139995,11045.733975020334,41.77468600671443,2010.4058080779287,111.64570679690712,7.46475297349275,236.94685631449283,2020-03-23,356.0,39.0,104.0
2020/03/24,401.3655983226995,13184.730790603384,52.77303521129954,2138.99681558305,105.0,-6.64570679690712,296.3655983226995,2020-03-24,386.0,30.0,105.0
2020/03/25,465.4952525496134,15409.109606821037,64.12965422691389,2224.3788162176534,115.55552780704069,10.55552780704069,349.9397247425727,,,,
2020/03/26,551.9765557421372,17436.97100601111,86.4813031925238,2027.861399190073,128.46482419390424,12.909296386863545,423.51173154823294,,,,
2020/03/27,643.8207049847246,19146.399387602236,91.84414924258738,1709.4283815911258,143.9991883532045,15.534364159300253,499.82151663152007,,,,
2020/03/28,749.8947597043085,20468.80315902863,106.07405471958396,1322.403771426394,162.3622841095903,18.363095756385803,587.5324755947182,,,,
2020/03/29,859.9026285114224,21403.49300124631,110.00786880711394,934.6898422176782,183.6805801281065,21.318296018516207,676.222048383316,,,,
2020/03/30,973.4594942236117,22006.215121866673,113.55686571218928,602.7221206203649,208.00602776427723,24.325447636170736,765.4534664593345,,,,
2020/03/31,1088.9630084531725,22361.114518407612,115.50351422956078,354.89939654093905,235.3285713279875,27.32254356371027,853.6344371251851,,,,
2020/04/01,1205.2885284344525,22552.432821087586,116.32551998127997,191.3183026799743,265.59329930671225,30.26472797872475,939.6952291277403,,,,
2020/04/02,1321.7337920699615,22647.192747673755,116.44526363550904,94.75992658616815,298.71712133336064,33.123822026648384,1023.0166707366009,,,,
2020/04/03,1437.9051554157413,22690.48888606465,116.17136334577981,43.29613839089507,334.6018884009926,35.88476706763197,1103.3032670147486,,,,
2020/04/04,1553.603336742151,22708.81172448975,115.69818132640967,18.32283842510151,373.14317340145254,38.541285000459936,1180.4601633406985,,,,
2020/04/05,1668.7371591189622,22716.022033132947,115.13382237681117,7.210308643196186,414.2353973080273,41.09222390657476,1254.5017618109348,,,,
2020/04/06,1783.2694168596445,22718.670105329395,114.53225774068233,2.648072196447174,457.77447003614736,43.53907272812006,1325.4949468234972,,,,
2020/04/07,1897.1873737969056,22719.580878746376,113.91795693726112,0.910773416981101,503.6589852380882,45.884515201940815,1393.5283885588174,,,,
2020/04/08,2010.488455710681,22719.875174717898,113.3010819137753,0.2942959715219331,551.7906739313842,48.131688693295985,1458.6977817792967,,,,
2020/04/09,2123.173977145482,22719.96478365836,112.68552143480088,0.0896089404632221,602.0745179442304,50.2838440128462,1521.0994592012514,,,,
2020/04/10,2235.246626858238,22719.99056660558,112.07264971275617,0.025782947217521723,654.418722559545,52.34420461531465,1580.8279042986928,,,,
