city,GDP
铁门关市,18.06
神农架林区,25.51
五指山市,28.99
果洛藏族自治州,41.45
北屯市,43.91
白沙黎族自治县,47.14
阿里地区,47.24
保亭黎族苗族自治县,48.63
琼中黎族苗族自治县,49.5
玉树藏族自治州,53.61
屯昌县,70.19
图木舒克市,82.92
海北藏族自治州,83.53
黄南藏族自治州,88.33
定安县,90.28
那曲市,119.82
大兴安岭地区,122.8
昌江黎族自治县,125.41
乐东黎族自治县,126.97
克孜勒苏柯尔克孜自治州,128.89
林芝市,133.33
陵水黎族自治县,151.01
甘南州,155.73
海南藏族自治州,158.18
怒江傈僳族自治州,161.56
五家渠市,162.41
山南市,164.32
昌都市,169.83
临高县,176.23
东方市,177.91
日喀则市,187.75
万宁市,203.9
文昌市,205.98
迪庆藏族自治州,217.52
七台河市,250.32
临夏回族自治州,255.35
琼海市,264.1
金昌市,264.24
伊春市,274.15
鹤岗市,282.9
阿勒泰地区,284.09
澄迈县,288.74
甘孜藏族自治州,291.2
阿拉尔市,299.34
嘉峪关市,299.62
固原市,303.19
黄冈市,305.19
和田地区,305.57
阿坝藏族羌族自治州,306.67
吐鲁番市,310.59
儋州市,322.97
铜川市,327.96
博尔塔拉蒙古自治州,330.34
石河子市,333.86
阿拉善盟,342.32
丽江市,350.76
定西市,356.26
陇南市,379.23
德宏傣族景颇族自治州,381.06
平凉市,395.17
中卫市,402.99
哈密市,403.68
张掖市,407.71
西双版纳傣族自治州,417.79
兴安盟,417.92
阜新市,446
海东市,451.5
武威市,469.27
锡林郭勒盟,472.48
黑河市,505.1
双鸭山市,507
白银市,511.6
天门市,528.25
吴忠市,534.5
鸡西市,535.2
拉萨市,540.78
乌海市,572.23
张家界市,578.92
三亚市,595.51
酒泉市,596.9
济源市,600.12
贺州市,602.63
湘西土家族苗族自治州,605.05
石嘴山市,605.92
铁岭市,616.6
白城市,618.28
塔城地区,620.25
普洱市,624.59
海西蒙古族藏族自治州,625.27
临沧市,630.02
巴中市,645.88
雅安市,646.1
天水市,652.05
白山市,660.06
来宾市,663.69
辽源市,668.65
潜江市,671.86
黄山市,677.9
池州市,684.9
延边朝鲜族自治州,706.33
庆阳市,708.15
仙桃市,718.66
阳泉市,733.7
保山市,738.1
防城港市,741.62
河池市,788.3
广元市,801.85
葫芦岛市,812.8
巴彦淖尔市,813.1
丹东市,816.7
鹰潭市,818.98
本溪市,823.1
商洛市,824.77
朝阳市,831.4
通化市,836.13
景德镇市,846.6
云浮市,849.13
安顺市,849.4
文山壮族苗族自治州,859.06
鹤壁市,861.9
辽阳市,869.7
恩施土家族苗族自治州,870.95
昭通市,889.54
喀什地区,890.12
克拉玛依市,898.1
崇左市,907.62
汕尾市,920.32
乌兰察布市,938.87
四平市,939.83
淮北市,985.2
忻州市,989.1
鄂州市,1005.3
河源市,1006
萍乡市,1009.05
随州市,1011.19
佳木斯市,1012
楚雄彝族自治州,1024.33
